,0,1
0,-18.407074,6.0473175
1,-16.745237,7.9292417
1,5.442279,-22.514376
1,12.475377,-8.579415
0,0.94517756,17.60334
0,0.2205909,12.368788
0,16.284729,-0.90728563
0,17.629498,-0.4973617
0,16.665535,8.719216
1,1.800666,6.4796667
0,-0.5922294,-19.578606
1,-22.618273,7.1899343
0,20.721575,-2.501166
1,22.323984,-7.706724
0,-5.1352572,1.7881515
0,-12.747053,18.391972
0,-7.8450174,-3.2203834
1,1.2296131,5.51602
1,2.1578577,7.28717
0,23.636595,-10.831062
1,17.181019,1.4583567
0,4.295506,14.52227
0,-1.9800959,-0.9135026
1,4.0773115,-17.075567
1,-18.47401,4.440523
0,12.156097,-14.3465805
0,-13.262713,15.376767
1,18.460352,-16.394686
0,-10.097989,20.962898
1,3.1577313,-22.152716
0,16.727514,-5.6655345
0,2.8511598,9.15609
0,-6.0011625,-6.073026
0,13.81911,-0.012146401
0,-10.992384,12.991703
0,-14.994019,10.026935
1,-13.384439,-3.584721
1,27.829128,-8.08024
0,25.325048,-9.188894
0,-0.8594566,17.14187
0,-14.648284,15.786146
1,-0.8410874,0.24519816
0,13.488131,-3.088802
0,-0.42791745,-17.932331
0,18.46025,-19.123096
1,9.526194,-16.571821
1,2.4558358,16.351852
0,-11.304256,19.154257
0,-6.166916,9.572502
0,-0.41095084,23.606585
0,-5.3298087,-3.820062
0,-0.5522709,-1.0799772
0,15.753082,-13.490855
1,24.178268,-13.7245865
0,-12.273541,0.012230662
0,-11.567114,9.140267
1,-18.793056,2.1864917
1,22.806307,-11.115782
1,-3.8746731,-3.2037594
1,-0.94050825,-15.182049
0,4.148796,-6.056457
0,0.20229474,-4.1497188
0,3.1481376,-5.9335794
1,-4.6015334,-5.5661902
1,20.310404,-3.566416
0,14.873162,2.5892448
1,2.0115182,14.816935
0,4.977176,-16.416723
0,-11.087993,20.255938
0,-13.2930765,-0.84255654
1,-8.774082,-7.6882668
0,24.766098,-11.387589
0,15.97343,-2.1652763
1,0.28625023,-17.047628
1,-21.349766,8.767447
1,-0.54552716,-3.1417985
1,-12.52543,5.8310657
0,14.360448,-3.3237948
0,-5.391251,-8.183042
0,-10.1945915,16.775326
0,2.7227726,3.7878065
0,-12.669164,0.7564739
0,0.7822472,0.25037378
1,12.891683,7.4951854
1,17.413195,-7.08328
0,10.593533,8.34985
1,3.958928,-20.620079
0,3.915168,-7.2003045
0,22.193954,-12.430251
0,15.854334,0.41590375
1,-8.796335,-0.5373863
0,-16.362799,11.25039
1,-18.371023,18.385115
0,2.12878,-11.08884
0,3.5276365,7.603435
1,4.206052,9.202826
0,0.539806,4.3110642
0,-9.332867,-5.4679303
0,-18.11697,11.209073
0,15.227864,7.0385985
0,9.865399,-0.63268334
0,-7.4623723,13.808249
1,-18.652689,-0.6165485
