,0,1
0,-15.471891,6.8061147
0,-6.7122903,7.4741035
0,-18.196182,5.3703585
1,12.479109,9.307746
1,20.517286,3.709617
0,14.952137,1.1627913
1,23.441736,-6.5892367
0,-5.625254,-4.6600757
0,-20.867435,11.904583
1,18.697674,-0.71363115
0,-3.625277,-5.1025634
1,17.150503,-9.214626
1,-16.587523,-11.028437
0,-12.309051,5.662642
0,-8.1897955,6.2037745
0,4.853834,-7.823524
1,19.396097,-7.329444
0,15.31142,8.6864605
0,-19.626837,-0.51109475
0,3.6961262,-14.807201
0,2.1618912,-5.6586943
1,15.300264,-9.42915
1,14.43878,0.1540547
1,-26.971275,-1.5008063
1,15.711974,-7.70836
0,-8.658154,7.748695
1,19.06431,11.388289
1,21.072777,-16.610764
0,-24.76536,15.171753
1,16.52767,-10.846927
1,1.1811363,-11.462798
0,-25.7642,8.930474
0,-21.473204,5.87189
0,-2.3491585,-7.297258
1,21.225906,-11.154505
0,-23.784317,16.413296
1,23.373854,-14.099293
1,2.5249279,-13.142917
0,-24.07076,4.3677874
1,23.140934,-10.515322
0,-1.1541178,0.14824642
0,-16.880177,6.9842205
0,-21.65436,-2.1371906
1,20.634956,7.067804
0,-4.564226,-7.2615066
1,20.048296,-2.0153496
1,21.576015,-9.6255045
0,-22.764124,9.676098
0,-25.473001,7.334888
1,15.917348,9.09428
0,-8.109141,9.972745
0,-24.677116,-2.2346776
0,-19.408257,12.684888
1,24.381748,-14.003128
0,-23.731474,1.0893091
0,-19.782583,-1.4586879
0,17.300468,13.795646
1,2.7821212,-11.996883
1,24.192814,-12.833914
0,3.9172242,1.6843067
0,-13.284294,7.819428
1,20.577059,-2.8930259
0,-3.748733,-7.473859
1,16.113516,0.55327356
0,-15.425231,-12.855226
1,23.523066,-14.78701
0,-13.070402,-0.47448075
0,7.8091326,-6.2331014
0,-22.364397,-4.3778477
0,-17.75413,13.28825
0,-27.704702,2.5781267
0,4.57243,3.1462693
0,18.506113,14.033418
1,24.7804,-8.536094
0,-19.123985,3.793032
1,22.035244,9.120507
0,2.6967068,-11.089316
0,-20.179193,9.066616
0,-14.759218,-6.2360682
1,16.038303,-9.682406
1,21.840557,2.7777467
0,-12.234584,1.0130242
1,15.473315,-10.51533
1,15.0218725,2.3713074
0,-21.598885,-3.947316
1,1.6302785,6.554684
0,-6.9233,0.14306644
0,-24.75872,-6.1840563
0,-8.248226,-1.4722176
1,22.454927,-2.545135
1,21.756004,-2.040413
0,8.216165,3.770541
0,-24.422241,12.079485
0,-13.300279,6.8635464
0,0.28019577,-10.480683
0,-9.5899105,6.0454593
1,-16.798483,-8.635306
1,24.645885,-2.8858392
1,8.898445,-8.278481
1,11.702784,9.79849
0,0.30208206,2.9026794
1,19.811464,10.608314
1,23.159542,0.46931618
0,-27.27196,1.1757885
0,-10.579061,10.478909
0,-16.70264,5.183992
0,-15.020775,-4.1624017
0,-16.356081,-7.8356214
0,-9.527116,-2.0450664
0,-7.2514687,10.093682
0,-0.29750666,3.6835892
0,-1.8146937,2.1751611
0,-28.901236,3.2688222
0,-7.171737,-6.9150076
1,23.430737,-3.6960952
1,-6.2175198,-7.247557
1,4.0174446,-9.227181
0,9.417159,7.434782
0,-1.9795172,-8.468538
1,24.999823,-12.222773
1,-23.967175,-5.964472
0,-0.985227,-6.4629416
1,14.04298,11.218794
0,16.132635,1.8252895
0,-19.35976,14.103027
0,-6.739909,11.457116
1,6.5591693,-3.7459557
0,-6.5496697,8.283756
1,-10.096895,2.2928047
0,12.971894,-5.3337817
0,2.1307597,3.5084329
1,21.066782,9.736187
0,12.904179,1.6556686
0,12.607252,-4.0366926
1,-17.47011,-14.162564
0,-9.521738,0.5461535
0,2.9845543,-15.055789
0,-23.05567,11.080655
0,7.155559,-8.952989
0,-11.297428,4.6027617
0,-23.604288,17.17603
1,21.600805,-3.0468144
0,-17.95476,14.017272
1,19.277536,-9.797159
0,-25.823524,3.1330497
1,5.334827,3.8305464
0,-22.61096,5.4813867
1,12.676665,-1.0719893
1,21.42128,0.025117205
0,-23.678373,-4.9153423
0,2.4396365,-9.968251
0,-18.639038,-3.4302442
0,-6.71229,-1.1918045
0,1.334152,-10.712392
1,22.545233,-6.8533497
0,-17.915104,-7.9785137
1,26.361376,-6.2274823
1,18.02267,12.787608
0,-8.43281,11.280042
0,-18.557615,13.582116
0,0.23021594,-2.794653
1,24.946991,-6.279269
1,15.709255,12.875321
0,-13.380224,3.5552244
1,14.013198,-6.4616027
1,23.627407,-8.266872
1,23.421465,1.7289797
0,-23.687202,-2.6055236
0,-24.860033,-4.155662
0,10.949596,-3.9901881
0,-25.034292,2.038168
1,-26.196255,2.520616
0,0.9884661,-12.530633
1,21.273096,7.912503
0,-10.418742,-1.3432864
1,-5.3061557,11.259883
0,-27.256382,-0.15059868
0,-14.089349,8.253627
1,25.500628,-13.765756
1,14.416086,1.9343812
1,20.63607,1.8300778
0,-17.04261,1.6527369
0,-9.675347,7.175069
1,-13.57912,-12.842844
0,-12.392359,8.93192
0,-20.255577,-4.766733
1,11.578461,-1.675189
0,9.357366,1.8315183
0,-21.349266,12.73561
1,22.927784,4.281948
0,6.5472794,1.6326128
0,-3.0425794,-0.5634076
0,10.39205,0.66625077
0,6.7267747,-5.944028
1,24.517912,-6.940554
0,-17.529465,-4.549666
0,3.2990637,-8.179723
0,-15.678994,-6.159283
0,9.226418,-0.32379702
0,-19.981653,7.132912
1,18.970024,12.649159
1,23.43321,-1.3022321
0,-21.013794,-0.53244096
0,-1.0741425,-1.5307716
0,-19.08093,-1.7405887
1,6.339495,-8.504787
0,9.313804,-6.3877273
1,-17.804735,14.9922495
0,-16.695684,-6.4725947
0,-15.892403,-10.011076
1,18.619602,-8.61206
0,-20.603212,-3.0804048
1,14.301928,9.967994
1,17.939611,-11.451176
0,1.8500941,-8.382426
0,-17.114155,-9.377737
0,-24.906597,11.297902
1,2.4465802,6.0868683
1,12.061094,11.659149
1,20.269445,12.515842
1,17.510897,-10.64325
0,-17.079254,8.747059
1,13.611611,-0.7757668
0,16.429512,2.5940065
0,-6.262549,10.826207
0,-18.90862,6.4096527
0,-15.683508,1.8188876
0,-18.85405,15.042756
0,12.24869,10.8691
0,8.74568,8.503498
0,11.152746,8.393418
0,-28.346518,1.5502746
1,19.774858,-11.075855
0,5.5447474,-7.695628
0,4.589685,-13.541815
