,0,1
1,7.962539,-3.827667
1,19.246407,-2.3099132
0,3.5841415,21.934786
0,-7.2953844,3.4454942
0,0.12259759,7.3247185
0,19.335592,-3.188716
0,0.07216789,-6.37024
0,-22.720457,-10.999517
0,13.350963,19.377642
1,-25.107677,-10.393396
0,-15.716907,2.026971
1,13.229472,-9.227194
0,-3.5415947,-19.48459
0,4.2097707,0.69857836
0,12.051571,18.985317
1,-11.025613,-0.1671097
1,-13.526662,-13.781516
0,-8.70558,-10.649025
1,-5.868465,-20.782524
0,0.29829895,15.902588
1,3.1699722,3.780397
0,1.3212134,7.856785
1,-21.790316,-10.916703
0,13.026181,10.484729
0,-7.8713202,4.0915976
0,5.4043255,9.435841
1,-25.870728,-6.891772
0,4.7833242,12.926236
0,7.3527503,10.0785
0,13.608175,14.4224
0,13.629656,-1.4236926
0,19.79675,-3.5927744
0,7.0189557,8.031037
0,5.348261,11.089734
0,21.278067,-6.397269
0,12.593968,12.136439
1,8.454015,-2.7592065
1,-26.17956,-11.3613405
1,-0.853896,-4.1341066
0,18.461027,-5.838664
0,8.958939,19.237337
1,-21.794655,-6.255473
0,4.094634,22.713266
0,5.0120196,18.912086
0,-13.373783,-13.004915
1,-16.893705,-4.176602
1,23.14929,-9.834027
0,17.103487,15.384113
0,17.96558,-4.221943
0,-0.69146717,19.856138
0,-23.845211,-7.750794
1,9.522099,1.2766963
0,9.44955,-9.206005
0,12.848098,-7.2871823
1,12.38418,-1.878716
0,13.387532,13.241168
1,-23.63155,-3.7187936
1,19.181726,-4.678954
1,10.506316,-3.4952846
1,6.5218487,-0.9203263
0,10.98847,15.272053
1,-21.427546,-4.927665
1,-22.606869,-10.119368
0,13.042269,-13.503738
1,-4.1808295,6.135392
0,-10.246586,-12.31328
0,4.886953,17.982637
0,0.7799993,18.587826
0,9.702268,18.283438
0,-14.315995,-2.1140995
1,-26.38022,-7.5546794
0,11.124166,-4.887579
1,-12.690178,-11.146236
1,22.134075,-8.47376
1,8.236597,6.6779675
1,2.774676,0.13448393
1,-17.379246,-15.272429
0,12.556787,14.451179
0,5.254717,-4.3241315
0,20.258873,-5.848403
1,11.547002,-5.555957
1,-27.147364,-8.722909
1,-8.842445,2.541678
1,-2.3743327,-1.8036635
1,-11.606514,-4.063851
1,-5.5372195,3.281266
0,12.2215,8.664147
0,5.9505763,10.571539
0,7.2858586,21.30022
0,17.172647,-13.529547
1,12.834796,-10.278459
1,-11.708271,0.7790165
0,13.30466,-10.937564
0,-16.159966,-13.708177
1,2.600603,-2.6018486
1,12.564332,-0.22454423
0,10.860649,18.412277
1,-26.348175,-6.504195
0,-15.264672,1.4324985
1,-15.3215,-12.036439
0,5.1216187,16.523808
0,-1.9716386,8.943585
0,19.872122,-2.5575
0,12.767889,17.122375
1,1.2686623,6.644435
1,9.679193,13.9858
1,-9.217373,-11.856976
1,-4.6790376,8.548258
0,13.729691,-5.295686
1,-13.616083,4.120778
0,-5.0359845,-20.323244
1,2.2734256,-5.610162
1,-15.298324,-1.7402065
0,-9.2145605,-14.441717
0,17.545485,17.134222
