,0,1
0,-8.841,15.249454
0,-12.168016,3.7508874
0,-16.383354,18.12648
0,-6.179151,6.485326
0,0.059792034,4.019836
1,1.8064859,-7.1133904
1,18.346382,-17.032288
1,2.1033843,-5.6825233
1,17.837158,-26.014896
0,-12.9677725,10.505694
1,5.965915,0.36232555
1,26.355305,-22.729753
1,10.382589,-21.210487
1,11.112481,-21.135605
0,-17.632412,15.80955
0,-10.185065,15.870552
0,1.0222473,19.302973
1,16.414156,-24.81724
0,-14.183375,7.130568
1,20.642923,-27.122421
0,-21.393951,5.2312875
0,-8.422651,14.121203
1,15.481587,-22.510857
0,-4.7665057,23.031038
1,20.927786,-18.544785
0,-17.463552,5.8532686
0,-0.64888394,5.093165
0,-7.9589605,18.761091
0,-8.187598,7.0014668
0,3.4090164,0.33785373
0,1.9310534,-10.263492
0,-9.050377,20.64271
1,-2.3224928,23.5839
0,-0.054531444,5.671041
0,-7.5283246,7.8009763
0,-5.098922,13.350759
1,10.137041,-22.391912
1,24.66506,-20.016218
1,4.348501,-9.502777
0,-9.334074,19.250965
1,5.0494833,-12.465551
1,20.758448,-17.606783
0,-8.79562,5.3627653
1,4.258413,-7.963752
1,-18.841267,-0.30820772
1,13.935352,-16.375935
1,4.168181,-3.432281
0,-22.488945,13.309169
1,-20.42792,0.78409135
1,4.1028385,-10.892857
0,-18.116009,14.235874
0,-3.4584217,23.85109
1,23.644846,-21.840038
1,9.847179,-12.624916
0,-14.972689,17.866564
0,-21.950478,13.953652
1,26.178846,-21.794643
1,-3.9330363,2.2700114
1,7.5298305,-18.993073
1,5.19143,-10.363307
1,9.953928,-16.763021
0,1.6242775,19.603922
1,-7.762945,1.3253971
1,8.937805,-15.863731
0,-1.5097923,3.174117
0,-21.786594,10.312664
0,-6.2660575,19.756823
0,-4.075187,12.205221
0,-10.266042,1.2409518
0,-3.4380035,6.8189945
1,25.13374,-21.809538
1,2.7999547,-6.4957695
1,15.677799,-15.351746
0,-2.9966848,0.36579388
0,-0.3028277,-0.65428597
0,-7.298572,22.358934
0,-5.5360165,20.472212
1,-21.714779,0.34369886
1,17.840445,-20.77114
1,15.312209,-24.128359
0,-7.6196556,5.45578
