,0,1
1,-15.410377,-3.2180758
0,-15.201171,11.053258
0,12.007339,18.968054
0,-8.12165,-1.687033
1,9.038929,-7.4034486
0,-20.343157,14.253456
1,-6.3134055,-8.298621
1,8.4569235,-5.4412756
0,-2.3194566,4.974524
0,0.49296108,15.235409
0,-3.1236885,10.615451
1,3.0796385,-18.738745
0,-13.2775345,18.709433
1,8.062391,-11.364182
1,12.136209,-26.212143
1,13.102651,-13.8737
0,10.089455,-29.68793
0,10.127382,17.70404
1,-1.6207216,9.970102
0,-20.185713,9.903997
0,8.570101,25.195166
0,-7.321203,18.894976
1,-2.2429516,-19.136112
0,-3.4864268,-3.1438415
0,-14.581322,-2.7678318
0,2.3974996,-17.555367
0,-3.5684404,-7.802391
0,-10.107013,-2.2525594
0,-15.8517,2.996854
1,9.041687,-17.857893
1,5.4719763,13.975856
1,-8.3173065,-7.458166
1,-1.7638291,-1.4176098
1,14.045267,-12.879353
1,8.624934,-9.3855295
0,-7.9438477,-9.902797
0,-13.215511,-5.9956217
1,13.114466,-14.697903
0,-18.685293,16.241604
1,5.869639,-10.84906
0,0.08724715,-26.426924
0,-12.758567,12.204232
0,11.465037,21.950508
1,7.383143,-18.838211
0,-2.1702833,-3.1110327
0,9.9082575,18.69331
0,0.9909912,9.007426
0,-17.512388,13.073464
0,13.767984,18.21359
1,3.5146658,-20.132765
1,0.5000185,-22.961313
1,-0.7238806,-14.72354
1,9.103223,-25.736288
0,7.2712674,23.211554
1,-6.53019,-9.69007
1,10.596753,-21.307272
0,-13.743672,-0.5480485
0,-22.972733,14.853115
0,-1.1155195,14.563619
0,-11.428969,14.88877
1,3.3481162,-5.296596
0,4.88494,10.911247
1,7.0595794,-12.552226
0,9.093368,16.849562
1,-1.1071856,-20.990393
0,-20.176325,16.11452
0,16.718481,-16.06506
0,9.28598,-4.0629063
0,-4.40515,15.822923
1,-15.12459,-4.989647
1,-2.9805508,-9.662573
1,7.0130467,-9.257102
0,-5.533261,-2.0167122
1,8.076203,-25.364233
1,8.097548,-4.2138953
1,3.9150634,22.27294
0,-6.546015,18.704739
1,9.976986,-26.942263
0,8.373343,-2.0051272
0,-10.135058,16.15598
0,-7.852174,17.034712
0,9.904645,20.85104
0,10.269719,-20.544828
0,-10.560296,1.2103165
0,-10.413665,-0.68144304
0,-12.137657,0.66800874
0,-13.573082,-2.301593
1,12.405891,-16.414032
0,10.276436,-16.882597
1,6.107376,9.087731
0,-16.605368,12.947427
0,6.6008296,8.168019
0,-6.6588597,15.137052
1,14.48722,-15.634545
0,-6.30479,-19.563532
0,-10.206339,11.345492
0,-20.994864,14.757218
0,-17.395094,1.620704
0,-10.95146,9.163543
0,-6.0615926,15.942465
1,9.715564,-11.000163
0,5.8265676,16.406221
1,-2.6898715,-21.665165
0,0.6041049,-24.949017
0,-21.520483,13.577205
1,13.41591,-16.350677
0,-4.563849,-11.401701
1,-0.12932149,-16.342995
0,7.0038037,-14.34648
1,8.451086,-26.949812
0,11.141266,23.801842
1,9.8838215,15.149498
0,-22.959276,16.663572
0,7.231677,16.09273
1,1.3384953,-17.353752
1,-3.4590971,-21.068272
0,8.100489,17.959797
1,10.166408,-3.6130433
0,3.6320374,-23.498058
0,-6.832615,-21.00446
0,14.141307,21.77564
0,7.7108483,-20.409346
0,-10.298761,9.553503
0,7.9834356,-28.790276
0,-2.5936856,0.28711125
0,1.6454449,-13.8896
1,10.64176,19.901306
0,-3.6986253,-0.17065068
0,-0.42881373,-20.195139
0,5.411637,8.599182
1,12.601133,17.454725
1,-4.9499073,-3.811967
0,7.9612637,11.275665
1,-3.311092,5.910276
1,7.890093,-7.8736267
0,-14.19523,-5.544588
0,4.66647,-6.8403034
0,-3.1383085,-22.856838
0,-13.006642,-1.4983957
1,15.147584,-19.834017
0,13.510906,19.217976
0,-4.909019,7.0700054
0,-15.584437,18.02382
0,-15.368984,13.312592
0,-2.2632086,-6.5335546
1,5.6755185,-19.75097
1,-5.9416103,13.48921
1,-2.852245,-24.468979
0,5.7640343,23.201223
0,6.6818147,15.381872
0,10.68178,-11.288954
1,1.8478935,-16.481625
1,0.024581369,-21.905165
1,10.429379,-24.96059
1,-3.322548,17.21328
0,11.270629,20.728079
0,-23.103874,13.717161
0,-16.933418,2.5364056
1,-7.4962735,12.509044
1,9.465016,-1.9934716
1,8.9367,12.7156105
1,-2.1612654,-23.50472
0,11.439489,16.897083
0,9.279106,-16.393932
0,-14.408657,-6.3672347
0,-10.878123,-1.8201773
1,7.4206705,-3.0643592
0,-19.315313,17.061357
0,9.965337,-7.7506967
1,-3.2883692,-13.002453
0,-1.3186848,8.13073
0,1.2087522,-5.4130917
0,1.7477357,14.503819
1,5.0136986,-3.883913
0,-3.0100873,15.682296
0,2.8935819,12.922041
1,3.511401,8.346467
1,-1.9722465,-21.32599
0,-13.018991,17.367346
0,-14.508124,-3.9588337
0,-10.755416,17.472446
0,-3.5059853,11.296804
0,-16.776386,-1.4652798
1,4.5034933,-23.849966
1,4.8338137,-5.4431734
0,6.7893224,16.649958
0,-12.916854,14.320762
1,15.04312,-13.677803
1,16.105682,-18.361702
1,12.443031,-17.217468
0,-9.128841,-9.375346
0,-11.786747,17.651731
1,10.108328,-28.097633
1,-3.2687466,-5.593577
0,8.075625,15.47528
0,-5.20081,-17.36639
1,9.920728,-4.8422546
0,-24.03057,14.5949955
0,12.719757,19.701828
1,11.549105,-13.69952
1,2.9507542,-7.052341
0,9.307026,-28.976608
1,4.190183,12.773824
0,-3.0032077,-0.7005402
0,-0.93066186,13.250594
0,-1.7321376,13.405118
0,4.475834,21.438099
0,-7.3088627,7.945366
1,-9.144038,-8.247065
0,8.53993,-22.548576
1,8.918831,11.658519
0,10.2335415,-12.426473
0,-15.108578,17.068548
