,0,1
0,-21.21031,1.9106648
0,-5.3885827,8.504193
1,33.861416,-6.2264347
1,29.74969,-12.682477
1,12.24138,-1.6668888
0,-9.628259,12.359677
0,-17.9932,5.179482
0,-8.951175,11.967081
0,-6.5069613,12.491376
0,-13.81065,9.418239
0,-13.190768,10.395316
0,-17.125626,1.9865967
1,22.277754,-3.9923017
1,31.266542,-8.144794
0,-15.165083,13.429396
0,-22.836237,-13.737495
0,-15.202106,9.540933
0,-7.9436297,5.4295473
0,-18.92777,-11.962384
1,23.703442,1.4255418
1,7.924259,10.98647
1,27.416842,-11.3902855
0,-22.905317,-4.130781
1,20.44322,4.159652
0,-22.117926,0.9874423
0,-22.759325,1.0514263
1,25.689272,-4.7787504
0,-16.457466,-1.5986772
0,-7.740518,-6.369357
1,28.668768,1.7710922
0,-9.164243,10.214891
1,22.116083,4.316105
0,-20.958605,-2.6721616
1,29.229458,-12.184416
1,21.660711,0.2527955
1,31.709204,-4.131389
0,-6.29694,4.021031
0,-16.983051,11.372323
1,22.82723,2.156751
0,-25.202593,-9.80458
0,-3.2568011,6.640544
1,28.336466,0.38982505
0,-15.268942,-4.910738
1,18.20122,5.2422304
0,-17.565992,3.5423405
0,-15.218061,4.253264
0,-22.370491,3.2352176
0,-9.704519,-4.4568744
1,6.98958,10.426203
0,-17.05611,1.2834883
0,-15.601451,-11.486502
0,-20.296417,-10.70125
1,33.227913,-10.9341345
1,13.238155,-2.4187722
1,22.796938,-0.5483633
1,27.227648,-7.3007884
0,-14.627978,10.042624
0,-12.5292015,7.952824
1,32.62875,-4.2495003
0,-16.066294,12.320657
0,-19.4049,-0.24125919
0,-1.686467,15.470147
0,-17.072016,-3.1669674
1,2.1139262,14.489374
0,-0.80508506,11.870005
0,-3.6958401,14.537936
0,-1.8718628,14.711698
0,-22.603323,-1.4893999
0,-16.015871,-0.8267336
0,3.9910975,11.227067
1,29.256256,-10.776123
0,-0.7131865,9.084931
1,33.12513,-7.860781
0,-11.359993,-4.447275
0,-22.606468,-12.744586
0,-8.560691,2.3511155
0,5.0167785,10.130787
1,32.00902,-3.4785514
1,24.026459,-5.275936
0,-22.776104,-9.080946
0,-12.019582,12.784087
0,-19.191128,-16.303988
1,15.379801,3.7063801
0,-20.94089,-10.742376
0,4.3688154,10.544082
1,14.4066925,5.0874233
0,-24.9771,-0.67211604
0,-5.5239415,12.145439
0,8.726934,11.493742
0,4.7015986,11.585046
0,-17.96636,12.254077
0,-6.3397145,10.01559
1,32.648354,-13.022882
1,2.431415,10.454492
1,27.282995,-10.053318
0,5.1580524,10.870973
0,-9.093943,4.544449
1,14.323145,3.6629176
0,-17.33613,7.288736
0,-8.828871,3.310969
0,-25.655685,-0.9305785
0,19.174168,4.6643906
0,-17.607767,-0.39132947
0,-7.051399,-6.206679
0,-10.930138,6.568802
0,2.7656631,9.741829
1,31.51011,-1.917773
0,-20.209797,2.4500625
0,-13.630444,-5.4802556
1,31.537521,-9.686534
0,-20.70004,1.0077939
1,32.985622,-5.4847054
1,33.148155,-11.92281
0,-8.6596985,-6.8797097
0,-1.9438348,16.43328
0,-12.157951,9.830231
0,-17.935408,15.244423
0,6.6012473,11.398222
0,-21.082031,-14.803184
0,-15.682201,-2.9908042
0,-10.853173,-4.239283
0,-0.5950973,7.9300437
0,13.819483,4.375888
0,-0.27104324,5.43416
0,13.412148,4.908627
0,11.520798,-1.243062
0,-8.088898,9.871627
1,33.883396,-9.444249
1,22.575836,3.8042026
1,22.867178,0.45070377
0,-20.845594,-13.128758
1,12.630648,2.5734112
0,-14.589125,-10.558661
1,25.915125,-6.65424
1,25.598825,1.5310391
0,-19.610748,11.728641
0,-23.550102,-10.556507
1,26.386787,-3.4834886
0,-21.548582,-12.951813
0,-23.28763,-8.567452
0,-0.17371039,8.075893
0,-7.7911596,6.4400277
1,13.120806,1.4708998
1,22.25539,-1.1936795
0,-15.185548,-10.44745
1,5.831524,11.695056
0,-1.5206121,16.16136
0,-12.7058325,-2.313399
0,6.303385,12.464799
1,27.520016,1.4420583
0,-10.577887,9.274355
1,30.566172,-6.4683213
0,-20.257008,-13.970633
0,-8.672653,5.916579
1,34.48571,-9.709548
0,-12.544816,-3.587295
1,21.095573,-2.8540363
1,10.653715,-2.950008
0,-22.606026,2.5409253
0,-12.802771,12.40331
1,3.3257248,7.129594
0,-7.665107,3.1619933
1,13.161981,-0.15971254
1,29.400415,-2.2006423
1,-2.6059923,16.340439
1,33.705933,-11.02319
1,25.617968,-2.1844714
1,-7.362294,11.767009
0,-17.991514,1.7755952
0,-10.469176,6.9270654
1,11.7605295,-2.0240295
0,-18.22434,13.330282
0,-21.488018,-5.4670286
