,0,1
0,-17.712479,-3.3380017
1,21.621107,12.713505
0,-11.397667,-15.105636
0,-11.880304,-17.741346
0,-10.964346,-10.966905
0,-10.085592,7.2375445
1,17.831863,24.76285
0,-7.7578573,-6.782989
0,1.9198086,-19.906696
1,10.323701,17.341381
0,-2.4291635,-7.267579
0,-4.820288,-13.715155
1,26.1242,21.343864
1,15.9918785,17.377375
1,6.104919,18.348349
0,1.9500045,-18.015816
0,4.108511,-9.571794
0,-14.394065,-21.490606
0,-2.7181365,8.913291
0,1.0687311,-21.874693
1,1.9408361,-2.2969942
1,20.530264,22.337652
0,-0.33944958,-2.3532226
0,-11.608382,-16.742012
1,24.880405,15.332502
0,-1.6344274,9.442573
1,14.545959,17.4923
0,-12.700711,-15.873518
0,-16.961863,2.7644622
1,19.578978,20.676382
0,-13.863589,-2.3945472
0,-5.2949705,-4.3401175
1,8.225007,14.953663
1,9.142288,17.713379
0,-4.4390354,-23.700579
0,-12.932715,-18.426159
0,-10.915285,7.354629
1,4.8937244,-4.933793
0,-5.593622,-21.98237
0,-11.223844,-22.71992
1,24.9549,19.682476
1,12.318793,18.674147
0,-15.667379,4.19076
1,-1.6546414,-21.061646
1,13.10055,17.220242
0,-6.620534,0.41855928
0,5.0730453,-12.082802
1,9.063117,14.152885
0,-10.123064,-8.824676
1,11.256732,9.509478
0,-12.954071,0.61002463
0,-4.548722,-5.848194
0,-12.485602,-13.7900305
1,25.102032,12.908971
1,8.105607,17.661018
0,-14.70916,-12.336693
1,2.8517416,6.3857565
0,-10.183094,-19.95736
0,-0.1354418,0.46519554
0,-6.81942,-8.565794
0,-2.2710216,-21.732117
0,-12.690043,-24.208387
1,19.726728,19.359085
1,17.186234,23.686695
0,-6.567912,-23.777836
0,-10.973751,-11.725245
0,-9.767728,-10.344007
0,-1.936239,4.076399
0,-11.552684,-12.69364
1,20.679516,21.219538
0,-13.694827,-14.560567
0,-7.974926,-24.47655
1,22.668869,15.549204
1,5.9473987,14.359214
1,20.265118,24.272352
0,-16.620731,4.0452123
1,22.816936,14.054648
0,4.6404424,-11.288525
0,-1.5810041,2.8494399
1,-4.7003217,-8.009692
0,-11.269985,8.143274
0,-12.155949,-12.668575
0,-8.607192,-1.1815828
0,0.4861065,0.21781705
1,21.288082,19.46695
0,-7.796084,-17.574123
0,0.8662354,-15.752533
0,-5.266602,-23.925083
0,-3.126203,2.88356
0,-0.8390925,-12.957033
0,-10.853999,5.662497
0,2.8297033,-11.213215
0,-3.6108122,9.274474
0,-14.7351885,5.0405436
1,24.336098,14.930824
1,26.681198,21.066708
0,-2.580267,-12.304612
0,-12.777439,-21.747843
0,-5.966076,9.389943
1,16.065023,20.585474
0,2.718349,-2.7376544
0,-10.657642,-16.097584
1,23.444365,20.129206
0,-6.558794,-24.44527
0,-16.54109,-5.306625
1,18.437277,25.211487
0,-5.539493,-8.382321
1,10.266742,11.582086
0,-21.403904,-1.3728719
0,-6.8065453,-22.499823
1,26.015457,13.845488
0,-6.4733744,-4.0546985
0,4.734958,-18.428858
0,3.786266,-18.20832
0,-12.210856,-2.1956792
1,16.75885,18.618242
0,-19.827688,1.6422209
0,-7.738785,-5.443804
1,23.010748,16.819515
0,-8.724186,-7.695584
0,-13.834466,-18.662676
1,-5.6734147,8.619833
0,-10.336306,-9.610292
0,-14.960043,2.4449146
1,19.807554,21.207865
0,-14.29816,-4.9667068
1,17.323269,25.435406
1,9.06164,15.932937
0,1.6080348,-11.41008
0,3.2312157,-17.502777
0,-4.365641,0.69083863
0,-0.6133211,2.5177228
1,16.428635,22.109074
0,-12.289848,-4.2862887
0,-3.8125825,-15.70963
1,7.9075465,16.444742
0,-14.778106,-2.1045916
0,-6.0012074,-7.5941033
1,4.210887,9.809212
1,2.7766497,1.1653877
1,11.200504,18.68042
1,3.0816967,7.299423
1,24.117313,16.322777
0,1.0134091,-14.302817
0,-4.8745503,-17.344824
0,-4.2191906,3.0503001
0,-7.0989366,-3.2550902
1,25.232763,21.722382
0,-17.608541,-0.53222686
1,-4.2086005,8.058933
0,-6.593213,-2.8284318
1,-6.719687,8.377045
0,2.0582764,-21.511684
1,3.2778308,4.983761
1,25.710114,20.454285
0,-2.4937704,2.2501285
0,-1.039252,-10.605434
1,15.164317,21.104712
0,-3.774158,-19.716412
0,-2.8893833,-17.509636
0,-5.905638,-5.8484483
1,2.9647624,-0.22497508
0,-14.6076355,-6.7676654
1,16.81431,24.459234
0,3.9062607,-19.14567
1,17.793728,21.00631
0,-7.690663,-18.716763
0,2.1694627,-20.469896
0,-13.04753,-12.184589
0,-12.999766,-14.96034
0,-3.2727876,3.5334394
0,-20.555119,0.09869662
1,25.571918,18.324879
1,18.207355,20.548409
1,11.094196,10.614006
0,-14.674779,6.4906635
1,24.874237,16.561646
0,-17.322807,3.9135227
0,-8.911215,-8.6707945
0,-14.572395,-3.9135737
1,23.615158,13.583475
0,1.3034244,-2.803501
1,9.570653,12.317633
0,-12.570982,-10.646402
0,-11.198927,-2.205646
0,-0.7542724,0.1671189
0,-6.0594506,-21.631472
1,19.377478,22.077288
0,-8.565614,6.64637
0,-6.6034017,-13.805393
0,-13.486396,6.6730456
1,2.4247744,-12.916527
1,15.539548,21.747236
0,-13.856282,-21.816698
1,2.5929296,-11.685576
0,-14.422896,-19.636658
0,-14.065902,-7.5044885
1,25.71411,19.644014
0,-14.709489,-13.754296
0,-6.8265514,-20.172611
0,-15.602304,1.2834262
1,9.494674,18.196577
1,11.102967,13.984169
1,6.4042964,15.157081
1,11.825868,20.345346
0,-11.757831,-20.443817
0,6.831947,-9.687929
0,-14.322491,3.343132
0,-12.1392355,-23.616438
0,-14.833587,-22.32106
1,5.3348727,-5.6598973
0,-13.59627,-20.397465
1,22.136778,12.732083
0,-13.173244,3.3203585
1,23.740318,23.35631
0,-12.630462,5.0158753
1,17.29985,17.423626
0,0.21029001,-0.7531116
0,-6.517899,-12.187161
1,11.906623,9.681454
1,9.251009,16.628098
1,2.9565015,-18.426823
0,-19.756205,-0.24864914
0,0.5681198,-0.39508915
0,-9.094182,-5.6697936
0,-15.592106,-5.990783
0,5.3949833,-10.769297
0,-9.490325,8.052979
1,7.8338313,10.622474
0,-1.5496399,1.1814947
