,0,1
0,1.2917871,-8.931286
0,0.10348937,-2.0290275
1,14.691348,13.83098
1,5.87735,7.6668897
1,-3.160896,4.981435
1,23.009853,16.891918
0,-16.72676,-8.535872
0,-21.441957,-8.211482
0,-0.79446995,-9.968313
1,22.896471,10.309966
0,-21.7094,-10.155043
1,-8.491889,-22.514736
0,-18.217148,-0.6795646
0,-5.3943377,-1.2336601
0,-1.3834087,7.4032073
1,-1.7307482,-7.3334765
0,-20.1538,-21.135345
1,23.617168,15.371412
0,-11.525863,1.7970154
0,5.960139,11.16574
0,-23.965954,-4.9733667
0,-14.290904,-18.250692
1,16.333017,11.817206
0,-13.355504,-17.7952
0,9.607384,20.313322
0,3.4819636,16.940754
0,-3.2268212,-9.298388
1,26.04112,4.3383
1,10.917482,1.860856
0,-3.819928,-0.14529063
1,9.00843,-1.5277212
0,3.9381816,5.223677
0,-19.57473,-4.6481247
1,16.19852,0.37403995
0,-22.380884,-22.300623
0,-17.54765,1.2198905
1,10.469267,20.848083
0,-6.9371285,-15.761858
1,15.848882,3.5410616
0,-2.0854244,16.165783
0,-9.444961,11.631026
1,20.62982,1.6198908
0,19.96627,18.554089
1,26.345366,11.245993
1,20.109953,0.7977619
0,-14.859301,-11.434404
1,16.056562,-2.468712
0,-20.199846,-12.1368475
1,5.3634996,18.102272
0,-15.934209,-19.000816
0,-20.962982,-7.214173
0,-4.3677893,-11.724486
0,-6.786673,-4.874275
1,-3.0493681,-14.790832
1,-4.4230304,-6.3978043
1,18.668194,13.495354
1,-15.978779,-9.1591
0,8.790598,18.02342
1,7.126794,18.657373
0,-13.607457,-13.223864
0,7.703534,0.30980012
1,24.254269,11.581712
1,11.568392,2.4831045
1,22.832996,4.3773246
0,1.4259965,3.4982157
0,-8.614468,5.224723
1,5.631154,6.7059054
0,-24.39885,-6.4381475
1,3.6181448,-3.7680535
0,-5.170831,11.23896
1,-10.810956,-18.515053
1,20.29817,2.664429
0,-22.984098,-22.544819
0,-19.12247,-12.982324
0,0.4201723,9.226387
0,-2.1177454,-13.490261
1,28.16198,12.935315
0,-2.0344036,8.609485
0,-4.212077,13.67976
1,27.806372,8.389951
0,-5.469465,-10.6999655
0,-19.082981,1.8924032
0,-13.468394,1.7391614
1,24.892239,1.7423058
1,19.970604,14.833714
0,2.3686643,5.520924
0,-5.0081267,-9.302467
0,-20.044724,-8.71472
1,-10.132685,-21.652782
1,24.000204,4.294379
0,-14.459905,-1.918374
0,-3.4432342,15.3441105
0,-18.691128,-7.2475986
1,5.7170453,-4.861274
1,16.561607,9.163395
1,11.480733,18.221197
0,-22.707762,-20.243725
0,-18.163641,-20.887878
1,26.23209,12.191966
0,9.792073,19.425472
0,-24.793837,-7.5938325
0,4.007846,-5.809273
0,-8.867131,2.1995516
0,7.9810486,5.4778485
1,24.807377,10.773724
0,-6.7816577,4.7654004
0,-1.5558255,-14.4545765
0,1.2873554,-5.9267044
0,-2.6840975,-6.584488
0,0.6115495,12.273756
1,24.252487,6.010359
0,8.750524,11.114709
0,-10.66569,-16.451607
0,8.558012,22.847338
0,11.000435,0.21467979
1,-1.0664675,-0.45519677
0,-18.453032,-6.2315874
