,0,1
1,8.53458,-4.8534226
0,6.2325983,-6.5739927
0,-1.0826161,14.116101
0,-16.276604,6.936404
0,23.386934,-20.703047
0,8.680258,4.802071
0,24.310635,-13.435242
0,24.285091,-9.934478
0,13.587054,7.311232
1,17.060944,-21.34525
1,14.7054405,2.3028524
1,-33.294937,17.347494
1,-6.7883887,-4.431706
0,22.88973,-12.420218
1,-8.910708,5.274804
0,-9.039243,10.040913
0,0.22885549,6.28679
1,21.05128,-19.118639
0,26.794523,-12.513146
0,23.84784,-14.4077635
0,-3.127637,8.657008
0,-2.6907902,3.952254
0,-25.971296,9.29258
0,13.731443,-7.6260557
1,14.947543,-15.067668
1,16.93702,-18.864788
0,-14.577979,7.789705
0,2.3123777,6.3463798
1,-10.009071,13.305957
0,2.922145,-12.505372
0,-21.075003,18.843819
0,16.542665,-6.412046
1,-22.399391,19.642223
1,23.636644,-17.669958
1,7.174544,-17.23673
1,21.056005,-8.625766
1,10.114228,-20.797358
0,-5.0126147,-0.21583427
1,20.511414,-10.0555315
0,26.03157,-4.7137575
0,27.231272,-11.533775
0,0.027318388,14.886831
0,-7.892162,1.8799582
0,15.681326,-5.5404534
1,9.09937,-12.867241
0,-24.138136,6.847144
0,-18.938995,9.177498
1,-3.0700421,-6.24299
0,2.4329226,11.200686
0,-22.095127,4.9393044
0,14.866661,0.927009
1,5.013873,4.71272
0,23.363298,-10.827391
0,14.125433,-5.235147
0,-26.475246,7.626341
1,-2.9461331,-11.673649
1,-11.563389,11.594624
0,1.124015,5.120602
0,7.5195756,-6.2529793
0,18.403065,-12.947093
0,-21.502203,3.654668
0,-0.8875882,16.94098
0,25.241,-4.498596
1,20.101234,-22.275824
0,20.247076,-7.7862
1,2.4250379,8.965577
0,0.36547127,-3.5885038
0,-21.735826,12.239125
0,-7.7057714,5.216814
0,-8.105222,-4.887048
1,14.742453,-1.743593
0,14.996561,-11.267368
1,22.68876,-21.649696
0,-7.848828,4.1202035
0,13.51272,5.150124
0,8.122256,-11.544051
0,-19.850523,16.862537
1,4.222766,-1.3433416
1,-29.833912,6.09099
0,20.677341,-13.141292
1,-9.814091,-5.5543385
1,-24.969679,16.501545
0,13.30147,-4.797492
0,8.615009,-2.848682
1,-29.021458,17.252748
0,-3.996197,-5.679312
0,12.41471,-9.168186
1,-5.4787536,14.978629
0,11.657518,9.709228
0,6.256954,-3.1934261
0,8.326497,7.857094
1,18.35708,-21.974506
0,4.92146,-3.056669
0,13.207997,8.762295
1,19.297178,-21.871557
0,13.26805,-10.64978
0,2.231861,10.252935
0,-30.807003,11.802859
0,-31.823414,17.79194
0,-0.70260984,-8.220666
1,-10.814978,12.271993
0,0.12509665,13.854441
1,13.0602,1.698401
1,-1.6158717,-6.047994
0,24.62861,-5.9130297
1,-6.599775,-5.9023714
0,-20.22322,2.7971525
0,16.513018,-16.88934
0,6.835131,-4.283201
1,3.4534981,8.021955
1,21.12128,-22.588547
1,7.6766415,-4.498842
0,-15.619375,10.300038
1,6.568475,-12.050138
0,17.361723,-12.337144
0,26.20198,-10.0131035
1,-3.0781918,-13.014282
0,11.451765,5.168891
0,13.037387,-2.4553974
1,10.075605,-14.441682
0,-7.693267,15.123799
0,15.87009,-1.816547
0,-5.643986,-2.411343
1,0.8914766,8.446582
0,-29.802414,12.750915
0,11.895978,-10.793928
0,5.535791,-4.0251527
1,-17.504171,7.4585805
1,24.46923,-11.188114
0,13.779691,-14.57977
1,-22.150331,10.586144
0,-5.8155847,-5.7140646
0,23.090303,-5.8578315
0,-4.8179016,4.957108
1,6.682347,-18.004892
1,17.442223,-16.489532
0,-6.9775944,6.399353
0,6.643377,-1.3364178
0,-1.1856291,8.18012
0,10.556065,10.226806
0,24.117956,-16.777956
1,-26.746511,12.640409
0,-15.3836775,8.754075
0,-31.486605,16.764019
0,11.34221,-1.64327
1,-25.605415,3.8508162
0,-6.2866416,5.173746
