,0,1
0,-11.577663,0.018108536
0,-4.83392,11.431918
1,7.7918673,-15.382824
0,12.119823,-9.352376
0,3.5498998,2.161755
1,8.8303175,-12.153232
1,8.061626,12.806296
0,-1.5436008,13.3314
0,0.06757587,-14.889692
0,-20.835127,-1.2135153
1,21.800518,-11.415071
0,-16.66631,5.6352067
0,-10.547688,13.239025
1,9.015533,-16.159275
1,5.9175577,-18.551195
0,-15.915571,6.724971
0,-17.483032,7.957912
0,-11.47362,-14.113798
1,3.6280146,-7.441879
0,17.024534,-13.6779585
1,22.356268,-9.219118
0,14.844556,-6.260463
1,-2.2646399,17.84864
1,3.9893303,-5.4621325
1,5.8722944,8.634775
1,-15.883459,7.5702786
0,2.4730072,-15.616779
0,-13.840136,15.73224
1,-4.3105707,-15.507607
0,-2.5488734,13.583902
1,6.8686023,16.208607
1,11.578161,-7.2937136
1,-0.022818655,16.19505
1,11.869321,-8.317387
1,-2.4255896,7.524963
1,-5.786474,12.51319
1,5.186619,19.143705
1,16.168736,-20.01626
1,5.555791,15.363263
0,-9.331581,0.75240576
1,-5.3544736,-15.688618
0,-17.939287,-3.0693502
0,1.34911,-15.086319
0,-1.4013209,17.806358
0,-21.479364,-3.067379
0,15.120214,-8.235217
1,-0.20837374,-8.259194
0,13.940915,-17.91457
1,5.206456,6.5146317
1,16.193829,-19.201086
0,2.3484752,7.4005795
1,-1.9855607,14.611651
1,23.593218,-12.667534
1,-7.847057,-15.059824
1,-19.06746,5.526571
0,-21.285606,-0.54843944
1,-11.863908,7.5645223
1,2.899168,-10.945147
0,11.17605,-18.435394
0,-6.330893,11.66003
1,-15.968541,13.164696
0,1.8799293,5.50105
1,11.968884,-17.265041
1,-12.372274,15.728781
0,-10.627321,1.9584086
1,16.13422,-21.47251
0,1.4933109,-6.4657035
0,6.2921085,2.343853
0,12.590242,-16.620396
0,-16.2076,15.907024
0,-8.501042,-2.9960313
0,21.758783,-8.056813
0,-14.160506,8.46585
1,-13.170764,1.5468278
1,18.481363,-8.405559
0,-22.830019,1.6045284
0,-17.62841,-0.49742085
0,-10.210403,-12.94872
1,23.459635,-8.454252
0,4.7851696,-5.5653195
0,1.845441,2.6241636
0,0.48558205,-10.413079
0,-16.055418,14.15892
0,5.1033635,2.1779401
0,4.3434305,-19.813852
0,-22.596735,-0.7444708
1,11.966001,-20.568996
1,7.7189827,13.880936
0,-12.89178,13.62244
1,18.325415,-18.866743
0,8.432779,-14.641468
0,-14.994949,13.08675
0,-11.607049,4.8948007
0,-16.967453,14.527019
1,-12.117509,5.8785524
0,16.966776,-12.644534
1,9.661715,-20.27452
0,14.672567,-4.9371915
0,-16.486403,3.3073392
0,-10.181443,9.121978
0,-12.718522,16.964705
1,16.691452,-8.076949
0,-0.7269069,-10.796429
1,9.889102,13.731597
0,-16.310087,-3.40043
1,15.64102,-8.815758
1,4.261512,-8.725689
0,4.099984,19.388681
0,6.77603,-22.165886
1,-3.6518226,14.093829
0,-23.549177,0.374771
1,3.484515,-6.548346
0,-17.068129,9.643864
1,7.6989355,-12.869716
1,11.278273,-12.525276
0,-4.832293,-14.825028
0,-0.31101322,6.859184
0,-1.0671959,0.28056607
0,14.134403,-8.536275
0,-18.055775,5.1474094
0,-8.853305,-0.91948843
1,8.949899,-21.723333
1,-8.553303,11.178929
0,6.3148847,13.723521
1,9.52849,11.832699
0,-21.471144,3.6142244
0,17.811632,-10.085787
1,17.103533,-10.701222
0,-1.7662476,-1.8036406
0,7.01253,8.072841
1,14.33589,-9.380868
1,2.3222435,15.145079
0,-5.0397515,17.940641
1,17.842962,-8.909403
1,20.647299,-9.282362
0,0.33633295,6.445237
0,5.8857293,-21.102203
0,-8.672298,-0.02858195
1,-1.6988028,-0.9132615
0,9.37056,-16.826632
1,-6.6227884,-0.9628995
0,-22.296457,-3.3256514
0,-7.9297233,0.41878372
0,4.6395226,-7.2887926
0,8.803112,10.928539
0,-11.0027275,-13.267844
0,0.7228411,1.0125612
0,-2.6468828,17.165861
0,-12.987442,8.055624
0,-16.635798,13.042632
1,9.690473,-12.638342
0,-12.878118,-0.3297593
0,6.983169,15.448011
0,-3.072674,-9.89817
0,-5.1543136,-14.027528
1,-5.891749,16.40184
0,1.9975517,-5.5600567
1,21.993147,-13.289749
0,8.475294,-19.423288
1,6.296017,15.782267
0,-0.1083002,-13.181934
0,-4.8308225,-5.463543
0,-6.4125667,9.069371
0,1.676477,-2.312061
1,13.751813,-6.230627
0,4.0170226,1.4106858
1,-0.4729351,9.1156435
0,7.0554028,0.27144304
1,10.552026,-10.6689205
0,1.2391864,-9.163143
0,-5.5880117,3.2365868
1,17.76217,-10.983411
1,17.746626,-14.030753
0,-1.7092718,16.368116
0,-2.2682633,8.740315
1,-11.46165,-12.320603
0,11.109465,-16.822891
0,-17.247898,-1.8503882
0,-17.159266,-0.088915154
1,-15.09363,10.474821
0,0.5463185,-14.103896
0,-18.420599,13.351282
0,-2.6471138,-0.6048304
1,6.962133,17.896914
1,1.5775802,0.06835332
1,7.92559,16.241205
0,-20.532804,0.4330844
1,8.657473,12.275738
1,7.700584,-20.195839
1,3.1776748,1.1722065
0,5.1275764,-8.115505
0,12.981348,-10.653406
0,22.930307,-11.989199
0,-20.595757,1.4171245
0,11.207149,-8.242292
1,16.821209,-19.859941
0,7.4911513,-2.0966806
0,-18.08286,0.31680924
0,-13.955579,19.312378
1,-5.518163,7.4807105
0,-19.268116,-1.9580239
1,4.934561,4.9290915
1,-0.5880939,13.549101
1,1.0699465,-2.0284522
0,-9.319899,-12.329275
0,6.6019034,-2.354962
1,8.171943,-12.093687
0,-12.080147,-12.742498
0,1.9825368,-11.804472
1,-5.12065,6.6651483
0,7.382248,10.460879
0,-12.556568,6.6732435
1,23.035942,-13.214635
1,2.8750746,-7.3925304
0,-8.678272,-14.726891
