,0,1
0,14.220902,-3.324688
1,-23.303268,-4.9724393
0,10.117721,21.936594
1,-25.25881,-10.969812
0,13.338521,15.791354
0,10.764606,9.335312
1,-7.0222855,-9.034765
0,4.0162477,3.147538
0,14.231692,20.310448
1,-13.861949,-22.059217
0,2.9235609,17.210997
0,13.707883,2.344424
0,18.985998,22.940145
0,13.015599,7.1909275
1,-20.11163,-15.7930155
0,-3.7723362,-12.15939
0,6.070881,21.937307
0,4.8933825,0.19870704
1,-7.0903378,-15.0661545
0,13.304264,26.712746
0,-25.18354,-0.117263414
0,-2.7546318,-10.759217
0,16.572268,2.822471
1,-20.041883,-18.354898
0,-8.924644,-11.835009
0,11.29336,-6.341092
0,11.250385,24.794527
0,6.495364,-0.42386988
0,-13.515548,-23.362255
0,-2.319466,-11.729103
1,-22.093962,-7.0008388
0,16.766748,1.5672336
0,-24.201881,-1.0706767
0,-3.328092,4.056639
1,-22.969265,-9.673137
0,11.85059,-5.463471
1,-10.640813,-17.216185
0,11.900814,12.514157
0,-11.872714,-17.69245
1,-5.4445662,-4.4313273
1,12.042477,-3.6851
0,2.624821,12.479053
0,16.875765,15.650155
0,17.072193,16.842978
0,14.851622,4.954904
1,-16.403536,-20.839222
0,-4.6841593,9.369043
1,-4.6071706,-7.0691094
1,-24.084082,-13.282758
0,11.644801,-4.5950594
1,13.9295635,-2.3571694
1,-18.6366,-8.444775
1,10.888116,-3.8254502
1,-21.135742,-6.2814794
0,17.58866,17.889088
0,-13.241269,-21.565393
0,-9.954424,3.4611807
0,0.2617654,-0.8480187
1,-16.25113,-12.9047165
1,2.3332434,-2.0360608
0,8.580532,24.495113
0,-15.171491,-4.761294
0,11.239301,21.487228
0,0.5084724,13.957032
0,-21.33818,-2.0231228
0,-2.5823464,-0.8364899
0,13.5419445,3.2757564
0,14.703816,-1.8098363
0,-0.210071,4.7316847
1,-12.736853,-17.002155
0,-4.2141066,10.527974
1,-18.674665,-13.545387
0,-13.583551,-18.34617
0,6.7528243,7.847509
1,-20.16245,-14.435846
0,12.579335,-6.4590764
