,0,1
1,-8.008142,0.03508498
1,-2.6389844,13.048981
1,-2.731967,3.399188
1,-11.971738,6.919896
0,21.296745,18.625322
1,14.676649,14.818213
1,-9.599255,-22.225975
1,18.489407,15.506129
0,-5.906426,-19.702097
1,-7.9738407,-20.713808
1,-16.028822,-23.021717
0,-9.322352,-3.7121172
0,4.6426787,13.765461
1,1.1755345,0.07769819
0,-4.683983,-6.6784134
0,-0.30036014,-5.0385613
0,-9.933326,-11.706883
0,-15.328489,-16.585835
1,-6.997648,-4.200149
0,-9.159778,-10.357934
0,-11.732863,11.65132
1,-18.339657,-20.8417
0,3.182771,8.668971
0,13.7206,1.5972404
1,-12.657231,-27.236126
0,8.394169,-12.106223
1,1.6011842,6.3129053
0,-9.056523,-4.9154916
0,-4.0077934,13.246312
0,18.659788,19.037064
0,13.840575,18.592588
0,12.865897,7.670333
0,-10.676385,-12.414089
1,-15.791045,-27.572594
0,-5.645491,-6.94149
0,0.05937075,-13.106268
0,2.6117752,4.832389
1,1.3802527,13.167397
0,-5.401459,-5.262431
1,7.2735624,-12.881758
0,15.787921,12.475363
1,-3.3574994,12.159455
0,-2.1739838,20.304825
0,0.41189605,4.108216
0,12.96304,18.10745
0,19.537827,10.792929
0,4.595643,9.575188
1,-20.208347,-20.111265
0,-8.53288,-22.874413
1,-10.974829,9.470067
0,2.8337886,-5.077707
0,2.135688,-9.577623
1,-14.102412,-22.082047
1,-9.732394,10.885433
0,14.601698,0.32232556
0,5.9704995,-1.8579136
1,-6.5052676,-1.4728079
0,-7.9500756,1.2183317
1,-12.477784,-23.340857
0,15.226992,18.789724
0,20.886267,14.671063
0,-3.8096774,18.158487
0,3.5569549,-2.9799504
0,5.0619416,-0.05222776
0,8.469566,0.85883844
0,21.74095,13.391734
1,-17.24708,-18.023554
1,-7.7966213,-10.35528
0,-8.32463,-21.755142
0,-7.116449,0.0774435
1,2.9273067,14.878664
0,15.257888,13.854002
0,-10.942833,-10.724877
1,-13.398275,-18.922115
0,22.307787,8.634884
1,-16.84513,5.9956446
1,-9.410506,-25.801159
0,-8.611653,-20.097443
0,24.1546,13.291824
0,-13.667866,9.601827
0,16.965414,18.01238
0,-4.603399,-10.801748
1,22.005003,8.073026
1,1.3343241,16.003672
0,-0.92340267,-12.04103
0,-15.366003,-30.499115
0,12.6361885,3.5768352
1,-14.037979,8.085687
0,-5.8067775,-12.251582
1,7.547813,10.563664
0,25.272026,13.368228
1,5.2935843,15.363961
0,-0.7142345,-13.719019
1,-3.0053465,19.207842
1,-3.1206903,16.468784
0,-14.657403,-27.029005
1,-9.570294,7.0728426
0,0.24714604,1.2876612
0,12.013981,3.0672607
0,11.463394,13.866406
1,-15.545784,-28.779715
1,-8.476731,-4.0734873
0,7.3622127,-11.566103
0,14.518988,-3.214611
1,2.3320587,12.904906
1,0.5839813,15.558749
1,-19.192238,-21.595285
1,-12.218523,8.5246315
0,-4.6752534,-9.808352
0,-8.303757,-9.108143
0,3.52233,6.1776853
0,13.311409,19.78544
1,-8.696189,10.175478
1,-13.44504,4.826693
1,7.0813847,11.956136
0,17.370777,19.060911
1,6.1579657,9.304255
0,15.023312,17.538433
0,7.4470477,16.59329
0,-3.5787964,3.0167022
0,1.7986628,-12.020512
1,-1.4144423,-4.994215
1,1.9173855,9.62738
1,-15.379359,-31.44424
0,-5.4507923,-21.136423
1,7.957282,-2.1926205
0,15.890762,20.55428
0,-6.1790032,-3.382538
0,12.237114,-4.277191
0,2.505765,10.136232
0,-5.1301355,3.8152485
0,-7.4938016,-6.236103
0,14.687809,7.106488
0,-9.809903,-15.418636
0,17.599306,21.28484
0,15.190664,-2.9043202
0,9.785835,10.442847
0,-9.100828,-13.692809
0,9.405751,14.502936
0,-10.6725025,10.333874
1,-16.793842,-23.452265
0,-16.355066,-29.96307
0,11.063787,1.6815503
0,-2.6865673,9.820557
1,1.3232884,15.040163
