,0,1
0,-13.870522,-26.631964
1,3.243651,17.3337
0,5.2305737,12.460482
0,-9.114981,-19.006392
0,-8.864671,-20.304134
1,25.139282,32.985798
0,-5.706601,-11.743737
0,5.9592376,13.365703
0,-4.3849454,-0.572039
1,17.13186,15.653226
0,-18.743734,-21.982166
0,1.832892,3.9528017
0,-4.399723,0.23022965
0,-4.396165,-22.933428
1,21.82811,25.948774
1,7.239626,15.676582
0,17.420517,22.61437
1,24.309652,31.481
0,0.02930749,12.193811
0,4.8538566,5.307167
1,15.7319765,25.360079
0,9.706751,18.853224
0,-10.159542,-24.448917
0,-4.039395,-16.442299
0,-4.519874,-10.758358
0,-13.165803,-28.300884
0,-11.628892,-28.296585
0,5.846054,12.029383
0,-18.022211,-13.395698
0,0.5717694,2.0005674
0,1.2076288,17.395628
0,-11.258682,-24.914032
1,6.5287747,14.397511
1,23.083467,30.94484
1,21.001213,24.809221
0,-19.722301,-24.25216
0,-6.1715307,-8.770551
0,-15.301064,-29.832748
1,14.930982,24.701876
1,23.091837,26.359703
0,-17.95303,-14.617214
0,-6.746626,-24.554718
1,3.9689686,16.590633
1,-5.2718716,-17.920692
1,10.092621,19.6793
0,-13.6808405,-14.645552
0,-4.141773,-1.3046715
1,-13.83699,-10.584847
0,0.7671709,13.130218
0,4.423286,4.6520886
0,1.666023,5.2964125
0,-7.4456415,-27.998611
0,3.4453647,3.8362827
1,19.343403,25.440237
0,-3.2519693,-17.620937
0,2.6841006,-2.203533
1,11.943046,20.55043
0,0.25323853,-3.943819
0,-13.643447,-28.897678
1,27.753855,31.426634
0,-5.2605767,-16.919342
0,-1.9582204,1.662976
0,-1.5127296,-14.65883
0,4.442039,-0.98084635
0,-5.2224283,-6.4038095
1,18.094013,15.421153
0,0.94764054,3.75169
0,0.71108496,-1.9380502
1,2.2163355,16.17898
0,-15.692201,-12.518839
0,-4.235419,-11.611813
0,0.11296375,2.7200658
1,23.258184,29.694685
0,-17.403154,-17.526148
1,13.578259,19.061584
1,18.048584,19.169968
0,-0.52292925,-2.5965767
0,-4.8936043,-21.931444
0,-3.4982321,3.06084
0,-1.6838149,-1.9465833
0,-4.7564607,-1.8239158
0,-12.476249,-18.820236
0,-15.656302,-11.263448
0,-16.435888,-24.28257
1,23.646215,28.406155
0,-2.536696,-13.192816
1,21.616264,27.69906
1,14.047306,20.201498
0,-1.3692714,0.5388814
0,-5.2354937,-0.6983155
0,-12.44709,-22.93922
1,21.044529,26.368538
0,-19.005508,-24.32339
1,17.53385,23.23602
0,-1.2662572,13.828816
0,-5.790139,-19.192081
0,-18.077044,-9.823142
0,3.0922387,-1.0774741
0,-8.7216,-25.126251
1,21.568548,27.213455
1,24.665686,32.562477
0,2.1731415,-1.1603327
0,-14.404112,-13.734521
0,-4.129493,-22.069113
1,15.187812,25.533323
0,-2.4687233,-12.392437
0,2.9918728,5.5638747
0,-8.919401,-22.629868
0,-0.15201238,17.359463
