,0,1
0,-13.682122,-14.667473
0,14.588451,3.2419276
0,-4.382513,-4.6397467
1,-21.482513,-15.168665
0,14.053915,4.0936832
0,13.017325,15.135122
1,-16.90391,-17.334633
0,-2.0132117,-1.7459615
1,-8.905283,16.1826
1,-14.166955,-18.574026
1,-2.0949018,18.2871
0,1.4260185,-2.9115252
0,-5.5470166,12.800029
1,-7.8707347,17.190022
0,-5.744139,-10.916256
0,-7.638442,-4.0510473
0,-13.124294,-13.8102255
1,-8.36223,-2.5887496
0,-6.7673316,-18.169472
0,-3.648771,17.847502
0,18.876057,-0.6512282
0,15.7473755,-2.745681
0,-1.0462183,18.834476
1,-19.845724,-6.443815
0,-5.8715487,14.258004
0,-16.401382,-18.921999
1,-7.6542306,-5.628404
1,-7.231964,-15.338801
0,-3.4110181,-4.1359396
0,-6.0651846,7.502018
1,-8.761483,12.010248
0,-19.545914,-4.9350653
0,-3.3148136,3.7405684
0,-13.139789,-16.063147
0,4.2332826,-7.3476057
0,-6.967956,-16.816086
0,6.5077944,9.624696
1,-17.125793,-15.226232
0,-11.707111,-12.421815
1,-6.901771,-12.385351
0,-14.816181,-8.137017
0,-6.0772896,1.958281
0,-3.159677,20.34717
0,-8.262666,-7.533784
1,-17.601963,-15.918942
1,-21.693258,-6.540827
0,1.2947056,6.556571
0,11.155934,13.292804
0,17.490164,-3.4516304
1,-8.671132,-3.4415557
0,-6.5365677,14.041658
0,8.308968,5.531724
0,-15.532586,-10.679155
0,-4.511226,10.486827
0,1.6575739,9.945512
0,16.838446,9.40774
1,-19.952246,-11.1143875
1,-19.988293,-15.810657
1,-19.475592,-3.3911786
0,5.0141263,-6.279824
0,-6.2489157,12.289446
0,7.4105163,6.3694324
1,-21.750263,-8.825238
0,11.814825,14.170193
0,-7.447583,12.50484
0,-3.8546417,3.0240557
1,-5.065883,4.829795
0,-6.4905376,10.573842
0,-12.091647,-7.5745635
1,-19.661905,-13.192694
0,-2.8437228,2.8761234
0,-12.586487,-20.21667
0,18.896238,-5.558181
0,-4.5485606,0.6297363
0,-13.316797,-19.534428
0,-5.3652496,2.8468423
0,-2.2881646,20.267258
0,-8.967951,9.568725
1,0.43498686,-1.3722411
1,-5.4247003,-19.679506
0,1.1360214,-12.151239
1,-19.154581,-17.65708
0,2.5895844,0.5614932
0,-6.4367304,-19.50796
1,-5.3326707,13.502979
0,6.7388573,5.4991713
0,2.9076927,-3.4612858
0,0.97516215,-0.3411369
1,-0.080873795,18.02917
0,-4.3283052,11.616373
1,-2.0975327,1.6579995
1,-4.14771,-19.14586
0,-8.635304,-5.5247736
0,7.57655,4.2032685
0,-7.840378,-16.799974
1,2.010331,-0.4288983
0,3.3498468,2.9044173
0,-6.246489,4.8144617
1,-19.765617,-9.8572645
0,-2.386735,-15.837127
1,-15.835743,-20.576797
1,-4.774979,14.679107
0,10.404324,1.2931105
0,-15.727018,-13.772885
1,-5.7835927,15.857945
0,-0.49609333,17.263584
0,17.905285,8.503919
0,-2.566476,-5.514027
0,-0.30408183,9.2417145
0,4.777115,6.1793866
1,11.440894,-3.7442186
0,-5.0043507,7.399081
0,7.597416,10.465339
0,1.324783,8.014654
1,-12.799545,-14.737117
1,0.5295538,9.160537
0,20.34521,10.414603
1,-5.9553447,-2.7645895
0,-8.740696,-19.737873
1,-10.811065,-5.97842
1,-14.276991,-15.326054
1,-3.534603,-5.0404577
