,0,1
0,-3.5141683,-1.2965362
0,-3.3469613,-5.8427196
0,16.277967,10.020438
0,-4.711729,-10.477266
0,11.596187,1.7057356
0,13.264857,5.3056736
0,-28.607897,8.529952
0,-13.90108,-12.439585
0,-6.1848855,-10.869481
0,22.353533,4.669007
1,41.94241,6.9475513
1,18.333271,6.8051143
0,-29.948503,-3.6071875
0,8.918262,-7.6010213
0,16.943487,8.816813
0,-7.95478,-12.08454
1,38.965366,8.213889
0,-25.504297,-8.890012
1,7.669256,1.930175
1,26.772123,2.4679642
1,6.328376,-4.884693
0,-31.57098,3.1610575
1,27.629156,7.1708593
0,9.053832,-5.591197
0,6.079474,0.08580261
1,18.954655,8.767056
0,-11.985078,-12.612058
0,-30.588245,0.0545843
0,-5.939317,-11.280142
0,-0.21724933,-5.1794043
0,5.20373,-5.1323624
0,-7.1776686,3.5078363
1,19.182476,4.3817863
1,12.878387,2.6727664
0,10.109723,-5.3015943
0,-23.845467,0.15247826
1,9.719349,-7.1163044
0,-30.989624,2.7884471
0,-22.524965,-9.40042
0,-21.417873,-7.9447837
0,-12.977535,-13.266242
1,19.108679,3.0733058
0,-9.448762,-1.7131457
1,16.752216,5.6706614
1,36.08916,5.099119
0,-14.430728,-10.275626
1,40.187004,7.95627
0,-6.405364,-4.704576
1,40.191437,6.478309
0,-15.48246,-7.2591324
0,17.475878,6.17786
0,-5.4652176,-6.003724
0,-5.849911,-0.8204098
0,-11.55909,-7.8847976
0,-7.468487,-6.7816224
0,-12.35748,1.0156754
0,-16.82167,-10.031212
0,19.768429,2.0581925
0,-2.2170773,-0.5117809
1,41.243942,9.084208
0,-16.230253,-3.9765153
0,-15.844684,-11.933109
0,-15.202871,-1.6191496
0,-10.310149,3.363848
1,39.39249,9.968406
0,-26.974504,-1.6153965
0,-15.981567,-0.26833186
1,-8.834441,-10.576045
0,-16.33553,-10.690079
0,-23.77428,-6.259493
0,-15.397474,-11.195068
0,-29.52476,-5.7003284
1,-5.938137,-2.069363
0,-28.152271,-5.0709534
0,20.698816,3.2263453
1,35.461758,4.681103
0,-24.120066,1.6052157
1,39.52813,6.944901
0,-15.970089,-8.467264
0,14.915507,5.049325
0,-16.264837,-4.8704724
0,-31.5679,-0.30706447
0,-10.406708,-9.78547
0,-6.7480617,-10.059541
1,42.390694,9.138378
0,-12.271803,-9.781854
