,0,1
1,-11.055462,-4.128124
0,15.331989,-4.0037465
1,-18.083138,-4.276636
1,1.6460311,-13.90242
0,-16.730944,-5.9326262
0,-1.3911402,5.7547936
0,-2.2809708,6.705377
1,4.8063602,-0.4251269
0,-5.570698,8.180076
0,-4.757258,9.013219
1,3.6780767,-16.185759
0,-12.524745,23.131435
1,-11.579228,5.2955747
0,-1.3069819,8.06695
0,7.119042,5.552081
0,3.5961623,5.991899
0,-13.129857,15.410755
0,-15.199955,7.8939366
1,-18.426405,5.8555603
0,12.863976,7.5204797
1,21.503471,-10.582823
1,-20.753777,5.132489
0,-16.63081,12.336215
0,25.100412,-15.360581
0,-1.3941246,-2.6187093
0,8.230768,-1.5197757
0,-6.2360287,8.966999
1,-9.007185,-13.758413
1,-7.5990953,-10.311572
1,5.0345073,-15.772702
0,-6.9478984,9.967651
0,3.3082795,8.216856
0,-12.199085,15.162625
0,5.2723594,-12.895224
1,-10.046386,-2.4442196
0,-6.6748357,13.799202
0,-7.356761,8.944629
0,-4.504058,-3.016525
0,5.272813,8.677073
1,14.095296,-16.17835
0,13.376872,-6.586868
0,-17.36568,2.9573216
0,8.185339,12.278502
0,3.291232,17.460659
0,-7.598384,15.050229
0,-3.4448676,-3.730096
0,2.327621,-0.5177866
1,11.297888,-17.36073
1,2.6220913,-16.265648
1,0.42477584,8.3492365
0,-0.73946387,-13.423789
1,-16.543276,4.0314813
1,-2.1867309,-11.42064
0,-4.053049,18.732664
0,12.753296,-1.2035795
1,-5.4290743,-0.6643187
0,10.220848,-2.4159591
0,-5.1460085,5.7804847
1,-7.6476865,-4.2264743
0,6.058646,12.710799
1,-20.20731,0.2491652
1,-1.581482,4.895177
1,-0.84312195,-14.800691
0,6.1430755,14.718804
0,15.356197,7.264325
0,-8.077671,16.438757
0,-1.6319722,1.008611
0,-17.419207,4.760099
0,-7.4938846,1.9557316
0,-18.82305,3.9369807
1,12.706992,-5.322373
0,-6.5573545,-3.383454
0,23.042181,-7.9976406
0,-16.296143,8.34762
0,14.549118,5.5140166
1,-18.007654,-5.596501
1,-8.142609,-3.407997
1,-18.313944,-2.5289056
0,7.965953,-0.6558516
0,2.0321548,1.6266365
1,14.585038,-10.47862
1,7.1892314,16.898205
0,-11.006278,18.57127
1,2.7927337,-1.261408
0,-12.70095,1.4970294
1,-18.953754,-4.4376917
0,12.995992,10.460772
0,-3.2994618,-8.507331
0,16.257023,-1.3322492
0,-15.060749,9.355074
1,4.4877563,-14.108299
0,-18.509834,2.6983287
0,8.13328,1.8327318
1,13.822301,-8.700025
1,14.158426,-1.6238785
1,-20.470615,-4.698662
1,-16.244623,18.260822
1,-16.863907,0.29598808
1,18.148067,-5.144039
0,-5.7029715,19.510677
0,-19.935709,4.6886263
1,15.616351,-3.0376117
0,-18.862171,1.1717163
0,5.805204,18.529408
1,-17.173273,-3.6153123
0,23.316696,-12.446895
1,17.649273,-8.812699
0,-11.570683,19.709604
1,8.486162,-5.7257986
0,19.909473,-3.6686487
1,-9.068041,-11.782965
1,-1.9142727,-9.345624
0,-4.5523653,19.628553
1,0.32099268,-14.911735
1,4.875166,-17.380424
0,-20.234463,-1.824337
0,7.767774,17.551647
1,-9.993162,-9.971742
0,0.89123154,9.566041
0,-5.3020377,12.863875
0,2.5061975,6.79615
1,19.66516,-10.407019
0,-19.896309,-3.3585439
1,9.677747,-1.4563571
1,25.533993,-11.774779
1,7.1599126,0.053535778
0,-5.0761695,18.874357
1,-11.9675,-0.054548893
1,10.538529,-14.227102
0,-9.650392,-3.5918088
1,16.150274,-17.828499
1,-13.669563,-0.55172664
0,4.034001,18.296118
0,-4.2317457,0.62995404
0,-2.2789757,11.725344
0,7.101668,12.004875
0,-5.5239706,14.665199
0,6.250501,17.564638
1,-19.442366,1.7138879
0,-6.6487703,-1.7500585
0,19.128557,-9.783902
0,7.1025877,-0.89148176
0,20.798853,-4.7292624
0,-0.075997114,-12.784322
1,-17.442728,6.7922525
0,8.79881,7.254667
1,13.677633,5.730511
0,-13.8969145,18.826
0,-4.092571,15.763123
1,-17.953983,-0.691084
0,-13.637447,22.450714
1,20.696714,-16.820114
1,-16.071217,-0.90929997
1,21.538908,-17.124376
0,10.119524,3.76109
1,9.530021,-5.035436
1,17.46651,-10.922329
0,9.361059,1.2661949
1,11.355993,8.719098
1,-17.40733,-2.3311582
0,5.652394,7.6228466
1,-5.794342,-14.2063465
0,-10.761352,5.975623
1,15.406373,-5.6855626
0,-3.1992908,15.215527
1,15.447725,-9.176879
0,12.311178,9.387197
0,14.364289,-5.5807896
0,18.5141,-19.244759
0,1.0332193,5.966544
0,-6.9734874,17.068312
0,21.166615,-4.0261097
1,-4.1655126,-6.083441
0,8.792958,4.1926947
0,-9.8236685,12.196365
1,4.4524403,15.828186
1,-9.206453,-6.991599
0,13.957804,10.357224
1,-4.4908743,-0.48477617
0,2.5444613,-12.030212
0,-6.8431983,6.0331492
0,-13.539702,1.6859853
1,16.472498,-11.253643
0,-3.8339493,13.816596
0,-7.806291,-13.514406
0,-17.063435,9.850795
1,25.927479,-13.661336
0,16.850702,-7.852161
0,-4.58255,-7.4609127
1,11.835991,-15.917089
0,-6.7157593,0.85961056
0,4.4621496,13.088994
0,-8.841489,7.9099574
0,-15.138435,6.8717217
1,14.553894,-8.250507
0,-10.706496,-7.2208467
0,-9.71373,18.10853
0,7.322191,19.002766
0,-9.75773,7.346399
0,4.04303,9.960916
0,2.6848178,-12.86196
1,-17.792994,8.589943
0,10.871065,-15.051556
0,13.147789,-17.519077
0,21.937134,-4.769172
0,-4.4547863,-10.391449
1,15.497868,4.1952524
0,25.438303,-16.78268
1,3.8265958,-11.062879
0,-8.433776,-9.787779
1,17.688837,-7.388477
0,1.1668751,-15.871254
1,-5.858071,1.5421757
0,5.2986155,16.418606
0,-3.8046725,-4.995704
0,-2.1335022,-7.434431
0,-13.809206,6.2503324
0,7.802892,7.950412
0,-16.369877,19.44542
0,16.489733,-6.407049
0,16.135506,9.95249
0,24.700796,-18.391716
0,-1.8107234,9.230878
0,-6.326077,15.31528
0,-2.8638127,12.254896
1,-6.5935917,-9.0143795
