,0,1
0,0.43488443,16.599535
1,9.019795,1.1676681
0,-15.506158,-29.783342
0,3.5444293,1.9465121
0,-9.032281,9.493882
0,-11.801934,-26.309753
0,2.5920672,-18.362318
0,-12.168804,-20.749502
0,-15.038721,-9.919167
0,-8.826621,-3.7694025
0,-5.97353,-20.651585
1,8.221278,23.444046
1,12.504995,0.42986098
1,8.484261,32.544804
1,4.3641205,16.529129
0,11.249592,-0.30024433
0,4.198942,-4.54435
1,7.8367405,-1.662595
0,-14.237467,-13.103855
0,2.4691682,-22.086706
0,4.696994,25.470768
0,-4.622288,8.917695
1,5.9459567,15.174214
1,6.45593,19.416159
0,-1.1142086,-15.287089
1,11.418499,20.035137
0,-4.690131,7.9949913
0,-1.2743318,11.854805
0,-14.596971,-27.840776
0,-17.274683,-27.09428
0,-0.29364362,10.949301
0,10.811631,1.1876149
0,-12.441005,-23.25548
0,0.07356253,-13.087058
0,-0.9388825,-13.467123
1,10.128721,23.835415
1,10.794209,19.684013
0,-3.3528233,15.141712
0,-2.4724057,5.104591
0,-11.268825,-14.074551
1,8.089277,19.329062
0,-6.0867743,-23.001486
0,-15.481577,-20.039106
0,-12.774472,-12.579346
1,11.630182,-1.070068
1,3.7242568,9.01386
1,9.463473,32.319885
0,-18.245535,-28.131308
0,10.120426,-4.4537
0,4.8255973,-16.91865
1,6.768405,10.18698
1,7.8161006,1.8502561
1,5.63612,25.22932
0,-14.972601,-26.941984
0,-16.716112,-19.554409
0,-8.4273405,11.22701
0,4.0174513,-17.16517
0,7.6777997,9.8684435
0,9.704316,1.4680655
0,3.0828698,-21.159966
1,8.315544,30.496807
0,-4.9026585,-12.451365
0,-4.7000093,5.4501357
0,7.7056646,2.7568543
0,-9.301528,-25.258484
1,5.841307,-9.909119
1,-3.8741777,13.310216
0,-2.477591,-1.2200265
0,-17.983793,-10.093753
0,-15.547371,-22.797234
1,14.602316,10.377931
1,-0.6645286,2.6201966
1,5.3344774,29.716244
0,-12.696087,-19.449951
1,13.240434,10.218262
0,-7.4783206,-9.7247505
1,4.4966745,17.608541
0,1.8368788,-19.500824
0,-5.260233,-21.413143
1,11.645776,20.988874
0,0.1826405,-0.2621557
0,13.620579,0.48167259
0,-20.398941,-13.187281
1,9.216646,23.63785
1,7.6011467,13.660351
0,-9.332615,6.663846
0,-14.989148,-13.529339
1,7.9067674,26.021982
0,-12.766259,-14.339655
0,-1.8625951,-16.506868
1,6.94019,20.677265
0,-10.177321,-27.565449
0,-17.830269,-12.471269
0,-6.577357,-26.008228
1,8.161793,26.930197
0,5.135772,16.014029
0,-19.75106,-12.604065
0,-11.712795,-24.212519
0,-17.872492,-20.212421
1,7.5586967,-0.7852691
0,2.0728927,-15.602493
1,5.4524846,28.663906
0,-9.852453,-28.502878
1,5.6761665,23.444895
0,-6.0276275,13.368434
0,-12.767771,-10.788278
1,6.1817975,-11.519065
1,10.233803,12.942928
1,10.203606,28.151638
1,6.712298,3.34601
1,8.898756,16.525719
0,-7.4660835,-27.332232
1,9.282502,7.353808
0,-5.1241984,1.584057
0,0.33253434,-17.334686
1,7.5856643,21.714247
0,-9.240344,-13.379913
0,12.334656,1.4268123
1,8.155325,34.80721
0,-10.897539,-26.570023
0,-8.306313,7.1939797
0,-1.7151573,-12.917123
0,-13.604428,-13.790717
0,-4.164953,-21.853338
0,-11.401593,-25.272596
0,-3.54653,2.8607864
1,9.904169,18.662527
0,5.546814,-16.077774
1,6.68227,32.428997
1,14.422188,13.943108
0,6.494977,2.3216474
0,-7.6862926,7.355555
0,-0.83122027,-14.414224
0,8.107404,3.8563619
0,10.726743,7.4308963
0,-3.835496,-22.969025
1,5.590252,14.1401615
0,-11.018621,-11.42148
0,-16.407616,-18.349972
0,-5.0986824,-26.832123
0,-5.0896845,-1.9797444
0,-8.345306,-1.0532823
0,1.5065548,-6.9603744
0,-4.5179415,0.5010549
0,-7.407482,-10.604559
0,-1.1892061,1.9588941
0,1.3322285,-16.176271
0,-13.312068,-30.33135
0,11.354332,-3.8559413
1,4.7308106,26.347965
0,-0.035938893,-20.281864
1,7.0503993,33.333427
0,-5.4078336,15.156516
0,-9.1961355,-21.663826
0,0.28076342,-14.712869
0,-7.746374,-11.374199
0,-3.912725,1.957219
0,13.977539,1.8842309
0,-9.874477,-11.147888
0,-4.85497,-0.74323875
0,-9.250887,-15.806395
1,3.8609622,-5.917744
1,8.990953,31.521795
0,-7.9151034,9.325334
1,7.8804383,12.903426
1,6.7322574,23.234747
1,12.255361,5.192559
0,-16.542679,-12.829035
1,11.126597,-2.4057357
0,-14.726719,-28.933918
0,-14.581826,-12.275627
0,-7.5635858,5.9944167
1,8.794612,12.370729
0,-6.0060725,4.052505
1,14.133456,1.1070448
0,-8.728712,-26.974688
0,-11.110149,-12.696438
0,-12.442163,-22.56049
0,10.606225,2.748228
0,8.322319,-12.232415
0,0.33002573,13.800166
0,-19.152464,-13.993945
0,-13.683113,-9.576004
0,-7.857594,-22.600422
0,-1.9391994,-15.330353
1,13.920509,2.802357
0,6.3104434,-18.694555
0,2.0129983,-9.288574
1,4.5379615,18.409714
1,6.57519,34.037697
0,-9.587085,-12.152335
1,9.516968,21.008806
0,-10.304216,-24.18498
0,5.4152417,-19.188932
0,-16.06396,-28.37237
1,5.9617653,32.603687
0,-13.532403,-23.847801
0,-4.020317,5.012264
1,3.0407267,-6.460973
1,8.398117,8.767237
1,6.7090983,21.584938
1,9.920262,-3.7223406
0,-7.878278,-20.957897
1,9.58074,-7.424585
1,-13.153891,-22.810009
1,12.06231,7.2864423
1,1.0405831,4.340367
0,-4.5871215,15.755375
1,4.713018,-1.1161472
0,-10.745868,-19.76361
0,-6.448311,10.148012
0,-14.661523,-20.12517
0,-6.932571,-0.5594723
0,-5.8293953,2.7917328
1,9.99499,16.951714
1,12.513449,3.5193996
1,5.8192034,30.35808
1,6.667086,12.463699
0,-16.233574,-9.878013
1,5.139763,-17.812592
1,11.423768,26.237688
0,4.0689616,-20.095123
0,-6.9535775,0.478488
0,-5.9309373,-27.113897
1,7.8261523,11.99927
0,-5.926261,-0.86007595
0,-12.063968,-13.427878
0,-5.9536,1.0199822
0,-7.342921,-23.53502
0,6.6428847,-4.339054
0,2.5537736,-8.019076
0,-0.94298637,-1.0579922
1,9.055949,24.557705
0,-15.622947,-20.929668
1,7.2927527,27.863201
0,-13.971335,-27.04827
0,8.051894,5.038123
1,-4.038926,14.30418
0,-2.8879192,-23.25355
1,9.284084,25.55391
0,-9.209835,-27.924252
0,-5.7740827,12.192566
0,-4.851028,-13.444951
1,10.287734,24.935501
1,5.295467,-3.301991
1,-4.4573636,9.977359
0,-5.296592,-25.635029
1,11.455759,6.669901
1,7.691845,7.4990664
0,-1.3699597,-17.791582
0,-16.352411,-10.627896
0,-2.079418,-21.877625
0,4.7348585,-8.790804
1,4.592401,9.099871
1,7.907684,32.498146
0,4.2347264,-17.812643
0,-12.842566,-24.360622
0,-5.258319,13.324163
1,9.286113,2.3240838
1,9.095273,-10.979039
0,3.9260447,-15.411209
0,-17.16956,-22.749664
0,-17.349215,-13.539068
0,-9.3332205,-0.71250874
1,12.94428,11.24754
0,-3.2519212,5.8823013
1,14.332631,4.5117035
1,4.695273,-5.3685775
1,9.850133,22.600893
0,5.005452,-20.139032
1,6.312262,31.485868
1,-1.1066222,-11.666892
0,-16.530008,-26.531883
0,-6.067357,-11.153959
1,6.110227,8.703184
0,-11.474146,-21.094496
0,-14.0893135,-22.196596
1,15.8343115,1.4538146
0,-17.06107,-10.888695
1,9.1910925,17.731411
1,-2.8227048,-13.456419
1,10.180448,12.06654
1,11.719482,23.921537
0,-0.5473821,-12.5976515
0,-17.277456,-10.032688
1,8.116408,31.653225
0,-6.7555714,8.458383
1,9.758641,10.855663
0,-10.034306,-10.393285
1,-2.961205,14.284659
1,16.010574,0.903203
1,8.198929,0.9897188
0,-6.41451,-9.805095
0,-7.060333,-2.5736337
0,-7.3532233,-21.775412
0,-2.9688714,-22.162125
1,3.6609545,26.469646
1,8.926953,22.548582
0,4.5588384,-16.140543
0,-6.0417805,-22.06902
1,12.930444,8.538901
0,-8.8684,7.659994
0,-0.2761027,3.630874
0,5.783712,-0.15583138
0,-10.346444,-22.437965
1,9.56334,28.189066
1,5.2635407,-1.9636309
1,8.8115835,10.240216
0,-7.9082255,8.652802
1,9.536482,12.783858
0,-17.642912,-24.387487
0,-18.881632,-12.293434
1,9.338999,13.849386
1,3.5624568,-16.136324
1,9.311013,19.417215
0,-17.60729,-8.737885
1,-0.5038912,-18.285301
1,7.0101023,-5.2011666
1,7.125066,11.226832
1,9.121359,11.63472
0,-3.7312737,-24.263744
1,1.1866864,15.884518
1,10.446611,6.1421824
1,9.992543,9.711636
1,6.612337,27.293234
1,8.7739,0.018847449
0,-11.914214,-12.466833
0,-19.895958,-11.76587
1,10.978884,24.297504
1,5.7131014,-9.141252
0,-13.0802965,-26.70129
1,6.1251283,17.06217
0,4.203072,-18.692122
0,-16.473963,-20.536291
0,-4.656161,3.5974586
1,-1.516604,10.123127
0,-4.479739,14.915533
0,0.6967508,15.08228
0,4.8870163,-10.120086
0,-6.5502386,-24.261377
0,7.181922,-9.149704
1,11.229633,22.390024
0,3.1036437,-17.454937
0,0.86912775,-7.8863063
1,11.588949,5.971942
0,-13.347771,-25.896866
1,7.857987,33.568104
0,-13.635011,-20.338766
0,-6.1995187,-12.116649
0,-2.695964,0.11338795
0,-0.09815174,-16.07235
0,1.7606113,-8.67429
0,4.2249637,-9.402296
1,9.90074,16.199955
0,-3.3214493,-1.41085
0,12.587319,16.410595
0,-0.6728719,-16.868954
1,3.7660804,-3.1453514
1,6.67994,15.955066
0,9.3499,-6.469464
0,-4.087936,-12.770509
0,-8.814639,-12.503696
0,-9.532846,-23.225803
0,-16.045355,-17.196646
1,7.9127035,18.370262
0,-4.9936857,-23.155373
0,-16.94647,-24.91066
1,9.223459,33.136703
0,-9.555152,-14.326261
0,7.072479,-8.116115
1,6.0664606,26.2117
0,-9.463172,-24.102428
1,2.8198814,12.340727
0,-2.012522,-1.6967585
1,6.805428,25.08986
0,5.0507956,1.7429485
0,-18.506773,-25.06778
0,1.4876184,3.7559962
0,-7.354357,10.16499
1,14.213352,13.043406
0,9.598435,-1.7776878
0,3.0448353,-8.7445
0,-17.61396,-26.28661
1,10.919856,9.938915
0,-8.628136,8.861309
0,-18.107855,-26.630154
1,-5.2169456,0.2904526
1,6.630434,24.125074
1,7.4295974,31.66549
0,-1.4406341,-19.835875
1,6.7992063,26.08202
0,-11.509462,-28.089502
0,-16.677692,-24.057364
1,14.425581,11.508968
0,-14.448592,-18.709011
1,5.6134195,12.340521
0,-6.196374,-1.70492
1,9.005124,7.990137
1,-0.5758369,1.1949635
0,9.532438,-9.377595
1,8.071034,17.61399
0,5.5005608,-13.92231
1,12.083985,2.3740807
1,3.1683044,10.885233
0,6.6191077,-9.750048
0,-7.775042,-26.612684
0,-1.3829857,0.69339365
0,-10.165633,-25.212929
0,-8.306915,-2.24752
0,-20.68388,-12.425514
0,5.4215674,-5.261538
0,7.3158774,0.37883118
0,-1.8890918,2.3769684
1,6.5495663,30.556337
0,3.2572653,9.607865
0,5.55414,-8.27525
0,-18.315145,-13.035989
0,-16.781109,-21.548653
0,-14.397971,-14.973534
1,9.229405,29.37599
1,8.264692,24.30076
1,9.907687,8.507706
0,2.84485,-19.430517
1,0.64503986,-12.079135
0,-7.614413,-3.4690967
0,1.4821906,11.349313
