,0,1
0,-18.80408,-9.800723
0,-18.368916,-4.6907387
1,-15.827787,9.406721
0,3.9180813,-1.782656
0,-16.280005,-10.87067
0,-13.7795925,10.848938
1,-8.552617,12.389083
1,-11.1079,17.717102
1,-11.904368,-2.097424
0,-1.159126,4.133735
0,-22.945198,-1.6574603
0,-9.286657,3.2339034
1,-15.132023,10.938826
0,-14.834824,-12.076905
0,-12.71344,-9.631154
1,0.60583216,-2.827409
0,-11.854479,1.4350289
1,-16.392998,7.4136925
0,-14.12586,7.4234977
0,-15.661089,-9.372416
0,-14.127386,-8.678243
1,-21.728662,-1.4172574
0,-2.1157942,3.3553066
1,-10.325744,4.743512
0,-9.209306,11.204772
1,-10.287096,17.512386
0,-0.10070306,-10.165956
0,4.9138417,-2.2829669
0,9.640961,-1.7942423
0,-17.379639,-10.987583
0,-19.735176,0.25221133
1,-8.168939,14.215472
0,-14.01359,-4.3567424
0,-23.3549,0.886713
0,-16.397472,-11.721413
1,-8.230965,-6.293416
1,-6.7580714,16.364616
1,-12.566804,-2.5435839
1,-8.542119,7.7177496
1,-16.639917,11.220226
1,-17.562109,-3.5911958
1,-10.27936,12.432109
0,-15.656127,-11.899468
0,-13.123386,-8.572618
0,-4.804399,3.0665283
0,-12.070563,4.678357
1,8.913885,11.011621
1,20.966042,13.73363
1,11.29374,2.501368
0,-9.841842,-6.7670484
1,-7.7682877,2.238313
1,-14.202792,-1.0805389
1,23.525263,11.466945
1,8.833588,10.137529
1,-13.9928465,-3.1985407
1,9.441683,8.97037
0,-11.97617,17.308249
0,-7.492394,-3.1630237
0,-25.232529,-0.5312508
0,-22.547693,-7.780685
0,-19.741812,-3.9690804
0,-12.383575,8.090292
0,-4.4389024,0.47542024
1,-15.5746975,8.618073
1,19.97914,13.1353445
0,2.3544767,-1.5910302
0,-22.498016,-0.61901647
0,6.400839,0.99659395
1,0.8241501,-7.561584
1,-10.252657,16.642738
0,-14.742355,-10.0248995
0,-9.216482,13.258418
0,-6.98543,5.8342595
1,-20.646755,-8.391334
