,0,1
0,-5.524107,29.888023
1,12.037962,-18.932224
0,-0.6563002,11.184478
0,-4.288379,-0.7205802
0,3.1644056,-2.6173913
0,-9.150964,19.617298
0,-14.823235,0.1517672
1,19.716015,-33.013943
0,-9.425563,15.823899
1,-4.2584195,-7.6390653
0,0.09970977,10.081017
0,-6.125782,17.143805
0,-4.6442614,17.437273
1,-10.269751,-2.837927
1,3.9089274,-4.9543176
1,5.4951725,-9.745101
0,-6.813698,17.59956
0,-7.076723,27.50441
1,16.570173,-17.015568
0,4.0309777,9.078962
1,5.816552,-12.518427
1,22.717115,-28.412895
0,-14.172365,8.613472
1,15.914309,-25.303673
0,-14.996982,3.5996397
1,-1.0806526,-17.197512
0,3.3556683,3.981305
0,-7.721532,14.795088
1,3.81083,-4.034705
0,-0.974831,-13.563595
1,8.199852,-22.481255
0,-13.909249,-0.44974324
0,-2.6383615,12.8513975
0,-16.239372,1.8186022
0,-7.8456707,15.697842
1,2.879166,-19.548475
1,8.444933,-5.1155353
0,-6.1608577,28.087858
1,11.077245,-22.304596
0,-7.7943664,31.851942
0,-9.076547,-1.3817183
1,21.656168,-28.434994
1,16.967218,-30.319216
1,14.328514,-13.497194
1,-4.2665796,-1.9942133
0,-10.319837,17.231838
0,-10.601396,29.745607
0,-9.662172,18.657406
1,-1.507019,-15.718769
0,-17.266438,2.1439807
1,20.93051,-31.279572
0,-3.296353,-0.24868393
1,3.2506578,-6.1777835
1,-2.0802228,-12.555152
0,-5.2737217,13.17426
0,7.797625,-13.557352
1,18.540007,-24.207354
0,2.0964804,9.808057
0,6.224731,10.614934
1,2.3970678,-14.006633
0,-3.0933053,-11.113601
0,-14.062314,23.602724
1,5.5875287,2.590109
0,-2.5492952,16.74411
0,10.0656805,-22.802773
0,5.389774,12.019709
0,-1.2273253,-16.707466
0,-3.8659985,13.024802
1,17.054707,-25.777485
1,1.6003785,-12.490134
0,12.934597,-18.474226
1,21.343508,-27.095478
0,-11.846568,5.6650333
0,6.456166,-0.053619154
0,-10.908871,-2.2571347
0,5.688149,3.7178473
1,-11.036907,4.117336
0,-3.1784492,13.808192
0,3.570309,-1.7699381
0,-12.02335,24.953478
1,15.417117,-23.359858
0,3.9951177,10.231462
0,-8.866155,-3.3255231
1,21.034903,-29.087814
0,-3.709513,17.880735
1,13.947739,-27.75431
0,-13.81059,4.26254
0,-15.256735,4.996739
0,-4.2071714,25.179575
0,-0.7085329,1.7956918
0,-4.8161297,25.530941
1,16.48318,-20.50111
0,-12.559621,25.385986
0,-8.288878,30.69998
1,11.702763,-13.134443
0,1.7600688,-20.79637
0,-3.1871157,15.9107685
0,-7.145211,-2.278126
0,8.733479,-16.25696
0,-14.56097,20.129217
1,-2.3514466,-15.932894
1,20.413704,-25.047985
1,-4.2183495,2.1902637
1,14.760858,-24.996899
0,1.0718421,-0.8990041
0,4.9027123,-1.49201
0,-12.721214,23.858662
1,20.106886,-28.590508
0,-2.5888758,5.3747993
0,-18.646107,4.7707734
1,2.0977254,-10.740523
0,2.1611924,-3.2190108
1,-14.1266985,18.858818
1,15.795688,-18.315979
0,12.986568,-15.965782
1,-6.940289,-0.99708253
0,-4.8708215,28.536371
1,2.822639,-1.8251231
0,-14.722302,18.156801
0,-6.133494,29.026596
0,-16.043756,23.533611
1,1.7126129,-13.332182
1,14.085458,-24.335245
1,12.437284,-20.169859
0,12.8280115,-23.891039
1,-0.5313993,-15.0978775
1,18.536058,-25.428234
0,-15.759688,24.427176
0,17.169758,-18.599794
0,-1.6243765,4.6165366
1,19.436792,-27.951117
0,0.31742212,-4.849939
0,6.3085494,9.573688
1,-5.6863666,-7.9288783
0,-15.633872,3.2329466
0,-3.919616,26.197636
0,-16.885235,4.8707767
1,8.87462,-17.10643
1,7.197675,-15.436969
0,3.5383961,11.205963
0,16.246996,-31.103752
0,-14.563901,24.663774
0,-14.717485,21.53952
1,-8.231531,-3.3375647
0,4.205943,2.7448113
0,-5.6166377,-1.9835347
1,-7.496561,-4.505607
0,-11.215766,17.941992
0,0.34892026,11.963045
1,16.101006,-26.086042
0,-2.436397,26.935854
0,-7.1410995,-5.7841997
1,10.733937,-4.0588408
1,18.93656,-33.30718
0,2.8273435,-4.365489
0,4.3274245,-5.7398114
0,-17.685007,4.3057327
0,0.7146205,2.0616105
0,-11.240111,16.40669
0,-12.58449,19.3478
1,16.695906,-25.222794
0,5.440808,11.088403
1,10.0338335,-7.3287973
1,14.931755,-29.915493
0,-16.18281,22.852638
1,13.929149,-19.224184
1,-12.40669,3.3069587
0,-13.572993,25.335014
0,0.89586663,8.907605
0,-10.908592,21.636463
0,-1.2354605,0.7922787
0,-11.339202,-1.5365351
0,-13.755789,24.55548
0,-10.393275,24.107176
1,16.153187,-28.740883
1,14.971778,-15.12884
0,-6.8162317,14.05341
1,16.81296,-21.671942
0,6.295752,-15.589474
1,0.06786519,-16.257273
1,4.5472317,-3.1084464
0,-8.262057,-5.0716705
0,-6.794525,31.297638
0,-18.928602,4.0450754
1,14.077425,-15.57229
1,0.034759313,-4.0823965
0,-16.690016,0.5181094
1,15.473658,-17.409378
0,-7.3209734,-6.965844
1,21.778318,-30.766996
1,0.89049506,-18.187138
1,-7.7998753,-2.5276995
0,-15.924686,25.51202
1,18.801767,-29.278685
1,14.296836,-17.960495
0,-1.5031406,1.9694166
0,-8.029071,-0.5901347
0,-7.541625,12.61858
0,-12.214471,4.926431
0,1.871046,-1.5207839
0,11.615199,-15.796751
0,-0.6807187,12.3738785
0,9.828081,-19.34507
0,-7.87459,21.112581
0,5.452111,0.17984217
1,15.493482,-24.431755
0,-8.659985,18.265581
1,7.4349217,-11.940604
1,12.286837,-14.580749
0,-12.393688,-0.88993716
0,-8.10746,19.101648
0,-17.59834,0.5957949
0,-13.149723,22.422783
0,6.5148787,-9.218203
0,-6.1818385,27.036413
1,-14.651521,2.5761561
1,16.64468,-31.871918
1,0.23897122,-13.8193655
1,2.759335,2.9025502
1,-15.207691,-2.1604795
1,22.695078,-30.149328
0,-3.0810914,25.657465
1,16.315329,-18.659218
0,-12.791397,8.5711975
1,9.036795,-21.749163
1,3.9726844,-9.846125
0,-8.789552,31.416874
1,5.3182225,-6.13485
0,-9.863941,19.596731
0,-10.748718,-0.7384774
1,21.39785,-25.77786
0,-4.054382,16.502722
0,-12.623762,8.274348
1,13.441686,-22.74814
0,0.88505244,-20.55975
1,20.967943,-32.27131
0,-7.28815,13.570531
0,-6.741942,30.448132
