,0,1
0,8.723347,10.126575
1,-9.412459,-15.38648
1,16.215666,5.8229375
1,-18.561192,-6.8956747
0,2.1893692,-4.4481025
1,-1.2064416,-13.970406
1,-18.714357,-19.275833
1,-10.926612,1.116924
1,-17.529211,-7.5333447
1,-17.143549,-5.5392933
1,-18.01699,-0.8417202
0,2.7835808,6.2841268
1,-2.2260745,-9.76637
0,1.6621741,-10.9543295
0,-15.455316,4.6733403
1,-11.076101,-14.123644
0,-3.4411786,9.315581
1,-19.259514,-10.798042
1,-16.128017,-20.633146
0,-16.328579,-19.543365
0,-3.0328836,-10.582876
0,-0.26677397,-16.736025
1,-23.572811,-15.466119
1,-10.38906,-3.8033514
0,11.951426,17.863804
0,-14.904172,-5.934938
0,-6.1550837,-9.427971
0,8.274057,1.1739416
0,-1.2873989,-5.716459
0,10.193219,0.25253627
0,23.584484,9.187851
1,-16.643219,-12.429251
1,-14.66874,-21.59081
0,-7.3711004,-1.9008385
0,0.38403076,-14.602375
0,-8.003865,-2.9958498
0,-17.50788,-12.437152
0,-11.323521,4.556904
0,-8.956054,7.556152
0,1.1623517,-1.7427837
0,2.004016,-0.28850845
1,-10.907411,-16.508564
0,3.0826867,5.1912785
1,-22.261324,-11.517239
0,18.43273,0.37734547
1,-19.262253,-13.54285
0,0.7238451,0.6719739
1,-16.693916,4.0399194
0,-0.4967506,-10.648008
1,-9.533153,-21.538635
0,-15.507027,3.59053
0,17.678648,11.090699
1,-6.5037203,10.306952
1,6.9181604,2.2417676
0,1.5047255,-7.8506813
0,3.0072463,16.380283
0,0.013594372,-6.7440352
1,-17.3043,-13.721427
0,-17.190895,4.6149516
0,-13.965132,-18.208853
1,-21.401125,-9.421481
0,-16.450535,2.533491
1,-6.6681066,-8.230027
1,-14.595581,-9.086418
1,-17.62273,-6.8820333
0,-16.449902,5.0611916
1,-10.243891,-7.4250517
0,15.876367,0.43734694
0,12.157958,-2.0694182
0,9.513823,11.383168
0,-9.423424,-17.4121
0,-12.390098,8.332525
0,-13.358761,-11.718565
1,-0.39897537,-14.582688
0,-5.42134,9.73265
0,1.8215022,-2.5171628
1,-7.5315914,-16.855396
0,-16.841267,-6.441307
1,-22.385792,-19.211962
1,-0.98449254,-14.979789
0,3.9546247,14.260771
1,-14.01945,-22.40373
0,-8.122337,9.706246
1,-9.525849,-19.483938
1,-7.358187,1.7397308
0,2.3160002,-16.725729
0,-13.170068,8.544778
0,8.527197,13.684611
0,-23.643972,-18.625992
1,-18.086536,-4.32586
1,-8.378063,-12.018706
0,21.6752,9.232357
0,-7.0412583,-2.6298115
1,-12.278854,-10.152954
0,2.6502182,15.744954
0,-7.929996,-15.87793
0,-6.729573,6.453444
1,-5.9044375,-1.8289739
0,-14.4246235,-16.508146
1,-17.896381,-15.527489
0,17.10103,-0.5651102
0,22.830574,0.8830031
0,-18.92494,-0.2299737
0,24.460018,9.876666
1,-21.605732,-19.63997
1,-20.195137,-10.024588
0,-12.417097,3.4003165
0,-9.2588215,-11.939205
1,-9.744106,-18.609686
0,0.6931157,-2.6197014
0,-10.0996895,8.285906
0,-10.873037,3.1039941
0,0.8242933,-3.6362064
0,-3.0479984,-16.479942
0,23.404352,4.145557
0,2.170616,13.119132
0,1.8130962,12.261224
0,2.339216,16.841208
1,10.632032,-6.191878
0,18.29726,6.5968027
1,-16.068302,-18.613298
0,-14.60327,-18.811468
1,-12.40133,-3.6559994
0,-5.212639,8.667427
0,-14.944584,-3.3031812
0,-9.937583,3.2229736
1,-21.545158,-18.574203
0,-9.615262,-13.762892
1,8.840232,-4.7553916
1,-14.325341,-7.199471
0,3.938628,6.1656837
0,11.8699,12.062433
1,-12.535191,-9.070156
1,-19.634672,-23.420958
1,-13.966979,-10.534555
1,-13.084845,-5.9572177
1,-0.2780106,-13.526159
0,19.0499,4.3699894
0,3.659681,15.572075
0,-13.057966,2.1558626
1,0.45418987,-7.4039416
0,-10.501521,3.8700092
0,22.389914,9.683161
0,-19.107079,-2.2888937
0,24.610458,5.2205787
1,11.304456,-4.4863667
1,-21.506552,-20.95575
0,-7.274068,-14.865509
0,-7.1835976,-15.812679
1,-11.440201,-8.773135
0,7.1631966,11.557884
1,-9.049038,-0.86330193
0,8.656401,-3.439972
0,-15.7442045,2.3789408
1,-22.814129,-12.595549
0,-4.682765,-1.078449
0,5.6531396,15.574773
0,25.671875,4.9300795
1,-21.860014,-8.494386
1,-15.058605,-0.6343571
1,-17.066204,-8.49924
1,-3.0273817,0.025805708
0,18.139719,12.195156
1,-13.472385,-8.489372
0,18.037336,5.2487793
0,-10.917833,7.2132797
0,10.414386,12.839477
1,-21.626442,-12.317475
1,-8.505305,-16.461996
0,-6.03224,-0.5380609
0,11.485406,2.2624323
0,-18.67835,-14.324138
0,17.993715,1.2130055
1,-14.248259,-23.123568
0,10.97942,0.94138163
0,2.75292,19.161638
0,1.041076,-12.773545
0,23.332392,8.142171
1,-19.701206,-20.709715
0,8.975231,15.4454565
1,-16.782804,1.3835899
0,-3.9436255,10.99007
0,3.5105805,-0.12971911
0,-9.295332,9.261525
1,-15.26541,-22.326736
0,2.3799064,-1.1022226
1,-16.16724,-8.79807
0,-6.883427,-0.9750854
0,-8.525255,-12.88716
0,-0.9512879,-7.8915577
0,-6.416347,8.542096
0,18.97126,9.948522
0,8.32291,11.5563965
0,9.732649,-4.040423
1,-18.99791,-24.289885
0,7.713881,10.326414
1,-14.515483,-4.9027243
0,-16.38169,-7.792348
0,-10.272703,9.294915
0,-6.0231733,7.943858
0,0.65926826,-17.004255
0,17.921045,9.982177
0,13.30112,10.070045
0,-13.773335,7.8724437
0,-8.339839,-1.9941065
0,-0.7087978,-9.597678
0,14.967009,14.753603
0,2.8514118,0.5347875
1,-20.834787,-21.859465
1,-19.334255,-9.745648
0,-13.250759,-9.603149
1,-21.226845,-11.607217
0,0.07840918,-5.24551
0,3.3034132,3.3457983
0,20.252539,2.032129
0,9.746459,-0.62337595
0,21.318008,3.184028
0,21.475534,10.077463
0,-9.263502,-3.8419569
1,-10.924885,-3.0081596
0,1.5208752,19.128601
0,-4.954204,10.883618
0,-4.3912582,0.20406716
0,10.517976,-5.140684
0,22.479197,0.034086376
0,13.551774,5.8942614
1,-16.39095,-0.25185287
1,-0.5005134,-16.00877
1,3.5583,16.628986
0,11.388758,10.218731
0,-5.2656918,7.179359
1,-2.480214,-8.522607
1,-11.960534,-14.116336
0,9.614029,12.742948
1,-11.853656,-17.042334
0,12.333784,11.483278
1,-12.312334,-12.5141735
1,-20.27693,-19.443602
1,-8.412007,1.6186004
0,16.426565,16.398987
0,-4.2328453,6.7752666
0,3.7544327,7.131623
0,10.694607,-0.2946086
0,-4.5782466,1.8986638
1,-23.54215,-12.524663
0,17.514318,0.29286593
0,6.037569,17.91567
0,16.38509,-2.313226
0,23.199715,9.913555
0,21.068039,8.677531
1,-20.143133,-12.20646
1,-8.145018,-0.10353243
1,-22.124008,-10.264589
1,-17.920502,-24.031897
0,13.452276,6.8806973
0,-9.8871355,1.80681
1,1.219999,-4.6756835
1,-22.736261,-8.612565
1,-4.028732,-10.259135
1,-1.4802389,-12.896392
0,17.671406,-0.8636003
1,18.057262,8.879256
1,-12.805205,4.896294
1,-20.329473,-20.985298
0,22.971851,4.799318
1,2.576766,14.099613
1,4.501647,16.139069
0,-6.5965405,0.5853424
1,-11.851586,-2.0435755
1,-1.5430084,-16.471773
0,21.54386,11.029007
0,8.329731,16.012606
1,-20.388453,-18.76695
0,5.9462047,14.792023
0,-12.471978,9.40494
1,0.76051265,5.4785304
