,0,1
0,-4.4970136,6.05035
1,-0.8935555,-17.503223
1,-8.463723,-3.2949555
0,4.019944,15.357281
0,-13.642862,0.57737416
0,-14.103429,12.069046
0,-18.051325,6.46736
1,6.4259,-1.0140239
0,-8.453992,13.491558
1,11.868814,-17.656246
0,-12.354763,2.8474073
0,-16.367367,2.439133
1,9.359701,3.0567555
1,5.0989037,-11.631379
0,-12.004544,0.89541775
0,-15.581184,7.748378
0,-7.323084,14.484502
0,-14.921169,16.11977
0,-17.893597,17.885014
1,15.498362,-21.427195
0,-14.949865,21.572378
1,14.977008,-19.654922
1,19.435984,-23.431498
0,-15.145204,13.271193
0,-2.0118628,7.392866
0,4.0446978,3.0713618
0,8.846052,0.38480312
0,2.117421,13.323416
1,18.465487,-21.38062
0,-15.287484,-0.86577964
0,-7.7955875,18.433994
1,13.819464,-25.304596
1,22.483225,-27.474241
1,-0.12055392,-19.05677
0,-3.8008888,-1.1050248
0,0.75228494,26.10656
0,-0.3302864,12.062621
1,8.395878,-17.264687
0,-7.5241747,5.89678
0,-11.965339,17.938766
1,-14.203212,-0.020161875
1,14.455521,-23.127415
0,-11.110789,17.045818
1,5.9147944,-18.406126
0,-16.017788,14.949483
0,1.6132576,5.9287806
0,3.3076582,3.5329535
0,-4.733248,-5.516473
0,-15.871339,3.1507394
0,-15.947027,19.75575
1,6.080175,-11.809328
1,-15.907261,6.7587137
0,-12.126493,19.693062
0,-8.700955,8.090893
1,6.1887507,1.2060897
1,18.642456,-19.30466
0,-16.993937,4.16295
1,4.1667542,-14.361873
0,-6.668192,22.05185
1,16.698568,-14.641877
0,-13.179781,-0.26657543
1,8.995174,2.6142418
1,9.949179,-16.238335
0,-8.814373,7.156063
0,0.8483599,-14.789452
0,-4.244219,19.098574
0,-5.8380895,19.938871
0,-6.5048428,-0.17471054
0,-7.629022,21.5993
0,-15.298271,20.643423
0,1.3039688,14.171163
1,17.062122,-21.131649
0,-3.4507892,6.094987
1,13.066997,-24.465034
0,-15.792084,5.3804684
1,20.381777,-24.489857
1,7.7893257,-14.400391
1,9.62374,-17.118313
0,2.8869188,6.249937
0,-11.067789,4.137003
0,2.4658227,15.879898
0,-16.438715,21.215069
0,-5.967628,5.970699
0,-8.059375,19.271614
1,6.625071,3.501232
0,-10.4452715,13.601842
1,23.066284,-27.792088
1,14.0374775,-20.150265
1,1.4709715,-17.62618
1,7.213473,-16.628895
0,-2.8618293,-2.7781606
0,-16.157042,8.838223
1,9.327751,-22.305674
0,-12.12697,-0.27283472
0,-5.9076605,11.294111
0,-6.5806875,8.851383
0,-8.217132,2.5809968
0,-9.113348,23.835083
1,11.036234,-16.411583
1,22.033216,-29.215904
0,-6.525988,25.77658
0,-0.5972255,12.870909
0,-6.2529864,-6.362491
1,6.0960684,-21.30362
0,-9.039393,12.467795
1,15.018559,-15.884432
0,-1.982665,6.1640415
0,-17.493479,5.2768
1,15.976651,-20.456182
0,-1.8269489,8.655551
0,-3.9047284,1.9678257
0,0.45196402,23.382772
0,-15.287974,10.504088
0,-5.1160226,-1.5266199
