,0,1
2,24.446981,-5.912598
0,24.446981,-5.912598
6,24.446981,-5.912598
0,24.446981,-5.912598
7,24.446981,-5.912598
3,24.446981,-5.912598
7,24.414944,-5.895719
4,24.446981,-5.912598
7,24.030539,-5.6984873
6,24.446981,-5.912598
8,24.446981,-5.912598
0,24.446981,-5.912598
8,24.446981,-5.912598
4,24.446981,-5.912598
2,24.446981,-5.912598
5,24.414944,-5.895719
4,24.446981,-5.912598
5,24.446981,-5.912598
8,24.446981,-5.912598
9,24.446981,-5.912598
5,24.446981,-5.912598
9,24.40522,-5.8906035
6,24.414944,-5.895719
7,24.446981,-5.912598
8,24.446981,-5.912598
0,24.446981,-5.912598
8,24.446981,-5.912598
0,24.40522,-5.8906035
3,24.424654,-5.9008207
5,24.446981,-5.912598
9,24.446981,-5.912598
7,24.446981,-5.912598
9,-27.429617,40.989883
8,-27.430542,40.989956
5,-27.412413,40.988415
0,-27.430542,40.989956
8,-27.430542,40.989956
0,-27.412413,40.988415
8,-27.430542,40.989956
6,-27.430542,40.989956
1,-27.430542,40.989956
4,-27.416573,40.98871
5,-27.430542,40.989956
4,-27.019037,40.95404
1,-27.120926,40.96634
4,-27.430542,40.989956
4,-27.430542,40.989956
7,-27.416573,40.98871
5,-27.408083,40.988052
0,-27.430542,40.989956
6,-27.412413,40.988415
8,-27.430542,40.989956
4,-27.430542,40.989956
8,-27.430542,40.989956
6,-27.430542,40.989956
0,-27.430542,40.989956
6,-27.412998,40.988464
1,-27.408083,40.988052
1,-27.430542,40.989956
8,-27.430542,40.989956
1,-27.413015,40.98844
0,-27.430542,40.989956
9,-27.408083,40.988052
8,-27.430542,40.989956
4,-11.599974,-48.066326
0,-11.599974,-48.066326
7,-11.599974,-48.066326
7,-11.599974,-48.066326
0,-11.599974,-48.066326
0,-11.599974,-48.066326
0,-11.599974,-48.066326
4,-11.599974,-48.066326
7,-11.599974,-48.066326
1,-11.599974,-48.066326
6,-11.599974,-48.066326
8,-11.599974,-48.066326
2,-11.599974,-48.066326
0,-11.599974,-48.066326
7,-11.599974,-48.066326
2,-11.599974,-48.066326
4,-11.599974,-48.066326
4,-11.599974,-48.066326
2,-11.599974,-48.066326
9,-11.599974,-48.066326
6,-11.599974,-48.066326
2,-11.599974,-48.066326
8,-11.599974,-48.066326
3,-11.599974,-48.066326
0,-11.599974,-48.066326
6,-11.599974,-48.066326
3,-11.599974,-48.066326
4,-11.599974,-48.066326
9,-11.599974,-48.066326
9,-11.599974,-48.066326
6,-11.599974,-48.066326
7,-11.599974,-48.066326
5,52.063763,52.981686
7,52.063763,52.981686
1,52.063763,52.981686
8,52.063763,52.981686
3,52.063763,52.981686
7,52.063763,52.981686
5,52.063763,52.981686
8,52.063763,52.981686
7,52.063763,52.981686
8,52.063763,52.981686
4,52.063763,52.981686
1,52.063763,52.981686
1,52.063763,52.981686
2,52.063763,52.981686
9,52.063763,52.981686
6,52.063763,52.981686
9,52.063763,52.981686
5,52.063763,52.981686
9,52.063763,52.981686
0,52.063763,52.981686
3,52.063763,52.981686
1,52.063763,52.981686
5,52.063763,52.981686
1,52.063763,52.981686
1,52.063763,52.981686
7,52.063763,52.981686
3,52.063763,52.981686
2,52.063763,52.981686
6,52.063763,52.981686
6,52.063763,52.981686
2,52.063763,52.981686
2,52.063763,52.981686
3,14.840014,-23.75538
0,14.84329,-23.77865
3,14.84329,-23.77865
9,14.843121,-23.777443
5,14.84329,-23.77865
2,14.843149,-23.777647
0,14.84329,-23.77865
8,14.84329,-23.77865
5,14.84329,-23.77865
8,14.84329,-23.77865
0,14.84329,-23.77865
2,14.84329,-23.77865
7,14.84329,-23.77865
9,14.84329,-23.77865
2,14.84329,-23.77865
9,14.84329,-23.77865
0,14.84329,-23.77865
3,14.843186,-23.777912
4,14.84329,-23.77865
8,14.84329,-23.77865
2,14.84329,-23.77865
5,14.84329,-23.77865
2,14.843149,-23.777647
9,14.84329,-23.77865
4,14.84329,-23.77865
4,14.84329,-23.77865
4,14.841561,-23.766325
5,14.840473,-23.758598
5,14.84329,-23.77865
0,14.84329,-23.77865
3,14.84329,-23.77865
9,14.843121,-23.777443
8,-52.54123,-19.289898
7,-52.54123,-19.289898
9,-52.54123,-19.289898
2,-52.54123,-19.289898
0,-52.54123,-19.289898
0,-52.54123,-19.289898
3,-52.54123,-19.289898
4,-52.54123,-19.289898
2,-52.54123,-19.289898
8,-52.54123,-19.289898
6,-52.54123,-19.289898
6,-52.54123,-19.289898
1,-52.54123,-19.289898
9,-52.54123,-19.289898
5,-52.54123,-19.289898
2,-52.54123,-19.289898
8,-52.54123,-19.289898
6,-52.54123,-19.289898
6,-52.54123,-19.289898
1,-52.54123,-19.289898
7,-52.54123,-19.289898
0,-52.54123,-19.289898
9,-52.54123,-19.289898
4,-52.54123,-19.289898
8,-52.54123,-19.289898
9,-52.54123,-19.289898
1,-52.54123,-19.289898
9,-52.54123,-19.289898
9,-52.54123,-19.289898
0,-52.54123,-19.289898
1,-52.54123,-19.289898
5,-52.54123,-19.289898
6,43.964264,75.09363
9,43.964264,75.09363
3,43.964264,75.09363
5,43.964264,75.09363
3,43.964264,75.09363
7,43.964264,75.09363
4,43.964264,75.09363
8,43.964264,75.09363
4,43.964264,75.09363
3,43.964264,75.09363
7,43.964264,75.09363
4,43.964264,75.09363
6,43.964264,75.09363
4,43.964264,75.09363
5,43.964264,75.09363
1,43.964264,75.09363
7,43.964264,75.09363
4,43.964264,75.09363
8,43.964264,75.09363
4,43.964264,75.09363
0,43.964264,75.09363
0,43.964264,75.09363
4,43.964264,75.09363
6,43.964264,75.09363
4,43.964264,75.09363
9,43.964264,75.09363
0,43.964264,75.09363
7,43.964264,75.09363
2,43.964264,75.09363
2,43.964264,75.09363
5,43.964264,75.09363
4,43.964264,75.09363
3,53.21694,-23.234926
7,53.216938,-23.234926
9,53.21694,-23.234926
6,53.21685,-23.234945
6,53.21604,-23.235083
9,53.21694,-23.234926
2,53.21694,-23.234926
4,53.21688,-23.234938
8,53.21694,-23.234926
6,53.21619,-23.235062
7,53.215206,-23.235193
8,53.21694,-23.234926
6,53.21694,-23.234926
1,53.21694,-23.234926
6,53.21694,-23.234926
3,53.21694,-23.234926
5,53.21685,-23.234945
5,53.21694,-23.234926
4,53.21685,-23.234945
8,53.21694,-23.234926
9,53.21694,-23.234926
