,0,1
1,43.986523,5.467094
4,43.986523,5.467094
7,43.986523,5.467094
5,43.986523,5.467094
6,43.986523,5.467094
2,43.98653,5.467094
6,43.986523,5.467094
2,43.986538,5.4670935
1,43.986523,5.467094
2,43.986523,5.467093
5,43.986523,5.467093
2,43.986523,5.467094
2,43.986526,5.4670925
4,43.986523,5.467094
1,43.986526,5.467093
7,43.986526,5.4670925
2,43.98652,5.4670944
5,43.986534,5.467094
1,43.986526,5.4670935
4,43.986523,5.467094
7,43.986538,5.4670935
8,43.986523,5.467093
3,43.986526,5.4670925
8,43.986534,5.467094
9,43.986526,5.467093
1,43.986523,5.467094
8,43.986523,5.467094
8,43.986534,5.467094
2,43.986523,5.467094
7,43.986523,5.467094
4,43.986523,5.4670935
2,43.986534,5.467094
0,-39.414215,78.50162
6,-39.414215,78.50162
0,-39.414215,78.50162
4,-39.414215,78.50162
9,-39.414215,78.50162
0,-39.414215,78.50162
5,-39.414215,78.50162
3,-39.414215,78.50162
4,-39.414215,78.50162
3,-39.414215,78.50162
6,-39.414215,78.50162
7,-39.414215,78.50162
4,-39.414215,78.50162
3,-39.414215,78.50162
8,-39.414215,78.50162
8,-39.414215,78.50162
5,-39.414215,78.50162
4,-39.414215,78.50162
9,-39.414215,78.50162
7,-39.414215,78.50162
8,-39.414215,78.50162
0,-39.414215,78.50162
7,-39.414215,78.50162
2,-39.414215,78.50162
7,-39.414215,78.50162
2,-39.414215,78.50162
8,-39.414215,78.50162
6,-39.414215,78.50162
8,-39.414215,78.50162
5,-39.414215,78.50162
0,-39.414215,78.50162
6,-39.414215,78.50162
8,-10.026715,-36.512283
8,-10.026715,-36.512283
2,-10.026715,-36.512283
7,-10.026715,-36.512283
3,-10.026715,-36.512283
6,-10.026715,-36.512283
7,-10.026715,-36.512283
5,-10.026715,-36.512283
0,-10.026715,-36.512283
6,-10.026715,-36.512283
0,-10.026715,-36.512283
0,-10.026715,-36.512283
8,-10.026715,-36.512283
3,-10.026715,-36.512283
1,-10.026715,-36.512283
4,-10.026715,-36.512283
4,-10.026715,-36.512283
0,-10.026715,-36.512283
0,-10.026715,-36.512283
5,-10.026715,-36.512283
4,-10.026715,-36.512283
2,-10.026715,-36.512283
2,-10.026715,-36.512283
4,-10.026715,-36.512283
3,-10.026715,-36.512283
4,-10.026715,-36.512283
9,-10.026715,-36.512283
8,-10.026715,-36.512283
0,-10.026715,-36.512283
0,-10.026715,-36.512283
5,-10.026715,-36.512283
5,-10.026715,-36.512283
8,-10.826875,-12.750803
3,-10.826878,-12.7508
3,-10.826874,-12.750803
6,-10.826877,-12.750801
1,-10.826877,-12.750802
3,-10.826874,-12.750803
7,-10.826874,-12.750803
7,-10.826874,-12.750803
6,-10.826878,-12.7508
0,-10.826877,-12.750801
2,-10.826874,-12.750803
3,-10.826874,-12.750803
0,-10.826875,-12.750803
2,-10.826878,-12.7508
8,-10.826877,-12.750801
7,-10.826874,-12.750803
1,-10.826874,-12.750803
9,-10.826878,-12.7508
7,-10.826874,-12.750803
7,-10.826878,-12.7508
1,-10.826874,-12.750803
9,-10.826874,-12.750803
2,-10.826874,-12.750803
4,-10.826878,-12.7508
2,-10.826874,-12.750803
8,-10.826875,-12.750803
2,-10.826877,-12.750801
7,-10.826878,-12.7508
4,-10.826877,-12.750801
3,-10.826874,-12.750803
3,-10.826878,-12.7508
2,-10.826874,-12.750803
1,38.829475,74.099976
4,38.829475,74.099976
4,38.829475,74.099976
4,38.829475,74.099976
1,38.829475,74.099976
2,38.829475,74.099976
9,38.829475,74.099976
7,38.829475,74.099976
9,38.829475,74.099976
2,38.829475,74.099976
6,38.829475,74.099976
6,38.829475,74.099976
4,38.829475,74.099976
3,38.829475,74.099976
0,38.829475,74.099976
5,38.829475,74.099976
7,38.829475,74.099976
9,38.829475,74.099976
0,38.829475,74.099976
0,38.829475,74.099976
2,38.829475,74.099976
3,38.829475,74.099976
6,38.829475,74.099976
7,38.829475,74.099976
0,38.829475,74.099976
1,38.829475,74.099976
9,38.829475,74.099976
4,38.829475,74.099976
1,38.829475,74.099976
5,38.829475,74.099976
5,38.829475,74.099976
8,38.829475,74.099976
2,-66.92731,-66.96549
2,-66.92731,-66.96549
3,-66.92731,-66.96549
8,-66.92731,-66.96549
0,-66.9273,-66.96549
0,-66.927315,-66.96549
6,-66.927315,-66.96549
6,-66.92731,-66.96549
5,-66.92731,-66.96549
3,-66.927315,-66.96549
9,-66.92731,-66.96549
0,-66.927315,-66.96549
5,-66.927315,-66.96549
5,-66.92731,-66.96549
1,-66.92731,-66.96549
1,-66.92731,-66.96549
6,-66.92731,-66.96549
5,-66.9273,-66.96549
