,0,1
0,-93.242645,38.505684
7,-93.242645,38.505684
7,-93.242645,38.505684
7,-93.242645,38.505684
9,-93.242645,38.505684
4,-93.242645,38.505684
9,-93.242645,38.505684
2,-93.242645,38.505684
0,-93.242645,38.505684
7,-93.242645,38.505684
0,-93.242645,38.505684
0,-93.242645,38.505684
9,-93.242645,38.505684
2,-93.242645,38.505684
2,-93.242645,38.505684
9,-93.242645,38.505684
9,-93.242645,38.505684
5,-93.242645,38.505684
9,-93.242645,38.505684
8,-93.242645,38.505684
4,-93.242645,38.505684
6,-93.242645,38.505684
8,-93.242645,38.505684
0,-93.242645,38.505684
0,-93.242645,38.505684
9,-93.242645,38.505684
8,-93.242645,38.505684
3,-93.242645,38.505684
0,-93.242645,38.505684
6,-93.242645,38.505684
1,-93.242645,38.505684
9,-93.242645,38.505684
2,-29.986858,12.899144
8,-29.986858,12.899144
3,-29.986858,12.899144
9,-29.986858,12.899144
1,-29.986858,12.899144
4,-29.986858,12.899144
8,-29.986858,12.899144
2,-29.986858,12.899144
0,-29.986858,12.899144
4,-29.986858,12.899144
9,-29.986858,12.899144
7,-29.986858,12.899144
8,-29.986858,12.899144
3,-29.986858,12.899144
2,-29.986858,12.899144
0,-29.986858,12.899144
6,-29.986858,12.899144
3,-29.986858,12.899144
2,-29.986858,12.899144
2,-29.986858,12.899144
2,-29.986858,12.899144
2,-29.986858,12.899144
5,-29.986858,12.899144
4,-29.986858,12.899144
9,-29.986858,12.899144
6,-29.986858,12.899144
7,-29.986858,12.899144
1,-29.986858,12.899144
0,-29.986858,12.899144
0,-29.986858,12.899144
1,-29.986858,12.899144
8,-29.986858,12.899144
6,37.355618,-49.364925
7,37.355618,-49.364925
2,37.355618,-49.364925
3,37.355618,-49.364925
4,37.355618,-49.364925
5,37.355618,-49.364925
9,37.355618,-49.364925
5,37.355618,-49.364925
4,37.355618,-49.364925
3,37.355618,-49.364925
1,37.355618,-49.364925
1,37.355618,-49.364925
4,37.355618,-49.364925
6,37.355618,-49.364925
7,37.355618,-49.364925
3,37.355618,-49.364925
8,37.355618,-49.364925
1,37.355618,-49.364925
7,37.355618,-49.364925
7,37.355618,-49.364925
2,37.355618,-49.364925
3,37.355618,-49.364925
6,37.355618,-49.364925
2,37.355618,-49.364925
2,37.355618,-49.364925
5,37.355618,-49.364925
3,37.355618,-49.364925
4,37.355618,-49.364925
6,37.355618,-49.364925
6,37.355618,-49.364925
2,37.355618,-49.364925
2,37.355618,-49.364925
0,61.23165,7.8107667
5,61.23165,7.8107667
6,61.23165,7.8107667
3,61.23165,7.8107667
2,61.23165,7.8107667
7,61.23165,7.8107667
8,61.23165,7.8107667
7,61.23165,7.8107667
3,61.23165,7.8107667
0,61.23165,7.8107667
7,61.23165,7.8107667
1,61.23165,7.8107667
6,61.23165,7.8107667
8,61.23165,7.8107667
3,61.23165,7.8107667
5,61.23165,7.8107667
6,61.23165,7.8107667
5,61.23165,7.8107667
4,61.23165,7.8107667
5,61.23165,7.8107667
1,61.23165,7.8107667
1,61.23165,7.8107667
6,61.23165,7.8107667
6,61.23165,7.8107667
4,61.23165,7.8107667
6,61.23165,7.8107667
2,61.23165,7.8107667
2,61.23165,7.8107667
9,61.23165,7.8107667
8,61.23165,7.8107667
9,61.23165,7.8107667
3,61.23165,7.8107667
4,-18.247442,-6.634314
5,-18.247442,-6.634314
6,-18.247442,-6.634314
2,-18.247442,-6.634314
7,-18.247442,-6.634314
8,-18.247442,-6.634314
3,-18.247442,-6.634314
1,-18.247442,-6.634314
3,-18.247442,-6.634314
0,-18.247442,-6.634314
7,-18.247442,-6.634314
3,-18.247442,-6.634314
8,-18.247442,-6.634314
7,-18.247442,-6.634314
7,-18.247442,-6.634314
1,-18.247442,-6.634314
2,-18.247442,-6.634314
1,-18.247442,-6.634314
9,-18.247442,-6.634314
9,-18.247442,-6.634314
3,-18.247442,-6.634314
6,-18.247442,-6.634314
2,-18.247442,-6.634314
1,-18.247442,-6.634314
1,-18.247442,-6.634314
3,-18.247442,-6.634314
9,-18.247442,-6.634314
5,-18.247442,-6.634314
3,-18.247442,-6.634314
