,0,1
2,-51.910973,-17.056234
2,-33.41536,17.197453
9,42.60224,-25.934622
4,-2.7941487,1.1082443
6,13.639747,41.685814
2,3.3087263,30.373476
6,55.938778,27.33893
4,-6.9397087,-18.342289
2,-32.60814,-15.97145
3,5.4636273,54.052555
1,55.12953,-44.867134
5,-46.65229,20.820711
8,51.98598,-3.3646922
3,-36.592327,43.825455
6,57.209297,30.596796
6,13.327096,33.044548
7,-44.04916,-46.341053
9,52.25299,-22.695236
1,38.79955,-52.73877
3,-18.622627,63.938057
5,-43.937107,22.320316
2,-25.784006,4.577646
8,55.47081,-5.191788
2,-15.086814,18.237547
7,4.9562244,2.1718018
5,-63.23824,4.1919403
3,-2.8565905,58.743294
0,27.653389,20.802961
1,38.13449,-48.67293
4,2.539956,-21.56797
6,9.76685,27.055717
4,3.6958704,-16.965021
3,4.582784,49.72006
4,2.6437106,-19.254889
6,20.009296,39.35041
1,19.243143,-40.594093
8,27.006832,-32.5232
2,-32.201942,2.5526981
8,28.527828,30.681929
0,22.078634,17.874601
7,-5.650126,-58.08934
3,-0.27482894,59.050945
0,37.2036,16.079483
6,45.117012,44.801346
3,3.8059309,64.39355
5,-63.023453,15.704204
8,53.96197,-9.593901
3,11.911551,54.619698
2,-37.865784,0.8931886
4,-2.1272027,-10.397483
7,-29.759275,-42.62746
0,-13.577999,2.6160166
1,25.139637,-51.366467
3,-24.870426,55.6924
9,30.697,0.82802933
4,-19.234324,-1.9727621
6,14.753102,40.347
4,-3.4773486,-21.861883
0,-15.586412,-7.9527435
9,17.110811,-65.448944
0,-13.0846,38.475292
4,-11.962767,20.142378
2,-26.628946,28.653805
9,36.020306,4.357027
3,-14.883371,62.89249
5,-45.282074,28.305817
4,6.6423182,11.575254
0,8.964041,23.063805
6,59.23235,26.432592
5,-40.81988,30.831776
3,4.1503263,59.342224
9,31.018381,8.579851
4,-13.951234,-16.471167
9,40.39216,-38.353718
1,10.164786,-32.35373
7,-23.275202,-59.216087
9,27.784676,-59.926884
9,46.358738,-6.6025624
2,-24.409395,-3.715763
7,-6.120508,-52.77252
4,-2.924503,-4.9379096
0,-1.6472675,25.96431
8,24.473589,-33.840336
3,10.638272,58.394524
9,25.039022,-60.898563
9,42.445404,-16.9607
4,-1.4812312,-8.346005
2,-18.020178,21.591343
7,-38.070362,-39.146122
0,10.0796995,18.70105
3,-1.6365957,53.693317
7,-2.9159074,-55.816326
6,14.740583,39.542637
7,-27.209074,-39.930557
2,-20.26487,28.804808
8,26.392588,-24.50798
7,-32.307377,-51.479755
0,-2.6278064,15.675753
9,36.94903,-11.104749
6,49.192093,33.701645
7,-40.031013,-47.595898
4,0.88580436,-19.049265
5,-50.183575,23.435616
8,30.68916,-33.3919
8,64.46661,-17.025913
5,-48.649326,26.628979
2,-52.171215,-9.1542635
0,26.104263,14.996408
8,33.65528,-21.57656
4,0.15670264,-22.061298
0,6.5478854,17.979837
5,-44.619793,43.174843
2,-23.325819,17.914364
0,25.76304,15.492472
6,53.567043,30.347874
6,39.14705,34.505512
5,-64.85185,20.368763
5,-40.13382,12.169943
0,23.267221,11.552998
8,8.788926,-61.51979
1,22.52308,-38.320374
6,12.057494,34.281975
4,-20.42565,-7.659159
6,51.402023,36.91508
0,12.017609,23.304956
8,10.394343,-59.84579
2,6.2511516,39.704193
2,-35.972534,20.08188
3,-22.791391,47.944862
3,-13.728415,65.705345
5,-52.50699,-1.1221086
8,47.129143,-1.7322844
6,-3.0462992,36.100437
4,0.43501616,-29.584654
7,-21.433512,-62.470295
0,11.134771,9.520052
1,26.43762,-48.85694
2,-45.526527,-20.065683
6,6.5130777,30.132032
0,14.097155,21.419205
3,-31.569773,46.778614
2,-20.505688,25.663586
1,13.792101,-20.7917
3,-18.414312,46.517982
1,19.340097,-12.058075
8,23.805477,-30.502636
2,-46.2593,-5.464175
9,23.355942,-65.218796
6,35.5804,35.798603
9,32.598198,-5.0937324
2,-31.657173,-6.9499226
0,32.97583,16.29614
0,-4.3276534,5.692672
8,33.642036,-27.209747
0,-16.542326,-6.4366693
9,27.8321,6.9590206
3,-14.493893,62.17066
6,50.86791,32.819305
2,-43.41105,-21.289288
9,39.564716,-5.809824
1,24.554104,-52.667618
8,51.571716,-13.128911
7,-41.81619,-26.750023
4,8.191004,-1.1576171
0,-4.133097,15.831256
4,-1.3806703,-28.31545
0,-9.945641,-2.2812822
3,-23.00062,61.13958
2,-31.346575,11.52124
3,-11.885355,57.624542
9,22.19197,-63.13596
9,41.252098,-9.561726
3,-25.403503,44.271008
8,60.313686,-11.811126
7,-10.156872,-46.298603
8,27.64851,29.957174
7,-10.344989,-62.061882
0,-13.538891,26.274607
0,-8.8846445,15.13926
5,-69.744385,-1.5958945
8,62.42993,-10.668275
0,1.4410001,24.823637
6,38.18117,45.078262
1,15.9571085,-0.1244298
8,27.400412,-33.23546
5,-51.42279,22.560463
4,-19.05986,-33.142555
3,48.00763,39.324932
3,-12.597378,49.191772
6,51.37979,27.921421
5,-59.447865,-16.432905
4,-4.820462,-26.415266
3,-18.275976,37.256466
2,-29.055363,8.933764
2,-2.7749302,-7.1503367
4,-1.7146629,-17.971548
4,2.1927648,-4.9108987
7,-30.575443,-38.22849
6,36.80872,37.10858
5,-62.654816,16.130629
1,19.731758,-5.275954
6,38.36542,37.121536
5,-47.25194,24.185362
9,38.843304,-41.329926
1,13.367278,-34.61563
1,35.368103,-55.582314
3,-12.126484,48.831787
1,44.832256,-45.86775
2,-25.577522,-6.970216
5,-11.309077,12.758674
4,-8.311926,-34.26749
7,-11.959166,-56.074375
6,55.548687,34.654667
2,-44.24784,-0.5579539
3,5.393444,57.51817
4,1.3962319,-7.987594
1,15.207228,-20.625055
9,41.58016,-34.330093
7,-11.637651,-54.549507
1,17.10815,0.14173499
0,13.912854,5.885841
1,18.711802,-2.164633
0,-3.7564223,22.019665
5,-54.348686,4.4338517
7,-32.88516,-46.963604
9,27.305204,-7.248756
4,1.7243154,-28.12256
1,56.71461,-35.544327
1,8.686066,-40.001823
7,-5.8862166,4.667699
2,-23.452705,17.965235
5,-52.264503,28.370007
6,27.40603,46.596916
7,16.696438,5.1584716
8,8.746778,-54.39545
6,52.69743,33.286858
3,11.680744,66.45957
9,23.272911,-63.157852
5,-63.395916,-5.3011403
4,-2.1075115,-18.505777
5,-41.299812,26.3139
0,-24.63741,-32.155106
6,33.277725,52.617535
7,-24.128744,-50.99179
5,-37.78821,21.872395
6,45.864166,37.462044
7,1.157596,7.1121025
0,0.6455921,13.426008
6,24.712286,33.27904
1,22.367048,-43.086727
9,49.048733,-27.27629
7,-29.356993,-26.705633
7,-27.634491,-51.128483
3,-23.817339,42.353302
0,8.978092,22.85534
2,-29.58214,-11.876727
2,-28.108192,-2.1299074
5,-46.17893,30.830343
0,3.4662497,9.006889
9,44.326195,-31.655945
7,-21.022135,-55.062847
1,10.493277,-16.331604
6,34.098213,33.6929
8,48.970272,-9.713306
4,-12.398238,-29.348907
3,-44.20186,42.801632
8,55.147465,-3.4247406
9,37.318707,-2.7691386
2,-51.219715,-22.709393
5,-50.152367,34.317875
6,40.945415,32.635227
7,-45.369923,-31.858591
1,20.861591,-35.70544
3,-39.03433,42.460716
8,8.26638,-47.013256
4,-2.0878267,-28.572433
8,42.72387,24.385605
2,-33.59498,1.71161
3,1.0157154,61.74735
9,38.064636,-15.732734
2,-54.47053,-19.376478
2,-48.570362,-22.73539
1,37.478107,-49.802864
3,-0.2944313,43.862423
6,22.880568,43.836987
0,6.686459,15.73198
9,36.376015,-32.34976
6,43.304104,45.42124
1,12.664391,-15.971389
1,16.713863,-36.564827
3,-11.002009,53.427048
1,40.01708,-47.919308
6,44.51931,42.811977
5,-53.328587,-9.789643
0,13.718964,6.1005044
8,54.013504,10.38684
3,-6.0164585,51.45193
4,2.1050088,-14.041946
4,-2.8685508,-3.1851776
5,-67.75974,-4.460526
2,-36.642776,-17.53143
7,-14.934095,-48.483326
4,1.8754579,-5.9597735
0,1.0630456,25.66924
3,-1.2687926,53.493347
1,13.278232,-42.967644
0,17.478312,11.957575
8,54.328323,-7.736838
3,9.275992,62.37546
9,23.6946,-60.8684
7,-28.388165,-50.970585
2,-25.711264,21.828726
6,43.264286,34.361313
3,8.309663,53.593533
7,-30.694475,-54.671906
0,1.0406637,13.194617
9,43.580105,-36.978077
8,28.857712,31.254986
4,-6.4824443,-36.936592
4,-2.0815911,-8.152358
8,38.449562,21.117012
6,49.23367,40.695633
4,-20.592133,13.279716
2,3.027956,31.59467
3,-13.071479,44.622765
1,57.31397,-33.90174
2,-30.98986,17.420326
1,16.836195,-20.318344
0,31.493813,25.3995
5,-44.351704,16.764433
9,42.63956,-11.737981
5,-40.686832,11.89157
9,38.489925,-8.525517
9,43.76067,-6.726613
1,23.33349,-51.109104
8,57.394543,-9.579979
7,-41.317944,-46.72185
7,-18.611961,-46.810135
2,7.0460496,37.139122
3,0.07733315,61.006958
5,-49.1788,23.652548
4,-21.11258,-13.658102
5,-67.224335,-1.8768713
7,-25.943554,-49.0127
7,-42.564644,-41.926384
6,53.938423,35.683388
8,31.640455,-15.1255455
5,-40.240696,18.813002
2,-22.288376,10.897867
4,1.7019763,-13.208889
0,16.604685,24.443727
0,19.251045,10.646151
1,7.9721785,-34.903904
1,21.37291,-41.88185
3,1.6907774,27.293781
7,-8.486954,-58.469307
5,-44.89889,23.253998
0,18.907837,18.349936
4,-10.846739,-25.525274
1,11.718147,-28.83582
0,-11.172805,9.228702
9,44.033882,-10.070302
2,-37.75458,-4.9207397
2,-30.858482,6.98388
6,50.76463,34.814743
1,13.939558,-42.965824
7,-4.986193,-60.9709
3,-3.895864,54.106003
1,14.200014,-18.544315
8,30.101244,24.81051
2,-27.14547,1.1783882
5,-59.76549,28.919285
6,44.55524,45.5636
6,27.816393,34.339527
5,-61.987072,-17.028095
9,23.726532,-63.28434
1,21.263716,-13.8784485
3,-9.406441,52.84065
5,-47.768112,-5.484533
6,42.868855,31.81973
0,41.27388,16.586115
5,-47.5306,19.427803
4,3.6940184,-26.623594
6,29.635777,34.92564
8,48.41476,15.381467
7,-40.703617,-27.724342
7,-35.158005,-48.666927
9,37.129883,-33.98442
0,-8.941476,8.371517
8,25.297918,-18.076046
4,-3.8529446,8.034607
1,17.228235,-49.837925
0,-25.645195,38.331165
9,35.351547,-8.3779125
9,38.921215,-27.106209
7,-24.017773,-40.996986
4,-15.921285,-12.818581
2,-33.327087,-15.913579
7,-30.419123,-43.830654
3,12.215066,64.73805
7,-4.430213,15.966258
2,-44.47603,-22.385355
8,28.314882,-34.386482
0,25.770449,17.314188
7,-53.74746,13.62983
2,-29.822609,1.6121143
0,-22.9272,34.12468
0,-12.282621,20.264105
7,-32.70175,-23.672731
1,53.278477,-46.605885
9,42.398052,-24.846317
7,-35.75425,-43.505978
3,5.3991904,64.42627
8,25.342846,-17.8579
6,17.613556,44.44537
7,-28.636486,-31.480076
8,51.704273,-12.931637
1,17.975437,-46.889393
8,60.64894,9.798623
6,19.818634,36.33485
2,-5.1434712,30.37706
1,17.024311,-44.03294
7,-20.763193,-62.973408
9,36.642586,-39.577915
9,30.200716,1.2300671
1,18.287811,-28.530289
2,-21.796686,5.3450875
2,-37.239998,4.6490297
5,-53.845787,12.968342
6,41.92032,30.705992
2,-21.244053,16.023525
