,0,1
0,15.135008,-14.897581
6,-39.729366,-19.164963
8,20.023174,-41.148724
9,-11.987981,-44.864853
5,-10.628947,22.397587
9,-5.3744845,-20.810461
3,-8.143382,-2.5872781
7,14.306073,33.004173
4,-16.15836,20.302114
2,11.306067,10.413454
4,-30.835907,10.201591
4,-46.62021,12.093957
1,53.104496,-11.274163
1,43.009117,6.316015
5,-24.463158,39.135143
7,-1.9588882,37.237797
4,-32.489258,16.86133
3,-22.068666,-0.399239
6,-30.032043,-25.054981
6,-29.176847,-32.663536
8,27.379736,-45.58964
3,-7.0171213,13.811635
9,-15.40505,-46.481995
4,-29.289284,8.226617
1,51.52691,5.9085283
7,13.529575,54.174915
1,45.411636,8.430414
3,-5.373827,-8.48494
7,4.07505,38.12821
4,-1.416433,-9.890957
6,-27.227705,-17.247227
5,-29.201147,23.514315
9,0.1917787,-37.489475
3,-5.0399137,11.475147
5,-27.868044,36.23677
0,16.470701,1.6237336
2,12.881006,9.8481865
6,-31.333729,-37.23884
6,-41.19708,-9.884773
0,20.912737,-3.9477603
3,-7.486678,5.243642
8,25.531683,-37.183292
7,2.49685,53.254566
3,-3.3762252,8.847577
4,-27.07746,7.0652466
2,17.036957,20.246792
4,-36.51126,-0.81124973
3,-9.982914,17.067417
5,-6.3748527,20.568575
2,40.953873,30.302788
9,-1.3122562,-51.005188
7,8.754603,54.541107
3,-19.526081,7.703625
3,1.7349341,9.78564
8,28.962292,-44.739056
3,-9.261698,10.2268505
1,38.816887,-18.265238
3,-12.539449,0.52118134
6,-36.072304,-27.047253
7,13.588149,36.096996
0,23.406862,2.8343177
7,7.608931,43.969326
8,11.127531,-39.30933
6,-28.560802,-23.153513
6,-42.182373,-14.973592
8,25.225653,-34.867825
1,46.5568,-16.6725
7,-1.8117756,43.57791
2,0.98317224,17.177086
1,46.621826,8.4166355
7,12.744157,39.06971
6,-26.457354,-31.986664
2,28.86326,28.950037
2,12.314496,21.516798
9,-13.533916,-33.98511
7,-2.0016375,49.8373
0,12.904475,7.0761266
6,-24.95927,-33.007473
9,4.7812433,-34.160545
4,-41.28304,10.278677
3,-15.110259,-10.325613
0,3.558913,7.0795026
0,21.77908,-7.626924
9,-3.6101506,-27.613798
4,-56.78236,12.120915
2,14.746159,16.516485
1,53.56235,-8.550543
3,-5.8189044,13.538654
7,3.5876281,53.627254
6,-25.659986,-18.525688
0,1.163915,-12.65146
6,-45.64803,-14.408921
0,3.38202,-3.268526
1,37.231514,-13.190521
1,33.278564,0.08888361
1,41.797554,-11.904552
2,10.177777,12.192429
5,-1.775832,22.099285
5,-12.902172,26.529121
4,-37.18908,20.460081
3,-9.5911875,-9.159848
2,5.35348,3.8034604
5,-20.839365,26.228148
0,3.7920852,-10.823862
5,-24.11543,23.296577
7,4.8172812,39.750786
8,34.498974,-37.62894
3,-9.939829,-9.306948
2,30.597631,27.046703
7,5.188514,41.984592
0,13.154546,-2.9668365
5,-18.371313,39.305267
1,59.08433,-6.205591
4,-42.821568,20.88868
7,21.735481,47.2141
0,27.684011,-7.4070063
4,-52.03854,10.452847
4,-43.957237,7.9968104
9,-12.966504,-43.12491
6,-40.15061,-36.504604
8,29.65517,-33.62021
7,7.595642,48.55505
4,-41.653946,15.8605795
2,23.17038,17.912169
1,51.331554,-3.9855697
3,-21.862692,1.7010138
8,31.741528,-22.770195
7,10.936254,39.92681
8,22.092497,-39.81292
0,17.223618,9.461473
9,-11.936307,-41.526398
2,11.913469,15.590888
1,39.663383,4.528599
3,-12.731783,4.781297
1,53.674343,10.451706
7,-3.3168223,33.704384
4,-54.932648,20.998425
6,-33.216064,-30.776516
8,30.841562,-35.2517
1,50.505547,10.662742
0,-26.782335,4.2536516
2,24.244516,22.27379
0,13.427194,5.133108
7,1.3636005,31.456116
