,0,1
2,22.408392,23.829662
2,20.367624,35.970024
5,1.417809,-52.499744
1,-44.74943,14.074976
3,-17.37292,-41.045643
3,-5.349781,-20.5842
1,-44.416294,13.77155
7,29.349613,-35.801414
2,10.575772,34.080593
5,6.759608,-45.868084
9,-24.415762,56.370144
3,-34.220337,-38.95603
5,14.282794,-40.7518
8,26.693127,-2.883624
1,-31.751907,12.327201
8,5.689358,-5.6039524
9,-11.111133,49.650024
4,0.23353854,13.932741
4,2.2700045,19.089104
9,-18.115423,42.646732
6,-30.887638,-1.4577106
1,-49.50251,16.915932
8,5.1902742,1.4585121
9,-18.534544,53.929943
2,28.398891,40.45448
5,7.6868563,-52.67614
8,21.767279,1.4146706
6,-47.28302,-15.309783
4,2.008193,20.949348
6,-38.78443,-1.9688587
4,-15.041554,7.320629
9,0.60792124,37.38316
0,-21.356537,25.758411
2,25.893671,39.663937
2,6.5457006,37.964073
2,21.363407,17.31735
3,-14.426498,-19.262632
4,-17.522507,16.174755
2,29.72282,38.007885
8,22.121227,-2.1485014
2,19.805069,28.38829
9,-28.677011,38.150616
4,-17.541483,18.665508
7,33.646095,-33.112827
4,-4.810174,12.165173
8,1.1475321,-6.572562
8,18.786919,2.3534765
9,-13.152215,42.662983
2,9.249656,46.441803
7,26.021889,-34.655575
7,29.671806,-38.847866
0,46.78018,17.942392
3,-34.72768,-44.127754
5,-5.8737764,-48.80075
1,-47.19859,27.33986
2,9.753325,46.625725
9,-19.214632,30.18232
8,14.721392,-20.190428
7,34.0375,-21.120634
6,-39.580307,-20.120993
1,-56.5423,15.81855
0,59.865982,8.883897
6,-21.682396,-0.47490364
9,-19.992107,50.296127
4,-1.2384926,8.376149
1,-51.994972,21.225847
5,12.263706,-46.955376
8,18.391386,-8.438116
5,1.4265739,-32.501194
4,-3.3739305,21.45964
7,29.007008,-26.381609
4,-11.029419,19.633747
2,21.351326,32.66429
4,-3.8314543,2.4664998
6,-36.30217,-2.233303
6,0.10616639,-2.2364733
0,42.36518,17.238323
2,5.431647,29.481407
7,32.33791,-38.811028
9,-13.037563,48.41465
5,0.64885676,-47.78953
8,23.600838,-7.846696
6,-35.741405,-10.568436
8,21.643707,-1.642117
7,41.585327,-34.463783
7,28.189615,-16.080566
2,24.63674,47.874725
1,-57.519173,13.924824
8,17.448814,-4.316048
9,45.141533,4.10374
3,-18.351545,-31.268724
3,-25.081753,-38.130142
2,32.21577,29.644665
6,-38.6935,-5.9375615
1,-50.88854,7.8940935
8,10.016204,5.039461
6,-48.703705,-15.3391075
5,18.834461,-42.50083
8,8.110444,-1.2721525
0,35.763416,5.5827675
9,-13.716192,43.711292
9,-6.922191,34.72606
1,-52.26352,19.185156
2,7.388387,37.10172
6,-22.6722,-10.453194
5,18.256372,-49.035263
1,-39.895977,12.804164
8,14.146743,0.76039743
6,-48.41812,-15.493975
9,-16.757776,47.49853
8,-0.08618406,-2.3637636
8,17.509495,-1.440397
2,11.881377,31.929455
4,-19.830786,12.639106
8,6.7024612,-2.7317228
1,-39.879288,21.430319
1,-26.61651,14.037871
8,16.81976,9.927957
2,20.53102,32.27145
5,2.835504,-44.92849
1,-30.916765,13.650705
1,-49.809578,17.48174
3,-35.566643,-44.269653
0,36.61592,10.361253
3,-22.060446,-39.191463
0,39.614517,-7.348449
0,57.400566,9.489001
3,-13.220957,-41.64575
8,4.8360763,-4.434624
9,-30.789476,34.78604
0,53.667454,1.3704691
7,27.430733,-28.181786
6,-47.344975,-14.973826
3,-14.647866,-38.23367
3,-18.10304,-26.141855
9,-3.6246715,-8.912061
8,25.438065,1.0340889
7,37.877384,-31.657099
9,-27.262716,36.597416
2,30.437136,36.007748
4,-14.078681,8.326269
3,-26.249828,-39.35242
8,7.850364,-5.2013316
2,22.254213,48.402138
5,1.3176585,-27.595888
7,37.952316,-35.597977
3,-9.385586,-34.418453
1,-29.562737,17.446537
9,-10.6489935,41.76299
8,18.284927,-15.197881
9,-6.865046,34.019085
1,-42.47816,7.4753695
7,29.810219,-39.662613
7,26.958382,-23.786522
6,-29.126451,-11.935183
0,43.250256,1.5766901
1,-41.94703,8.652827
0,49.586185,10.886567
8,5.602222,-7.8606954
9,-3.4759107,34.692245
3,-8.710897,-25.148438
4,-4.435612,1.3158988
8,9.52677,-0.6791578
9,-1.9321723,38.407963
7,49.555798,-28.261316
7,43.355064,-33.144802
9,-21.845572,46.394978
4,-16.139538,7.3502254
3,-2.453582,-20.432032
8,26.73824,-6.996475
8,20.434996,-9.973479
4,-12.04668,9.250126
1,-39.457073,15.176673
2,22.402668,41.67269
6,-36.574833,-9.321459
1,-37.914967,26.705753
8,8.23525,-2.425118
1,-49.380867,26.650417
6,15.373879,31.45754
4,-3.5404122,25.093773
9,23.793833,10.028927
8,24.903357,-11.306285
7,27.917849,-36.924007
9,-5.372945,38.511856
3,-33.865883,-33.709476
3,-32.550133,-35.122845
9,-23.494955,21.347889
5,9.955846,-31.301582
7,49.29491,-17.475616
3,-16.72488,-28.441944
5,8.856409,-45.275307
8,1.9285378,-4.8293076
1,-40.13344,27.693438
1,-32.58089,20.966537
3,-11.673523,-15.969295
2,28.508007,36.528606
7,27.370968,-39.21626
2,11.513055,31.992432
8,5.219953,-8.927039
