,0,1
2,-11.473211,-27.321356
1,58.20503,-25.435772
1,-11.581078,-26.08573
8,-61.879776,28.99999
2,-25.96364,5.947335
2,68.415,25.087238
3,2.413168,-35.435627
7,-22.598276,-58.878155
5,-4.5957704,72.86075
9,-14.892243,2.9416184
9,-38.732708,20.571566
9,-34.653374,57.935368
1,20.84914,29.328325
7,-57.458138,-21.150112
7,8.203977,-55.831505
1,12.915958,-52.887066
1,19.132484,49.219254
9,25.933275,-69.114235
9,3.459707,-51.23273
1,-36.268063,-54.77449
2,-3.9328163,-63.30008
2,46.313507,49.584087
9,46.15657,40.61461
5,-43.188583,-16.390793
9,-0.27550647,-66.86037
9,-4.246674,73.32884
2,-22.7003,-59.00568
9,-38.38766,20.487179
8,-2.3500762,-12.231791
0,1.1864806,30.045338
6,-21.182562,2.9304883
8,47.57511,-28.021593
0,5.119458,-45.64204
6,48.491432,-18.556091
1,5.158238,-16.239265
6,-4.2434115,-62.965496
3,-51.087303,-3.7545547
4,-6.7608705,44.96081
7,-62.516464,-3.967795
6,23.313076,68.65451
2,-19.435751,-18.633307
3,-31.372559,-34.850178
1,-22.651482,32.963776
8,-7.6882954,-36.031662
7,-30.626661,42.727207
2,48.67624,48.218254
9,18.464943,25.689608
4,-18.84908,6.3712854
5,24.72417,44.621532
8,-46.07233,11.920085
5,5.301312,-35.796955
1,-38.54686,-61.973568
8,35.0342,44.706135
8,-20.960283,34.216846
9,43.913406,42.64699
7,10.749109,26.670973
7,34.04298,-33.82256
6,-16.403486,27.34346
1,23.809416,67.040535
1,-51.142826,-3.297808
9,-5.652428,57.136208
3,-32.43746,32.485767
0,49.80581,11.20223
2,44.944267,6.206414
7,-63.05925,-3.8721163
9,-0.88278556,34.069946
8,-48.57701,-47.19273
1,-3.609479,-67.920364
1,-20.531881,64.88893
9,-4.399844,-48.615807
2,22.317385,23.850552
0,43.496483,-18.595297
1,10.162839,46.636906
8,0.6283986,30.141972
3,15.062796,-0.69892985
9,9.160361,34.870007
9,-3.8622046,-54.736282
1,7.6071315,-5.7767696
0,-13.265083,17.143408
0,42.287064,39.624374
4,-2.991003,-38.72722
6,4.3304973,-51.319946
7,-38.34546,27.159521
6,20.40161,-2.5547965
2,-55.06726,10.468925
8,-48.713676,-12.246947
1,64.186356,34.839046
7,35.085747,33.483974
1,-42.827763,-32.462955
3,16.736717,73.191414
8,31.378096,42.338745
1,-57.475548,11.2598095
0,-19.072147,58.003117
9,-16.973497,17.138977
0,6.3956246,29.633755
4,-34.277542,-63.182064
0,-28.87953,44.601307
4,63.88908,-0.44057754
8,-9.908564,31.643936
5,23.525106,67.22007
2,-19.68026,-18.586555
6,-42.958843,2.5893219
6,7.231424,35.94449
7,11.206723,-54.89231
5,55.26168,-29.743593
9,6.0093856,-37.423992
1,-33.56436,12.257417
2,19.864365,-54.158447
6,34.24676,55.305504
2,68.1968,17.01237
5,-43.19545,-10.800662
8,-39.246452,29.072092
1,-3.6173906,-50.965084
1,-3.0420291,-23.003311
9,38.601997,28.743067
6,-57.403465,6.7137814
1,-43.88312,12.980701
1,66.92194,11.521527
6,-31.559704,-64.17402
3,7.3617864,-15.89222
2,69.599754,21.879538
