,0,1
1,23.694798,29.90777
9,26.275885,2.383252
9,25.822042,2.2260168
8,19.84221,-14.109949
0,16.94475,-44.79038
1,27.77576,30.911757
0,17.800741,-44.721325
2,-28.76766,-8.327724
6,-23.583485,34.17066
1,22.618097,28.609493
5,-22.012,7.6512966
9,25.030895,1.2604847
5,-6.6349664,-19.555723
9,22.351978,1.1520612
1,16.436543,23.989105
8,18.735308,-14.986433
4,-32.4393,-43.632404
4,-33.9525,-44.23976
3,-0.06432519,-17.758602
3,0.8723759,-9.798616
1,33.44088,36.34221
2,-27.724728,-8.172133
6,-9.040028,25.980183
8,21.761381,-15.085931
3,-4.122416,-17.868818
3,-3.4965813,-16.624914
1,16.897644,25.823746
4,-31.694,-46.35293
9,21.375166,2.5182912
2,-29.448645,-7.714133
7,-1.8383465,-58.463287
7,-2.043809,-58.633877
3,-2.805003,-17.616116
7,0.08923106,-56.634403
5,-26.081774,5.5302434
3,-3.9794695,-15.172118
5,-21.886883,6.9168973
6,-22.485878,29.588234
0,22.040316,-44.0994
9,21.614855,2.810114
3,-4.2732677,-16.9029
0,18.51259,-43.89327
6,-5.211716,27.039333
5,-8.511963,-18.936699
5,-8.29347,-17.70263
1,16.825592,24.125643
9,25.234652,3.9440227
1,15.374605,23.720448
8,19.476156,-15.19348
7,-0.7395707,-59.007217
2,-28.59711,-7.9934964
1,18.924675,0.0047458634
6,-9.215376,26.294678
6,-7.076561,26.950563
5,-7.3462687,-15.950516
6,-15.502045,-13.2970085
9,23.207018,1.4949672
2,-27.517256,-8.150706
0,19.545269,-39.387352
4,-22.412971,-37.368572
4,-26.028627,-40.63295
3,-4.3570943,-16.964588
0,22.260103,-44.00908
1,15.677494,23.452513
1,27.59603,30.579271
4,-27.208738,-44.263176
7,-1.2856818,-56.563995
4,-27.698975,-44.39944
5,-32.077335,20.121485
3,-4.103753,-17.096521
6,-4.9477534,27.326681
6,-6.5767865,27.61727
3,-1.5254999,-16.798145
2,-28.248636,-10.161785
4,-30.955313,-45.071045
4,-29.932552,-44.661312
8,38.898342,-15.88819
8,19.053633,-14.5387125
2,-29.065447,-7.323042
0,22.613577,-43.690693
9,21.025839,2.7491558
1,29.321562,2.2659998
4,-31.594822,-45.725563
2,-29.482264,-7.4578
7,0.5166525,-56.90952
3,-3.58314,-14.816413
5,-6.437401,-20.175478
0,18.34375,-42.953213
1,26.57448,34.867893
6,-15.71192,-13.111835
5,-7.374975,-16.954365
7,-0.8772278,-56.5232
9,25.035868,3.893401
0,19.232712,-43.719345
1,17.182,23.944103
6,-2.7578406,29.340654
0,21.245941,-43.892815
1,16.302399,23.544813
2,-17.169098,-27.082724
1,15.300412,23.699871
1,15.757218,22.80121
0,15.855567,-39.714603
