,0,1
3,-9.4902315,69.86705
0,-9.825287,69.80132
9,-9.825287,69.80132
1,-9.825287,69.80132
0,-9.825287,69.80132
0,-9.825287,69.80132
3,-9.825287,69.80132
6,-9.825287,69.80132
3,-9.825287,69.80132
5,-9.825287,69.80132
2,-9.825287,69.80132
3,-9.825287,69.80132
9,-9.825287,69.80132
9,-9.825287,69.80132
4,-9.825287,69.80132
4,-9.825287,69.80132
0,-9.825287,69.80132
4,-9.825287,69.80132
9,-9.825287,69.80132
4,-9.825287,69.80132
6,-9.825287,69.80132
9,-9.825287,69.80132
4,-9.825287,69.80132
0,-9.825287,69.80132
3,-9.4902315,69.86705
9,-9.4902315,69.86705
1,-9.4902315,69.86705
8,-9.825287,69.80132
5,-9.825287,69.80132
3,-9.825287,69.80132
9,-9.825287,69.80132
6,-9.825287,69.80132
1,-10.247263,69.71641
6,-10.247263,69.71641
5,-10.247263,69.71641
8,-10.247263,69.71641
1,-10.247263,69.71641
3,-10.247263,69.71641
1,-10.247263,69.71641
2,-10.247263,69.71641
4,-10.247263,69.71641
0,-10.247263,69.71641
5,-10.247263,69.71641
3,-10.247263,69.71641
6,-10.247263,69.71641
2,-10.247263,69.71641
7,-10.247263,69.71641
1,-10.247263,69.71641
6,-10.247263,69.71641
6,-10.247263,69.71641
1,-10.247263,69.71641
6,-10.247263,69.71641
2,-10.247263,69.71641
3,-10.247263,69.71641
0,-10.247263,69.71641
2,-10.247263,69.71641
0,-10.247263,69.71641
1,-10.247263,69.71641
8,-10.247263,69.71641
6,-10.247263,69.71641
1,-10.247263,69.71641
6,-10.247263,69.71641
5,-10.247263,69.71641
8,-10.247263,69.71641
3,-11.221811,69.51933
5,-10.933034,69.5774
4,-10.933034,69.5774
0,-10.933034,69.5774
6,-10.933034,69.5774
1,-10.933034,69.5774
0,-10.933034,69.5774
0,-10.933034,69.5774
1,-10.933034,69.5774
9,-10.933034,69.5774
8,-10.933034,69.5774
3,-10.933034,69.5774
4,-10.933034,69.5774
3,-10.933034,69.5774
4,-10.933034,69.5774
4,-10.933034,69.5774
3,-10.933034,69.5774
6,-10.933034,69.5774
1,-10.933034,69.5774
1,-10.933034,69.5774
5,-10.671085,69.631096
2,-10.671085,69.631096
4,-10.671085,69.631096
8,-10.671085,69.631096
2,-10.933034,69.5774
4,-10.933034,69.5774
6,-10.933034,69.5774
6,-10.933034,69.5774
1,-10.933034,69.5774
6,-11.221811,69.51933
2,-11.221811,69.51933
9,-11.221811,69.51933
9,-12.323046,69.30502
5,-12.342169,69.28968
0,-12.342169,69.28968
6,-12.342169,69.28968
0,-12.342169,69.28968
0,-12.342169,69.28968
1,-12.342169,69.28968
9,-12.342169,69.28968
3,-12.342169,69.28968
9,-12.342169,69.28968
4,-12.342169,69.28968
2,-12.342169,69.28968
1,-12.342169,69.28968
6,-12.342169,69.28968
2,-12.342169,69.28968
7,-12.684163,69.222984
6,-12.684163,69.222984
1,-12.323046,69.30502
7,-12.342169,69.28968
9,-11.975287,69.36754
8,-11.975287,69.36754
1,-12.342169,69.28968
4,-12.342169,69.28968
3,-12.342169,69.28968
2,-12.342169,69.28968
8,-12.342169,69.28968
5,-12.342169,69.28968
8,-12.342169,69.28968
1,-12.342169,69.28968
7,-12.342169,69.28968
0,-12.342169,69.28968
9,-12.342169,69.28968
4,-13.475415,69.05408
4,-13.475415,69.05408
4,-13.475415,69.05408
1,-13.475415,69.05408
2,-13.475415,69.05408
5,-13.475415,69.05408
9,-13.475415,69.05408
4,-13.475415,69.05408
2,-13.475415,69.05408
6,-13.475415,69.05408
4,-13.475415,69.05408
8,-13.475415,69.05408
9,-13.475415,69.05408
0,-13.475415,69.05408
3,-13.475415,69.05408
6,-13.475415,69.05408
2,-13.475415,69.05408
4,-13.475415,69.05408
2,-13.475415,69.05408
6,-13.475415,69.05408
7,-13.475415,69.05408
2,-13.475415,69.05408
2,-13.475415,69.05408
8,-13.475415,69.05408
6,-13.475415,69.05408
2,-13.475415,69.05408
7,-13.475415,69.05408
3,-13.475415,69.05408
9,-13.475415,69.05408
1,-13.475415,69.05408
9,-13.475415,69.05408
8,-13.475415,69.05408
8,-14.207568,68.899796
6,-14.544345,68.82017
7,-14.544345,68.82017
4,-14.544345,68.82017
2,-14.544345,68.82017
7,-14.544345,68.82017
5,-14.544345,68.82017
7,-14.544345,68.82017
1,-14.544345,68.82017
6,-14.544345,68.82017
7,-14.544345,68.82017
