,0,1
9,7.879955,25.089233
0,7.839388,25.123857
2,7.9802675,25.019669
6,7.751329,25.200071
4,7.8364105,25.126513
0,7.8106794,25.143639
5,7.7826185,25.167984
6,7.7587256,25.187843
5,7.7527976,25.189636
7,7.715074,25.222837
4,7.8343496,25.126242
1,8.037398,24.98414
4,7.717881,25.216892
8,7.705897,25.223703
5,7.707126,25.23669
0,8.043784,24.96642
1,7.757048,25.18753
0,7.795123,25.158089
0,7.7167864,25.211246
0,8.103384,24.912638
8,7.716334,25.219864
8,7.7440047,25.191
3,7.7156005,25.222113
7,7.7977376,25.153421
7,7.759442,25.19267
9,7.8329105,25.127594
0,7.766188,25.180944
3,7.8392196,25.124937
2,7.7184625,25.21849
9,7.812649,25.144625
0,8.043037,24.967194
6,7.7235436,25.213318
4,21.167389,32.59121
3,20.959778,32.730255
1,20.98914,32.69775
5,20.90076,32.733902
5,20.910254,32.73525
1,20.974777,32.693237
6,20.931482,32.727936
1,20.975925,32.707848
2,20.885754,32.73879
9,20.970446,32.704323
3,21.095882,32.65416
1,21.053972,32.672935
8,20.901957,32.733036
2,20.941069,32.710316
4,20.945372,32.7202
4,20.88698,32.743595
9,21.002874,32.69153
6,20.922434,32.72189
2,20.931622,32.727913
8,20.90892,32.73404
4,20.909561,32.71326
7,20.917908,32.725773
8,20.920424,32.729
8,20.979542,32.69725
2,21.062254,32.661385
8,21.14102,32.59992
5,20.921339,32.713642
0,20.984468,32.699333
0,20.953867,32.720985
4,21.053358,32.675774
6,21.272947,32.474976
8,20.923052,32.725857
3,19.793514,29.821466
4,19.915668,29.937963
2,20.270805,30.32837
9,20.21961,30.26539
6,20.248064,30.300135
1,19.448538,29.513865
1,19.719585,29.755499
3,20.269358,30.327818
5,20.174757,30.213005
2,19.968779,29.993492
5,20.265099,30.321667
2,20.288395,30.356796
1,20.135948,30.170414
2,19.749004,29.781199
4,20.280582,30.349342
8,20.160677,30.199194
1,20.264915,30.32464
1,20.198574,30.241121
3,19.637535,29.684502
8,20.160952,30.19879
4,20.270912,30.32954
7,20.08051,30.109655
5,20.255228,30.313057
6,19.858398,29.88195
7,20.24144,30.291553
7,19.95087,29.974287
8,20.285908,30.353674
3,20.29288,30.361582
5,20.235659,30.284714
7,20.105556,30.13503
0,19.839031,29.86464
9,19.7465,29.77831
6,18.119064,28.013388
9,15.917379,29.123089
1,17.20256,28.57744
3,15.798928,29.15652
7,16.284906,29.027447
9,17.651293,28.295021
7,17.336487,28.460833
8,16.37896,28.936285
5,15.869294,29.129642
1,15.863516,29.11177
0,17.151005,28.559755
8,16.141842,29.049261
8,15.873384,29.152376
1,16.81568,28.705507
1,18.161692,27.952175
1,17.417881,28.393757
7,18.088804,28.026747
3,17.818007,28.269001
6,16.037382,29.090431
5,15.859156,29.12668
5,15.859327,29.120228
2,15.82963,29.110088
3,15.850685,29.137737
5,16.25939,29.018148
4,17.864597,28.198368
4,15.961491,29.111925
4,15.817843,29.11657
1,16.716959,28.81352
1,16.011087,29.10108
2,17.259115,28.557905
2,17.16132,28.576424
4,15.910375,29.110146
9,15.232958,27.998274
3,14.966768,27.945175
3,16.535387,27.889675
2,14.8867035,27.92031
4,14.984488,27.96414
8,16.22698,27.967123
0,15.096814,27.962791
7,15.299093,28.079105
8,17.283947,27.8981
6,18.180437,27.63416
8,15.143885,27.99528
4,14.819542,27.849533
6,18.602163,27.038223
4,17.641867,27.862385
3,16.426401,27.925623
6,15.28939,28.071682
4,14.827114,27.906591
9,17.352081,27.943504
1,16.492971,27.95441
2,14.940471,27.938559
9,17.99863,27.691626
6,18.596853,27.029198
5,17.240244,27.983398
9,17.435091,27.934435
5,14.932327,27.958012
