,0,1
1,33.750492,62.568874
0,33.48965,62.358707
7,33.48965,62.358707
6,33.48965,62.358707
4,33.48965,62.358707
2,33.48965,62.358707
0,33.48965,62.358707
7,33.48965,62.358707
8,33.48965,62.358707
0,33.48965,62.358707
3,33.48965,62.358707
9,33.48965,62.358707
7,33.48965,62.358707
4,33.48965,62.358707
0,33.48965,62.358707
6,33.48965,62.358707
3,33.48965,62.358707
4,33.48965,62.358707
4,33.48965,62.358707
0,33.48965,62.358707
0,33.48965,62.358707
1,33.48965,62.358707
3,33.48965,62.358707
5,33.48965,62.358707
6,33.750492,62.568874
4,33.750492,62.568874
9,33.750492,62.568874
1,33.48965,62.358707
3,33.48965,62.358707
1,33.48965,62.358707
7,33.48965,62.358707
9,33.48965,62.358707
7,33.16673,62.08534
9,33.16673,62.08534
0,33.16673,62.08534
5,33.16673,62.08534
9,33.16673,62.08534
7,33.16673,62.08534
6,33.16673,62.08534
2,33.16673,62.08534
0,33.16673,62.08534
1,33.16673,62.08534
3,33.16673,62.08534
7,33.16673,62.08534
2,33.16673,62.08534
7,33.16673,62.08534
2,33.16673,62.08534
8,33.16673,62.08534
0,33.16673,62.08534
3,33.16673,62.08534
0,33.16673,62.08534
6,33.16673,62.08534
0,33.16673,62.08534
8,33.16673,62.08534
0,33.16673,62.08534
0,33.16673,62.08534
2,33.16673,62.08534
7,33.16673,62.08534
4,33.16673,62.08534
2,33.16673,62.08534
5,33.16673,62.08534
9,33.16673,62.08534
2,33.16673,62.08534
8,33.16673,62.08534
9,32.42308,61.447453
4,32.643406,61.63364
9,32.643406,61.63364
7,32.643406,61.63364
6,32.643406,61.63364
5,32.643406,61.63364
3,32.643406,61.63364
3,32.643406,61.63364
5,32.643406,61.63364
6,32.643406,61.63364
5,32.643406,61.63364
5,32.643406,61.63364
0,32.643406,61.63364
2,32.643406,61.63364
0,32.643406,61.63364
4,32.643406,61.63364
2,32.643406,61.63364
8,32.643406,61.63364
3,32.643406,61.63364
7,32.643406,61.63364
5,32.843258,61.807728
9,32.843258,61.807728
1,32.843258,61.807728
