,0,1
9,24.313482,-60.42268
4,24.303019,-60.439407
4,24.300526,-60.441982
0,24.301264,-60.443626
4,24.296406,-60.449272
6,24.294283,-60.452854
9,24.301704,-60.441326
2,24.290213,-60.459736
0,24.304087,-60.437496
9,24.326359,-60.400265
3,24.318958,-60.4124
7,24.287603,-60.46421
2,24.314386,-60.420612
2,24.28075,-60.474632
9,24.306389,-60.43326
4,24.28482,-60.467716
6,24.291914,-60.457344
3,24.299332,-60.44501
1,24.291857,-60.45643
8,24.304832,-60.436592
7,24.2991,-60.445293
1,24.304346,-60.436924
1,24.301617,-60.44154
1,24.305288,-60.435997
2,24.284199,-60.469273
4,24.268581,-60.49221
1,24.327438,-60.39915
4,24.262232,-60.498924
4,24.299627,-60.44436
2,24.300325,-60.443512
8,24.30614,-60.434143
3,24.29571,-60.4507
6,22.5588,-63.31766
5,22.559166,-63.317017
5,22.563717,-63.309433
0,22.562796,-63.311058
7,22.55865,-63.317863
3,22.562334,-63.311832
4,22.570972,-63.297592
7,22.561466,-63.313183
0,22.558668,-63.317757
3,22.562298,-63.31188
6,22.568514,-63.30143
2,22.557228,-63.320103
6,22.562178,-63.31205
9,22.572157,-63.295704
9,22.560286,-63.31512
7,22.565262,-63.307045
6,22.562721,-63.31116
3,22.561092,-63.313793
2,22.57076,-63.29796
2,22.560835,-63.314335
2,22.58466,-63.274887
7,22.561836,-63.31253
0,22.565794,-63.305977
5,22.54452,-63.34147
8,22.557196,-63.320065
8,22.560396,-63.314857
4,22.561771,-63.31259
7,22.563704,-63.30944
2,22.56358,-63.309723
1,22.561563,-63.31308
4,22.562424,-63.311745
8,22.562164,-63.31209
1,31.229923,36.588577
9,31.216787,36.626865
6,31.202963,36.600548
8,31.233313,36.556213
9,31.231365,36.576813
9,31.222725,36.62317
2,31.23024,36.577602
1,31.22801,36.583717
4,31.229187,36.602634
8,31.228153,36.57587
1,31.180738,36.742348
0,31.204802,36.666626
4,31.227177,36.562237
8,31.23319,36.553635
3,31.230976,36.575687
3,31.217516,36.64415
4,31.22401,36.56943
8,31.177982,36.76106
4,31.225912,36.56838
3,31.235294,36.564587
5,31.228987,36.571648
3,31.20475,36.648407
5,31.226954,36.59669
4,31.235361,36.550205
5,31.22655,36.609337
2,31.228418,36.580368
6,31.236292,36.555492
1,31.220646,36.631496
5,31.226347,36.594177
1,31.169197,36.7735
7,31.218311,36.62878
4,31.230658,36.571087
0,29.16994,38.898235
8,29.157072,38.895252
9,29.149408,38.898758
9,28.780128,38.909374
5,29.360704,38.82489
8,29.376339,38.828487
3,28.932919,38.919582
6,29.167036,38.896183
0,29.290522,38.87134
7,29.0882,38.918724
0,29.056652,38.905094
1,29.130949,38.902424
7,29.061394,38.90616
5,29.275602,38.870853
5,28.391453,38.9291
6,29.333666,38.87052
1,29.02233,38.902004
5,28.46729,38.91553
3,29.341642,38.851326
8,29.195616,38.875008
6,29.434475,38.835003
1,29.19285,38.891903
7,29.129944,38.90819
7,29.044462,38.906376
4,29.212116,38.889515
0,29.163685,38.88726
4,29.229189,38.90645
3,28.2065,38.94414
8,29.182024,38.894337
5,28.945438,38.9089
7,29.1618,38.9011
4,29.061472,38.898148
7,27.20319,39.421795
1,27.150503,39.931435
9,27.226051,39.39699
7,27.115696,40.186367
9,27.15749,40.006924
1,27.191536,39.470875
5,27.131577,40.117092
5,27.145641,40.086185
6,27.105167,38.970448
5,27.101242,40.14388
3,27.121511,40.064724
1,27.151745,39.96056
8,27.127222,40.20009
4,27.123335,40.02966
4,27.123478,40.154877
3,27.166172,39.602455
9,27.156368,39.826885
9,27.213135,39.456776
1,27.206316,39.372234
2,27.124105,40.25814
6,27.225113,39.231106
2,27.137545,40.024307
0,27.099514,38.90593
4,27.141285,39.963985
4,27.131699,40.16495
1,27.106981,40.212868
9,27.178164,39.548088
7,27.134235,39.997543
4,27.096643,40.215168
9,27.190691,39.618843
5,27.133673,40.092983
3,27.178205,39.708138
9,25.695978,38.710663
3,24.968973,38.715252
6,24.270168,38.920822
6,24.32326,38.913162
4,24.155237,38.859066
9,25.77938,38.706684
8,24.143711,38.87744
4,24.21096,38.92111
2,24.246183,38.914406
4,24.20776,38.938976
3,24.441534,38.86873
7,24.312569,38.90564
9,24.937277,38.773247
0,24.285896,38.919544
3,24.309914,38.92818
7,25.535776,38.76849
1,24.622288,38.868153
1,25.2167,38.79387
4,24.35243,38.940994
1,24.452837,38.883396
0,24.936596,38.828274
5,25.239319,38.79993
1,24.454992,38.897995
2,24.408943,38.884754
8,25.167595,38.812977
5,24.276226,38.906796
0,24.334501,38.92147
6,25.828274,38.71331
5,25.013666,38.81528
3,24.895187,38.79391
9,24.536448,38.885635
6,24.329855,38.90168
1,25.166475,37.7984
6,24.954224,37.803196
4,23.398335,35.86086
9,23.8255,36.90136
8,24.598392,37.705624
9,23.707571,36.745182
0,23.524618,36.330833
9,24.119375,37.235218
2,23.418974,36.170967
7,23.46655,36.25134
4,23.551107,36.320335
2,23.439379,36.22745
0,25.500603,37.89653
6,23.414656,36.0582
2,23.554224,36.447063
2,23.614126,36.59076
6,24.769447,37.696583
3,23.43181,36.180218
7,23.518896,36.265797
5,23.508696,36.42291
8,23.490408,36.307873
1,24.449402,37.570976
3,23.61563,36.46746
1,23.74449,36.797226
8,23.378212,35.9545
4,23.891487,37.01846
4,23.599688,36.58892
2,25.351,37.84218
6,23.735254,36.60552
2,23.468956,36.271275
5,23.448662,36.18155
3,23.411276,36.13404
4,23.989447,34.66502
3,24.101643,35.819004
1,23.863985,35.34102
7,24.39235,36.16535
0,23.887455,34.975063
7,23.885363,35.26247
2,24.138895,34.45756
8,25.08232,36.922966
5,23.877981,35.01901
0,25.278751,37.06775
5,23.918213,35.473476
9,23.871788,35.214
6,24.068636,34.540718
8,24.380287,36.143547
4,23.947515,35.73356
9,23.91178,35.558224
5,23.979382,34.694748
3,23.946321,34.778748
7,25.262114,37.051052
0,24.14066,34.458336
7,23.866112,35.1753
8,23.87935,35.245182
5,23.937244,34.805374
9,23.868107,35.085938
8,23.990192,34.679558
6,24.066637,34.540565
5,23.905521,34.92615
1,24.102308,35.846844
1,25.274872,37.054096
3,24.014616,34.617218
8,24.020664,34.6122
1,23.986298,35.864952
2,26.544935,33.865036
0,24.353483,32.237213
5,26.52714,33.85426
