,0,1
4,67.31966,7.213257
2,67.308655,6.873464
2,67.308655,6.873464
1,67.308655,6.873464
5,67.308655,6.873464
9,67.308655,6.873464
8,67.308655,6.873464
3,67.308655,6.873464
8,67.308655,6.873464
2,67.308655,6.873464
7,67.308655,6.873464
0,67.308655,6.873464
9,67.308655,6.873464
3,67.308655,6.873464
0,67.308655,6.873464
9,67.308655,6.873464
3,67.308655,6.873464
7,67.308655,6.873464
6,67.308655,6.873464
0,67.308655,6.873464
2,67.308655,6.873464
8,67.308655,6.873464
0,67.308655,6.873464
6,67.308655,6.873464
3,67.31966,7.213257
1,67.31966,7.213257
8,67.31966,7.213257
8,67.308655,6.873464
1,67.308655,6.873464
9,67.308655,6.873464
7,67.308655,6.873464
5,67.308655,6.873464
1,67.305084,6.4401226
5,67.305084,6.4401226
7,67.305084,6.4401226
0,67.305084,6.4401226
9,67.305084,6.4401226
1,67.305084,6.4401226
7,67.305084,6.4401226
8,67.305084,6.4401226
4,67.305084,6.4401226
9,67.305084,6.4401226
9,67.305084,6.4401226
4,67.305084,6.4401226
4,67.305084,6.4401226
5,67.305084,6.4401226
5,67.305084,6.4401226
3,67.305084,6.4401226
0,67.305084,6.4401226
6,67.305084,6.4401226
0,67.305084,6.4401226
5,67.305084,6.4401226
7,67.305084,6.4401226
7,67.305084,6.4401226
6,67.305084,6.4401226
5,67.305084,6.4401226
1,67.305084,6.4401226
7,67.305084,6.4401226
4,67.305084,6.4401226
7,67.305084,6.4401226
2,67.305084,6.4401226
2,67.305084,6.4401226
6,67.305084,6.4401226
7,67.305084,6.4401226
2,67.30236,5.4460883
8,67.30463,5.73824
2,67.30463,5.73824
8,67.30463,5.73824
0,67.30463,5.73824
0,67.30463,5.73824
6,67.30463,5.73824
9,67.30463,5.73824
2,67.30463,5.73824
3,67.30463,5.73824
9,67.30463,5.73824
2,67.30463,5.73824
9,67.30463,5.73824
2,67.30463,5.73824
7,67.30463,5.73824
5,67.30463,5.73824
4,67.30463,5.73824
5,67.30463,5.73824
6,67.30463,5.73824
7,67.30463,5.73824
2,67.303696,6.007493
9,67.303696,6.007493
3,67.303696,6.007493
8,67.303696,6.007493
9,67.30463,5.73824
2,67.30463,5.73824
7,67.30463,5.73824
3,67.30463,5.73824
8,67.30463,5.73824
0,67.30236,5.4460883
0,67.30236,5.4460883
8,67.30236,5.4460883
5,67.25489,4.3435054
2,67.31082,4.3233833
5,67.31082,4.3233833
7,67.31082,4.3233833
4,67.31082,4.3233833
6,67.31082,4.3233833
6,67.31082,4.3233833
8,67.31082,4.3233833
2,67.31082,4.3233833
7,67.31082,4.3233833
5,67.31082,4.3233833
7,67.31082,4.3233833
9,67.31082,4.3233833
8,67.31082,4.3233833
2,67.31082,4.3233833
9,67.30807,4.0076933
1,67.30807,4.0076933
2,67.25489,4.3435054
2,67.31082,4.3233833
9,67.301895,4.689122
1,67.301895,4.689122
0,67.31082,4.3233833
6,67.31082,4.3233833
2,67.31082,4.3233833
7,67.31082,4.3233833
2,67.31082,4.3233833
7,67.31082,4.3233833
2,67.31082,4.3233833
3,67.31082,4.3233833
5,67.31082,4.3233833
2,67.31082,4.3233833
6,67.31082,4.3233833
8,67.33081,3.2005641
5,67.33081,3.2005641
9,67.33081,3.2005641
7,67.33081,3.2005641
6,67.33081,3.2005641
7,67.33081,3.2005641
0,67.33081,3.2005641
3,67.33081,3.2005641
8,67.33081,3.2005641
6,67.33081,3.2005641
3,67.33081,3.2005641
3,67.33081,3.2005641
3,67.33081,3.2005641
7,67.33081,3.2005641
0,67.33081,3.2005641
9,67.33081,3.2005641
7,67.33081,3.2005641
6,67.33081,3.2005641
5,67.33081,3.2005641
7,67.33081,3.2005641
6,67.33081,3.2005641
9,67.33081,3.2005641
6,67.33081,3.2005641
7,67.33081,3.2005641
9,67.33081,3.2005641
0,67.33081,3.2005641
3,67.33081,3.2005641
8,67.33081,3.2005641
0,67.33081,3.2005641
9,67.33081,3.2005641
1,67.33081,3.2005641
4,67.33081,3.2005641
0,67.34838,2.4577322
5,67.36671,2.1210794
9,67.36671,2.1210794
6,67.36671,2.1210794
1,67.36671,2.1210794
6,67.36671,2.1210794
4,67.36671,2.1210794
6,67.36671,2.1210794
7,67.36671,2.1210794
6,67.36671,2.1210794
8,67.36671,2.1210794
9,67.36671,2.1210794
8,67.36671,2.1210794
5,67.36671,2.1210794
7,67.34838,2.4577322
9,67.34838,2.4577322
6,67.34838,2.4577322
8,67.36671,2.1210794
8,67.36671,2.1210794
4,67.36671,2.1210794
6,67.36671,2.1210794
8,67.36671,2.1210794
1,67.36671,2.1210794
1,67.36671,2.1210794
3,67.36671,2.1210794
8,67.36671,2.1210794
8,67.36671,2.1210794
2,67.36671,2.1210794
6,67.36671,2.1210794
1,67.36671,2.1210794
3,67.36671,2.1210794
2,67.36671,2.1210794
1,67.42355,0.848671
9,67.42355,0.848671
9,67.42355,0.848671
7,67.42355,0.848671
2,67.42355,0.848671
2,67.42355,0.848671
7,67.42355,0.848671
7,67.44033,0.4928833
0,67.44033,0.4928833
7,67.44033,0.4928833
9,67.44033,0.4928833
0,67.40303,1.22001
4,67.40303,1.22001
0,67.40303,1.22001
8,67.40303,1.22001
7,67.42355,0.848671
2,67.42355,0.848671
9,67.42355,0.848671
0,67.42355,0.848671
8,67.42355,0.848671
7,67.42355,0.848671
8,67.42355,0.848671
2,67.42355,0.848671
2,67.42355,0.848671
0,67.42355,0.848671
7,67.42355,0.848671
2,67.42355,0.848671
2,67.42355,0.848671
6,67.42355,0.848671
7,67.42355,0.848671
5,67.42355,0.848671
2,67.42355,0.848671
4,67.48203,-0.3413153
6,67.48203,-0.3413153
0,67.48203,-0.3413153
4,67.48203,-0.3413153
6,67.48203,-0.3413153
7,67.48203,-0.3413153
9,67.48203,-0.3413153
3,67.48203,-0.3413153
7,67.48203,-0.3413153
9,67.48203,-0.3413153
3,67.48203,-0.3413153
2,67.48203,-0.3413153
6,67.48203,-0.3413153
8,67.48203,-0.3413153
8,67.48203,-0.3413153
8,67.48203,-0.3413153
4,67.48203,-0.3413153
1,67.48203,-0.3413153
7,67.48203,-0.3413153
4,67.48203,-0.3413153
9,67.48203,-0.3413153
5,67.48203,-0.3413153
9,67.48203,-0.3413153
5,67.48203,-0.3413153
1,67.48203,-0.3413153
2,67.48203,-0.3413153
5,67.48203,-0.3413153
7,67.48203,-0.3413153
6,67.48203,-0.3413153
6,67.48203,-0.3413153
3,67.48203,-0.3413153
1,67.48203,-0.3413153
2,67.5201,-1.0967475
7,67.53357,-1.4511892
6,67.53357,-1.4511892
7,67.53357,-1.4511892
9,67.53357,-1.4511892
0,67.53357,-1.4511892
2,67.53357,-1.4511892
7,67.53357,-1.4511892
9,67.5201,-1.0967475
8,67.5201,-1.0967475
8,67.5201,-1.0967475
2,67.53357,-1.4511892
6,67.53357,-1.4511892
6,67.53357,-1.4511892
4,67.53357,-1.4511892
0,67.53357,-1.4511892
8,67.53357,-1.4511892
1,67.53357,-1.4511892
3,67.53357,-1.4511892
