,0,1
4,28.152763,-9.783932
4,28.154648,-9.785258
4,28.314146,-9.735785
3,28.732412,-9.451554
2,28.264431,-9.754751
4,28.345081,-9.715429
1,28.451525,-9.651988
4,28.18528,-9.768191
2,28.81309,-9.371676
3,28.13748,-9.79535
7,28.181995,-9.774181
6,28.233898,-9.755283
8,28.458511,-9.66073
8,28.452742,-9.671095
1,28.433596,-9.682642
4,28.103567,-9.809829
9,28.45271,-9.649923
5,28.249134,-9.748881
9,28.428291,-9.68073
9,28.196121,-9.758895
5,28.196428,-9.773881
8,28.843733,-9.333916
0,28.42654,-9.6902895
2,28.24963,-9.751139
8,28.33448,-9.721396
4,28.177324,-9.786554
4,28.154423,-9.796048
7,28.322737,-9.722877
9,28.17473,-9.768197
9,28.276321,-9.732192
8,28.272814,-9.745895
1,28.26425,-9.752228
5,29.028885,-6.865576
9,29.211954,-6.6909275
2,29.106052,-6.7878137
4,28.669292,-7.2939196
7,28.921762,-6.988486
4,28.900837,-6.9997945
2,28.51137,-7.541857
4,28.588045,-7.393739
8,29.010284,-6.915658
3,28.505585,-7.5467467
3,28.56681,-7.4448733
9,29.304256,-6.613204
4,29.349981,-6.582924
7,29.248646,-6.6545486
1,28.831959,-7.0901265
0,28.526344,-7.5077434
5,29.133432,-6.762142
0,28.612093,-7.39878
3,28.769747,-7.1678514
0,29.202757,-6.7043114
7,28.546972,-7.465139
6,28.494759,-7.552184
0,29.0992,-6.803761
8,29.119514,-6.7839575
1,29.150612,-6.74338
5,28.54374,-7.4712534
1,28.558168,-7.4636297
6,28.517712,-7.5226493
5,29.055248,-6.8337655
0,28.485476,-7.563485
9,29.05898,-6.8444843
4,28.50361,-7.544173
2,32.411705,-7.2644253
4,33.061584,-7.4966173
4,33.028057,-7.509282
7,33.111904,-7.4641643
5,33.139652,-7.4986467
9,33.034203,-7.4702806
4,32.94402,-7.474661
4,31.949959,-7.049859
4,32.958855,-7.4428186
3,31.570889,-6.818814
7,32.998623,-7.4887123
0,32.877502,-7.4518013
3,32.57918,-7.344679
7,32.004845,-7.124021
1,31.665884,-6.9048243
5,32.9527,-7.483845
9,31.812708,-6.9766235
0,31.561794,-6.823151
1,31.50924,-6.7953124
7,31.630308,-6.881182
4,33.030952,-7.495848
6,32.076477,-7.1430736
6,32.646553,-7.315003
3,32.591484,-7.348288
7,31.612654,-6.8446302
8,33.137165,-7.529544
8,31.7888,-6.9637723
9,31.758844,-6.9351997
6,31.872091,-7.0106597
8,32.951633,-7.4650974
9,31.69547,-6.9112077
9,32.717403,-7.3455496
5,34.042183,-6.137044
4,33.56243,-5.7016616
9,33.45999,-5.450784
1,33.186535,-5.424353
5,33.461666,-5.563513
7,33.358673,-5.5308247
4,34.094475,-6.102199
1,32.614273,-5.22007
1,33.548298,-5.662934
0,32.62911,-5.218985
3,34.10824,-5.8339505
1,33.727337,-5.8142285
9,33.006973,-5.326132
7,33.64908,-5.683995
9,32.96154,-5.338971
0,32.549957,-5.255112
0,32.78352,-5.2793093
8,32.85971,-5.3214293
6,33.585564,-5.6664453
6,33.66502,-5.801035
9,33.305214,-5.404408
3,32.96399,-5.368767
4,33.650352,-5.7524
5,34.00404,-6.1002703
4,34.029613,-6.118658
0,32.56572,-5.224296
4,33.915237,-6.0341334
8,33.393982,-5.5369735
5,33.40815,-5.531556
6,34.07567,-6.18069
8,33.326717,-5.5048423
8,33.970577,-5.9762406
0,35.069134,-5.8512883
9,35.100582,-4.8199835
2,35.15475,-4.63543
5,35.075962,-5.45329
3,35.097103,-5.98938
1,35.22709,-5.3804545
1,35.158913,-4.6601458
6,35.04803,-5.9912176
1,35.130924,-4.912669
2,35.267155,-5.3347864
8,35.11344,-5.638647
2,35.05319,-5.8554444
7,35.079742,-4.9944215
3,35.058014,-5.641646
7,35.16683,-5.8354354
4,35.066128,-5.864713
7,35.200916,-5.3139977
8,35.087105,-5.1118836
8,35.15164,-5.950302
2,35.092674,-4.6462164
5,35.152897,-4.742474
6,35.10476,-5.9375334
4,35.09831,-6.0415773
5,35.14545,-5.2724776
6,34.983498,-5.829181
7,35.19796,-5.280399
7,35.13073,-4.904434
8,35.195175,-5.472777
5,35.155266,-5.984445
1,35.160793,-5.420364
9,35.15749,-5.4008894
3,35.10964,-5.7916884
4,35.90214,-13.927241
6,36.105473,-14.40087
0,36.323402,-14.787353
1,35.835995,-14.14445
1,35.89093,-13.923451
1,36.027752,-14.687791
5,35.985477,-14.294006
0,35.85893,-14.187884
3,36.231415,-14.701335
0,36.12203,-14.374827
7,36.141132,-14.418397
8,36.428913,-14.976483
4,35.935253,-13.958515
8,35.989044,-14.213571
8,36.20308,-14.584505
9,36.259296,-14.618905
5,35.902534,-14.011006
6,35.902718,-13.973871
0,36.37259,-14.848629
0,36.45212,-15.0151825
8,35.91388,-13.965797
3,35.921055,-13.989068
2,36.142517,-14.436167
1,35.66919,-14.496236
2,35.886677,-13.910748
2,36.47012,-15.077969
1,36.02677,-14.601628
9,36.00841,-14.222822
6,35.89003,-13.88011
9,35.94678,-14.273142
6,35.898327,-13.915217
9,35.932213,-13.92091
6,26.23974,-16.459723
5,26.243212,-16.438307
4,26.240133,-16.444366
