,0,1
3,22.021404,49.679043
1,-24.804283,-56.770943
1,-19.889782,-60.67897
0,40.27443,-18.547745
2,-15.091495,-10.408555
3,22.314745,0.77269185
4,0.30544978,39.118694
3,-12.672934,-4.390482
3,21.461056,1.150685
1,-5.6919293,-41.507095
3,25.057474,30.570194
2,-44.023342,7.090309
6,-50.16745,17.995543
9,26.256824,-45.679497
3,-13.639854,60.238808
2,-23.412971,-5.1829567
2,-31.976946,16.29006
4,33.525494,14.181246
8,-38.742985,-19.288172
7,57.928844,-2.5536544
5,17.974623,62.5961
9,16.326094,-30.697819
3,-30.879673,33.953274
8,5.5233145,-27.995512
9,28.809511,-47.928314
5,29.417421,60.365604
6,-63.70229,35.081955
4,-0.68534654,12.202004
8,-62.475964,-22.751726
7,62.762154,8.662879
0,-2.2494984,-8.960452
2,-50.720768,3.0711043
1,-32.424175,-50.31582
2,-26.627386,13.2419815
2,-2.4636018,4.50203
5,27.930145,29.772223
1,10.813547,-55.32719
7,61.993095,16.181383
0,18.592415,-11.147136
4,12.269886,6.919114
8,40.625282,17.79474
1,-32.5979,-35.87732
8,-53.82276,-18.061703
1,-25.139645,-46.924435
6,-15.646555,34.3763
8,-28.870863,-11.577237
8,-52.539036,-35.38672
2,-34.51515,-5.3267407
2,-17.521769,17.136375
1,-16.462208,-38.337086
2,7.124466,15.977575
0,22.830343,-24.411758
2,4.1937943,34.344845
4,9.152297,38.051533
1,-23.180878,-37.542133
1,-19.03198,-40.921497
5,1.271712,22.400509
6,-34.494015,53.346054
0,35.28416,-17.862219
4,3.717208,17.980902
2,-17.681135,17.13794
6,-47.509357,12.730691
5,22.138268,64.328064
8,8.004798,-25.492498
8,-30.622854,-25.371237
3,17.739002,23.64557
9,16.53774,-37.315247
8,-25.208641,-25.068602
9,62.163284,2.3548384
2,-9.664534,21.613585
4,5.837706,8.449035
3,-35.98942,12.707519
8,-46.615063,-8.705923
1,-23.640957,-51.830574
0,18.591007,-11.364728
0,35.94002,-22.188242
2,-39.20909,7.686452
3,1.5312802,29.673922
3,-13.154312,31.451706
1,-23.47004,-37.527004
9,22.558626,-40.32211
9,34.49392,-6.880715
3,-3.584792,45.82279
9,25.617794,-38.471058
1,-19.553879,-41.827175
9,37.412903,-11.824904
1,-23.759499,-40.437294
5,3.5411704,67.72219
0,17.644527,-7.5797415
6,-37.197487,48.30468
7,63.639057,-2.199277
1,-30.257109,-32.641125
6,-33.04868,44.471767
3,1.7651839,29.273056
6,-59.076565,22.690948
7,54.64401,-2.1203847
9,3.3737485,-56.5706
3,-9.27154,37.760693
7,55.885735,1.2865312
4,19.822712,9.358363
4,9.64296,32.380173
7,64.88771,-5.525044
8,-48.802216,-11.357378
1,-13.947356,-29.573067
2,5.9427576,-1.1089166
0,14.711519,-7.959027
8,-21.381748,-13.264481
1,-17.522192,-56.453068
5,27.79312,52.52038
9,1.1872209,-32.34321
3,0.8936301,26.757751
6,-20.586325,63.66568
0,12.591082,-15.436662
6,-46.116936,43.509666
3,-28.533339,27.230093
1,-16.66904,-25.966751
9,19.445684,-41.892536
9,18.9057,-44.860825
5,11.686132,40.11461
2,-26.302832,7.7068567
6,-42.94645,33.883488
5,30.897827,61.247738
7,35.990616,-8.287317
1,-21.43878,-52.823566
3,-29.443653,38.897133
7,60.123398,-1.0002462
5,3.6628532,63.655197
0,48.61642,-24.646564
2,-21.009956,38.08606
0,6.4587173,-21.046196
4,-26.641918,10.676697
8,-53.23981,-9.237814
3,24.280693,16.873941
1,-25.05799,-40.059578
6,-58.374237,27.861588
0,49.181328,-17.237316
9,12.303214,-53.90606
0,34.166115,-15.813501
0,27.053635,-13.363714
4,-8.6719265,24.500095
0,26.721928,-17.424551
7,40.44347,11.500851
9,18.531399,-47.94403
8,-41.830902,-14.365754
0,15.434353,-10.25231
5,2.396794,67.32367
4,6.348731,34.777126
1,-14.265479,-42.728626
6,-55.275024,24.012491
5,31.825432,49.332188
4,-14.578366,40.451218
5,32.948963,57.592964
0,27.420704,-10.874121
2,-22.04302,35.747807
9,34.358555,-50.422607
8,-52.30455,-28.6138
9,19.637058,-42.038826
0,45.728622,-20.373587
1,18.198164,35.137447
9,28.347528,-2.389323
1,-25.839945,-60.392914
9,-2.3494878,-57.803448
3,-15.686337,38.556404
6,-44.637947,28.882578
1,-21.43579,-29.57395
5,5.3793163,60.070007
0,51.69349,-36.677376
9,4.6848845,-36.580322
7,38.684887,-6.6145782
2,-26.383547,-0.76547736
7,41.815453,19.59226
3,1.7631927,27.070908
5,28.845903,52.474636
5,32.95873,62.170395
0,30.824587,-19.529387
9,17.2717,-58.403576
8,1.3113644,-18.036142
9,25.379045,-50.456768
6,-62.061058,29.513018
8,-49.894997,-10.750293
5,33.40026,46.702522
6,-27.661552,37.163757
0,35.779568,-17.998293
8,-38.236507,-12.750361
7,54.099174,5.6943893
0,21.11397,-6.0258355
7,66.226364,0.6417028
4,-21.303612,37.199955
7,62.577465,10.198272
2,-33.637775,-2.1900482
0,15.862216,-5.952166
7,54.812344,25.060865
2,-13.839651,24.975868
3,28.375896,40.9191
6,-48.06146,26.237656
8,-39.810833,-29.893381
1,-28.56266,-56.617943
1,-39.62409,-45.266525
4,-11.952676,17.282784
4,-1.2663487,16.223574
2,-54.06214,16.227354
9,7.4927187,-68.18252
7,63.452744,-4.9075418
9,24.351103,-58.240864
6,-38.860893,36.058357
5,27.34493,58.035244
5,29.448284,61.118916
7,46.23009,30.375488
4,5.275721,13.922633
1,39.594433,-6.620337
6,-46.479534,28.813631
5,32.038948,49.169037
2,-18.034418,-9.238739
4,5.039106,67.013626
8,-29.361362,-20.636723
7,52.700123,23.8674
4,34.997486,15.7211
9,-0.6721467,-55.874714
0,6.2300773,-21.832859
7,39.44299,13.657967
7,30.120102,4.4353156
6,-52.602764,37.68427
5,13.509419,51.162403
9,7.4154544,-62.730774
7,56.798244,25.121792
3,0.8871893,49.675133
6,-28.878931,44.967175
2,0.959674,-10.00952
0,44.546463,-30.001547
2,-22.23592,-10.607524
5,-3.5856242,61.533924
6,-63.31543,23.408659
3,-4.7814083,47.81477
8,-52.76601,-33.639603
7,51.13844,15.153169
7,59.32136,5.7852426
2,21.306385,19.74774
1,-40.37523,-42.27292
0,25.597633,-19.66368
6,-32.83351,40.72054
4,-4.4856253,18.911407
2,12.273364,3.9909365
9,24.090467,-61.857864
2,-28.08883,16.777874
7,63.445393,10.822665
3,40.502056,27.997942
4,-15.085441,24.376904
9,-4.541289,-62.437862
8,-9.977683,-3.6140862
6,-25.831476,43.440918
6,-23.549122,48.13276
4,9.839377,59.414062
0,40.597145,-32.642635
1,-8.174327,-44.699974
4,23.39403,11.28145
1,-10.124791,-51.21084
6,-53.339775,31.269644
8,-0.17254642,-30.007812
0,51.685764,-37.961605
4,-2.1661313,21.565948
5,19.22789,58.022514
4,-34.37226,13.566709
8,-46.821938,-26.897205
8,-19.955326,-12.88127
3,35.492035,40.531475
1,-10.415945,-39.633587
5,45.065804,37.899616
2,-21.493843,9.902103
0,45.145008,-35.32736
1,22.349672,-1.3256063
4,-15.071005,27.469574
9,1.7048491,-35.26429
9,13.793373,-42.309753
3,3.529401,55.526234
4,9.113282,15.098448
4,9.154979,12.810513
8,-25.344667,-18.676188
3,14.478056,48.32973
8,-41.82829,-20.138199
5,29.446217,51.37506
8,-54.78058,-32.28115
0,43.096233,-16.689869
1,-23.449951,-50.31768
0,25.303993,-2.1589887
7,63.74469,9.491495
9,19.090305,1.194307
2,-20.747747,1.7636372
5,3.4280005,48.850243
2,-22.32111,13.88723
0,32.80928,-21.634893
9,19.57779,-40.21232
4,-0.11206228,22.914366
1,-4.5894046,-33.43445
4,0.92952716,10.509661
8,-43.20125,-12.152813
8,3.683965,-26.842987
2,-7.2904205,19.708603
5,28.629187,49.301228
1,-8.899511,-53.122993
1,-19.277052,-27.676586
8,-41.046425,-11.817245
1,-11.29771,-33.943016
5,19.238766,60.796696
8,-45.352417,-27.455748
6,-28.01554,51.139175
6,-38.365173,51.049023
0,30.330137,-1.4633983
5,31.680674,62.668808
4,10.337473,14.169587
9,4.979627,-51.341045
8,-31.54569,-22.151915
4,8.313069,14.29678
6,-29.972242,45.59637
1,-3.1094894,-34.238888
9,14.232192,-55.650944
0,40.252064,-31.453947
4,14.034119,36.55162
1,-15.403836,-45.94085
1,-25.166292,-30.83475
0,44.801197,-28.818357
1,-14.847285,-28.593067
8,-46.786613,-25.813406
0,38.28783,-28.887684
5,39.311497,43.186596
1,-29.915096,-34.47124
9,6.09053,-63.263313
5,0.036428545,56.26571
4,-13.432493,22.861568
0,6.9120655,-28.353794
8,-28.004745,-11.838962
7,63.311882,9.649571
6,-55.25456,23.806355
1,-14.859674,-29.632494
8,-51.764355,-16.589468
4,12.470963,36.74026
3,-4.0632796,47.651066
1,-6.4054427,-33.470615
1,-20.969519,-63.739307
1,-4.3312197,-22.425678
4,12.452876,1.6532472
2,-30.93435,-1.9052469
7,61.138348,-1.3178002
2,-44.80612,-0.92542154
5,43.98153,29.296198
6,-42.38771,27.706387
3,20.84847,54.762806
5,24.585672,62.174194
7,33.197254,9.26396
5,26.857283,46.189373
8,6.887586,-18.055359
5,5.9912634,30.905159
7,40.24069,4.6227474
5,33.20169,52.841816
0,48.617783,-29.80487
4,5.639227,10.041652
0,39.901707,-42.757477
3,8.587763,53.49366
6,-31.009298,56.08941
7,46.22951,3.5589511
8,-9.533854,-13.297417
5,19.164698,63.41228
1,-23.535894,-48.429577
6,-23.601242,48.703667
8,-41.853058,-12.459261
7,53.117218,26.252922
9,15.644303,-40.97197
9,11.319953,-49.609222
2,-23.970577,19.787659
8,-15.651038,-16.575312
0,2.375856,-21.011423
4,-0.057773385,13.9696865
7,40.440582,28.030083
5,-35.405457,57.07971
0,41.77393,-22.591846
4,31.857847,9.4915695
5,33.12028,52.285378
0,23.915918,-10.482974
1,-38.229103,-50.40862
0,24.858006,-17.910091
2,-8.395386,21.987862
0,15.243112,-3.689015
9,11.643197,-41.176067
5,21.771946,56.390366
1,-39.578735,-39.46828
6,-55.371372,22.876148
3,1.163633,53.422596
3,13.878659,37.69423
3,-36.08655,-11.725951
5,12.036331,37.322018
9,38.699932,-7.3742585
2,-29.32759,0.37592515
0,23.870913,-21.941347
8,-2.2615993,-26.620443
8,-28.354588,-25.791668
4,-2.800696,17.225353
7,65.03263,3.4052298
5,30.143421,50.85998
1,-19.285221,-33.607933
9,12.848368,-55.657356
9,12.980779,-63.87108
0,9.303123,-3.306495
7,52.274094,3.2185998
1,18.703608,24.747555
9,11.221349,-57.23817
3,10.176173,35.070183
2,-14.763929,14.540578
8,-23.440744,-19.264616
6,-58.233833,28.653934
9,2.6624956,-44.287052
1,-34.952766,-37.874683
6,-55.231014,23.527029
0,2.1970565,-9.670549
1,-23.415184,-44.092144
3,16.21809,41.954323
2,-26.246353,-9.043566
5,12.38587,36.62653
7,34.41299,50.17198
1,-16.254599,-44.39513
4,17.66002,-2.5590174
1,-26.329012,-40.75825
0,54.80028,-34.58919
0,23.24678,-11.639581
5,21.455288,64.03168
8,-18.708536,-22.32201
4,1.8903651,14.442383
8,-28.629923,-12.071639
5,36.141315,52.871567
8,-32.456623,-11.592637
4,-24.030437,16.962484
8,-2.3581612,-26.430202
9,3.431435,-68.866425
0,37.949863,-13.295614
7,63.359806,8.704021
7,57.793022,-6.5321374
0,21.070934,-4.1256075
6,-38.48162,53.9785
1,-15.8756695,-39.10454
8,-51.817924,-34.235203
8,-57.82105,-10.222145
7,15.666747,3.3809977
1,-24.009634,-30.756727
3,-19.960936,62.596313
0,17.762169,-20.607824
4,-0.13531734,13.737927
7,65.403534,-8.176051
8,-26.955824,-19.661934
4,32.82663,13.958028
4,33.69611,49.71537
9,11.903201,-41.210766
5,20.818937,63.11378
7,41.40476,12.895809
0,22.087822,-22.524628
0,19.309616,-24.556519
8,-18.922325,-7.835315
3,-19.985365,63.75127
2,-39.451466,6.5856023
8,-46.19166,-28.80083
3,45.367485,41.841553
7,55.278664,-13.871731
3,-0.81862414,49.02211
1,-5.8494754,-51.798656
7,51.311512,8.776924
7,62.114185,9.03456
4,-1.3967785,65.99448
8,-35.20679,-10.476391
3,-10.357138,36.74084
2,-48.58184,8.203586
4,-25.469759,19.15363
5,26.06543,46.047165
3,29.65921,38.237545
5,24.294628,15.756138
0,26.899279,-27.659616
3,-28.919085,38.717896
1,-33.832138,-61.01702
8,-45.480732,-23.354229
8,-43.4562,-20.949732
3,0.7144483,32.471943
9,42.43716,-12.103624
5,26.101917,60.56835
0,20.901789,-4.414227
9,18.565565,-37.84512
1,-19.506424,-48.380676
3,1.8703762,26.745487
1,-10.967492,-44.122112
7,31.996279,-8.386477
5,36.87122,50.16699
9,26.719309,-59.727467
7,48.867878,-0.9022356
4,5.6953483,8.392268
9,42.297768,-45.724926
4,-3.479731,23.40539
6,-62.117104,32.163467
7,48.271576,19.670073
9,34.888863,-47.031982
3,-16.404991,-5.7549295
1,33.333572,-3.1455574
9,11.614571,-40.38983
6,-55.14579,18.528421
2,-28.393879,19.069351
1,-31.064085,-50.56884
3,2.7094014,64.06811
2,-20.05048,29.616354
1,-29.18039,-33.926487
7,27.18306,4.68294
8,-28.055407,-22.756763
6,-54.803623,25.150642
4,8.682799,12.351963
4,-0.15829891,37.333096
4,-25.086546,4.6290245
3,26.169271,45.78056
4,21.543427,18.740599
3,23.72657,34.810375
7,66.49251,0.52463657
2,-51.36419,6.262486
4,-46.024014,21.652374
0,19.589218,-26.721788
2,9.149191,-12.947232
3,18.724365,46.33987
1,-21.800545,-63.989826
6,-28.119516,31.647991
0,8.73592,-32.360943
2,-27.937616,17.165304
0,34.569695,-27.142862
7,62.471985,16.205463
5,-18.569185,63.853664
0,18.775005,-29.556108
5,21.499458,31.426392
5,48.53855,41.36047
7,44.7663,24.631842
9,19.523554,-48.6675
7,29.84033,6.1262274
6,-21.429789,38.961388
2,-28.164951,18.25815
2,-38.91043,-3.732471
4,-23.87097,13.24881
9,5.2225785,-65.25038
0,-35.2469,-28.872255
4,-12.427587,32.180614
5,22.019882,52.38187
7,65.01279,3.5983622
7,52.52351,-5.3385763
9,27.685364,-45.969402
6,-64.81661,20.624298
4,-20.19769,40.866978
9,1.4079239,-34.91536
5,-0.32560518,54.180843
5,19.24611,65.1708
4,-6.1541443,22.744104
7,58.53589,-10.529666
3,-14.544252,40.604362
9,24.102257,-62.039223
4,-17.351978,0.1447427
2,-7.3191814,27.68105
7,38.89625,15.312012
2,-12.289103,26.560667
0,53.811165,-30.022144
7,37.80818,15.953526
7,58.549698,-8.782004
8,-61.60601,-23.154871
4,-26.578844,13.084301
1,-13.722595,-29.509958
3,-6.0795865,-0.74110246
6,-58.989647,37.75561
0,41.500713,-28.958405
5,19.395521,18.953579
7,55.843697,1.288628
1,-29.606836,-52.907375
5,12.009647,51.526325
3,14.625017,66.912025
7,47.38878,23.627678
9,7.451183,-52.872677
8,-40.261448,-22.933964
7,39.533554,16.799282
7,22.550974,31.21129
7,36.81914,0.43873343
2,-39.859676,7.146202
0,27.443003,-17.46416
4,13.354906,12.812152
0,-4.843126,-7.80568
2,9.924179,25.081978
6,-21.919554,46.02455
9,20.624521,-44.300205
7,55.345108,13.686892
1,-27.90526,-38.863926
3,31.414946,35.006947
4,4.1197968,30.708563
9,12.202864,-61.522144
1,22.672497,26.33973
0,34.335648,-35.928284
6,-58.93509,25.77188
1,-8.66328,-48.595966
1,-12.479831,-60.775265
2,-55.766293,4.308261
8,-56.79603,-22.767649
6,-30.317663,46.480213
3,-12.110485,62.370045
4,7.4214745,29.040997
0,21.058992,-11.391912
9,15.284366,-51.599815
5,-5.6430106,23.485508
2,0.29667574,36.693127
8,-42.005077,-20.480684
2,-28.409107,14.067978
7,61.55666,8.805861
1,-20.245895,-32.63117
0,12.733667,-28.155146
3,10.748294,58.806087
3,26.174747,32.178753
6,-27.196386,49.427174
4,7.369888,8.184441
2,-33.282757,12.087181
3,2.2545507,67.46546
8,-15.084273,-22.036991
6,-28.426989,46.11199
2,-22.890848,49.303623
0,-29.57687,-23.64531
2,-14.737688,26.867336
2,-46.918503,6.3384776
7,38.836754,-3.215508
3,23.877615,21.229609
7,47.24542,3.3290467
2,-29.13547,27.625025
9,18.168787,-61.332714
6,-28.553907,18.178774
9,3.522168,-39.443436
9,11.815971,-41.93425
5,-29.921738,47.468357
2,-22.2397,13.78361
4,-1.7428026,63.504204
9,13.151132,-57.47446
8,17.503475,26.232832
0,46.049118,-28.479244
9,16.21732,-55.915417
9,2.8808064,-34.05622
