,0,1
2,72.50726,20.15566
9,72.507126,20.153421
2,72.50766,20.154999
8,72.507866,20.154768
2,72.50814,20.154434
5,72.507355,20.153473
8,72.506905,20.153402
8,72.50847,20.15382
8,72.50706,20.156015
8,72.5085,20.153666
0,72.50663,20.153553
2,72.50831,20.154005
0,72.50841,20.153843
8,72.50785,20.15488
0,72.50856,20.153606
8,72.5078,20.154884
1,72.50709,20.153418
6,72.50821,20.153185
1,72.507195,20.155539
5,72.506195,20.153397
3,72.50802,20.154682
8,72.50803,20.154594
2,72.507095,20.155746
7,72.50741,20.153032
2,72.507225,20.15532
1,72.492775,20.158468
7,72.50851,20.153296
7,72.5085,20.15379
2,72.50777,20.1548
8,72.507256,20.155832
2,72.50819,20.153145
2,72.508194,20.154387
4,59.087204,24.251263
1,58.993725,24.283524
7,59.054733,24.26184
0,58.97577,24.290148
9,59.067314,24.257238
3,59.007214,24.279606
1,58.713047,24.393503
4,57.567253,24.863905
2,59.063614,24.257938
7,59.061638,24.259119
9,59.0586,24.259945
3,57.52124,24.883295
1,59.08207,24.252497
2,59.096886,24.248352
0,59.07656,24.254004
6,59.05485,24.261427
9,59.020603,24.27364
3,58.53666,24.464857
8,59.026894,24.271397
3,59.112133,24.245316
5,57.633747,24.83633
9,59.10873,24.245659
1,57.57674,24.858479
6,59.097157,24.248228
3,59.0798,24.25329
5,59.04456,24.264688
0,59.1085,24.245667
9,59.07471,24.255005
7,58.59298,24.441847
3,59.09779,24.247932
4,59.086903,24.251183
3,58.12717,24.634964
4,51.784695,28.69756
2,51.740467,28.581625
0,51.747326,28.518902
4,51.670918,29.161825
8,51.63143,29.8162
3,51.22278,30.728924
7,51.68925,29.005478
9,51.514286,30.231134
2,51.75362,28.582706
1,51.731358,28.72685
0,51.604134,29.658255
3,51.536694,30.087906
4,51.741558,28.365099
2,51.74146,28.424507
8,51.7472,28.376072
5,51.75419,28.650587
3,51.7458,28.362696
7,51.556675,30.18509
3,51.749794,28.508572
9,51.52037,30.123913
7,51.745132,28.426035
1,51.74444,28.524359
6,51.741795,28.424246
9,51.72058,28.76971
8,51.384518,30.556076
3,51.74766,28.545021
2,51.608593,29.520111
0,51.66221,29.750904
9,51.27045,30.659967
1,51.276955,30.655619
5,51.74401,28.370962
8,51.431923,30.459007
1,50.7065,31.520206
6,53.298576,28.30985
1,52.859478,28.962421
9,50.66191,31.581686
6,51.38629,30.767212
8,52.838043,28.985859
7,51.883698,30.217026
9,50.832245,31.410437
4,53.23167,28.427856
6,51.66619,30.455235
6,53.285725,28.328432
8,51.532314,30.605545
8,50.988667,31.245735
6,53.145844,28.572517
2,50.89611,31.356947
2,52.06192,30.022213
2,52.986782,28.737522
8,50.453346,31.747324
7,52.84521,28.96551
2,51.49653,30.633804
9,50.5989,31.619814
5,53.066483,28.642471
5,53.255783,28.40329
4,52.908775,28.875814
1,52.963745,28.838196
4,53.145752,28.571352
4,53.303688,28.320833
4,53.29531,28.30937
9,51.231323,30.93916
8,50.988987,31.240877
4,51.310394,30.84793
7,50.84195,31.398626
6,55.22641,26.959808
6,54.88941,27.256811
6,54.861523,27.311705
4,51.92547,30.558035
9,54.76001,27.457659
4,53.98048,28.550064
3,53.780502,28.81946
2,54.988533,27.136683
8,49.113533,32.664684
7,53.844475,28.76536
1,53.152397,29.498344
3,52.0085,30.457169
9,53.853542,28.699354
2,50.165802,32.25362
8,51.662678,30.800291
1,50.793182,31.738758
4,50.83618,31.681383
4,55.26431,26.894081
7,50.836792,31.689438
1,53.395096,29.173466
7,52.02121,30.457186
2,49.253727,32.648544
9,49.597736,32.53424
2,55.03927,27.064405
3,52.277122,30.243511
8,54.798447,27.410522
9,50.55182,31.976488
2,54.772312,27.463243
1,50.116066,32.28288
0,48.947514,32.685017
3,55.072292,27.054487
6,53.889156,28.709337
4,53.8451,29.098112
1,55.38862,26.956419
8,49.284122,32.881023
2,55.41814,26.93233
8,49.833,32.776344
5,55.335407,26.983353
7,49.78589,32.79352
7,55.43314,26.877428
8,48.93101,32.72492
0,53.359818,29.658438
7,50.402637,32.425392
4,48.939774,32.72773
8,50.404667,32.42404
8,55.33152,27.044546
9,54.764854,27.719929
7,54.857273,27.623182
2,48.92185,32.72286
3,55.423225,26.935392
5,54.088505,28.81187
8,55.429863,26.893938
8,49.795765,32.800777
0,50.64555,32.178562
2,50.90586,31.861647
0,55.333946,27.051744
5,51.96023,30.701794
2,55.374187,26.954874
2,55.43869,26.943933
4,55.422077,26.888016
3,55.19641,27.124428
4,54.19485,28.676504
1,55.43238,26.897041
3,54.870846,27.651756
3,49.75446,33.515953
1,49.38039,33.39706
1,55.558098,27.351847
4,55.640526,27.09358
2,55.513382,27.511248
7,49.385696,33.390583
0,55.649746,27.17587
3,54.143612,29.519993
6,54.573082,28.875172
5,54.955173,28.36298
7,55.66574,27.187477
4,50.38984,33.81313
5,54.115158,29.574713
5,55.61962,27.269093
3,54.555073,29.090277
7,49.772877,33.525352
5,55.66339,27.189417
8,49.381107,33.39465
0,50.340755,33.77826
6,55.590282,27.103031
7,49.35552,33.380478
0,49.77417,33.51878
1,53.71313,29.91525
1,49.2951,33.356007
8,49.685482,33.494984
0,55.63203,27.111471
8,55.602787,27.3063
5,55.597157,27.133322
0,50.00855,33.61328
4,55.624863,27.077036
5,55.644638,27.068312
9,55.605915,27.306677
4,50.50654,34.05099
1,56.93249,28.876352
1,56.86502,28.88282
2,57.15521,28.907955
1,57.107437,28.889486
9,50.407326,34.002735
7,57.18818,28.935255
9,57.175507,28.921177
7,49.81792,33.746334
3,57.169167,28.915306
8,50.716335,34.15136
7,56.753357,28.908627
2,55.652363,28.96825
1,51.844795,34.49099
1,49.14448,33.40696
9,51.580544,34.447277
2,57.128162,28.888544
3,54.74362,29.334896
4,56.70634,28.838617
9,56.880184,28.910105
3,50.5067,34.054996
5,54.41368,29.607853
1,57.091545,28.909859
0,50.500065,34.05427
2,54.650017,29.358425
9,56.760075,28.844507
2,49.502144,33.63418
1,49.17044,33.425842
1,50.740986,34.160316
4,54.024746,29.92278
0,51.538696,34.43331
9,49.924217,33.78563
9,57.71933,29.2879
2,57.95628,29.385187
1,57.865623,29.344934
3,57.810547,29.339304
2,57.956306,29.390072
2,50.626575,34.187958
3,49.43979,33.755493
5,57.955627,29.380226
1,49.435436,33.75639
4,51.237778,34.396194
7,57.50307,29.226913
8,49.34751,33.69192
9,57.048615,29.106709
5,57.93331,29.378473
9,50.77489,34.239445
0,49.23835,33.589622
7,51.094414,34.3461
5,54.395832,29.782478
5,57.865498,29.368073
5,57.9258,29.36533
3,50.670883,34.200333
5,54.43974,29.728224
9,57.34363,29.157501
9,49.56309,33.82657
4,54.226254,29.907766
5,57.48999,29.182709
1,57.144314,29.236544
2,57.96754,29.387571
6,57.300415,29.172432
0,50.67496,34.20013
6,54.369892,29.798151
5,57.915977,29.382431
1,57.006775,30.109665
5,59.174847,30.20496
0,58.363316,29.931643
7,58.18974,29.757334
6,59.342876,30.261763
4,54.75044,29.748995
4,59.363934,30.261509
3,59.34172,30.26296
2,58.370216,30.115309
5,50.019028,34.184513
7,59.32245,30.29003
4,59.324497,30.247105
3,59.298122,30.21479
5,59.343674,30.265957
1,52.05518,34.820538
1,59.314453,30.275513
2,59.310196,30.25984
0,49.484287,33.868355
7,59.31679,30.25641
2,52.247734,34.80022
1,59.293747,30.238544
8,57.146187,30.054222
5,50.608063,34.36848
3,59.36072,30.28739
2,51.666107,34.694977
1,49.419937,33.82636
0,49.372295,33.79215
0,59.346275,30.297052
0,59.357075,30.27563
9,59.153828,30.171242
1,54.519184,29.80442
0,49.546116,33.920376
9,59.66996,30.714495
0,59.622547,30.71715
0,51.06163,34.786682
7,50.079266,34.795807
1,59.635582,30.747776
1,51.241943,34.800854
8,59.63171,30.711323
0,50.656025,34.78431
1,51.78777,34.91698
9,50.471226,34.79969
0,51.314156,34.814102
6,59.667328,30.716318
2,59.62236,30.716011
2,59.685493,30.742662
2,59.68729,30.719269
0,51.987976,34.98991
5,59.69146,30.703144
6,59.733044,30.706207
2,59.70858,30.694214
8,59.497757,30.540884
4,59.73184,30.711975
7,50.344624,34.80583
1,59.644436,30.704037
3,58.252277,30.66721
8,59.619164,30.701591
0,58.07178,30.758583
8,52.00631,34.996677
6,59.57654,30.676441
6,52.000263,34.9949
8,52.256214,35.04342
6,59.547794,30.58102
7,59.508186,30.598146
3,62.68965,30.741302
3,62.73071,30.729036
4,62.74671,30.725582
4,62.847095,30.688204
9,59.294918,31.630829
6,59.808052,31.161526
3,62.78426,30.710522
5,62.730896,30.728327
3,62.572395,30.774673
8,62.781845,30.711018
3,49.963673,35.40644
9,50.386295,35.188606
6,62.808056,30.700777
8,59.652386,31.313526
9,50.54473,35.14586
1,52.0272,35.27692
9,62.816063,30.699583
8,62.57581,30.766499
8,62.7164,30.734325
0,59.53303,31.514692
1,52.262222,35.435627
1,57.747883,31.048798
0,62.843887,30.689283
0,57.714756,31.13795
2,62.827053,30.693834
1,49.905754,35.442734
4,62.897472,30.667957
0,59.287434,31.650846
8,52.055305,35.296803
6,62.775143,30.713415
3,62.809647,30.701359
2,50.260227,35.242455
4,66.07956,29.548294
4,66.036446,29.58053
1,66.0629,29.579382
9,50.19561,35.57308
5,65.8344,29.682436
0,62.923683,30.640503
5,65.97435,29.632687
9,63.008575,30.596415
0,59.211243,31.804903
4,66.06856,29.570377
9,62.88471,30.66454
6,63.849148,30.117678
4,49.669113,35.977604
6,66.04199,29.57602
0,49.672596,35.97069
8,59.36187,31.780876
7,65.885666,29.669252
8,63.209545,30.475975
3,59.422413,31.77225
0,53.76749,37.213646
1,63.234165,30.451626
3,63.362774,30.431767
8,49.981678,35.670414
9,59.398067,31.736362
2,62.917507,30.641565
2,66.06093,29.568058
3,66.02733,29.594799
3,66.05711,29.582338
9,65.511566,29.799356
5,63.227077,30.422487
4,66.011055,29.595137
4,66.07137,29.55711
5,65.98572,29.055025
7,66.118835,29.054878
4,66.1602,29.086386
5,55.31452,36.993973
3,53.880447,37.298023
8,63.885704,29.965212
5,66.126236,29.067173
7,66.13318,29.090944
7,65.99025,29.180645
3,66.13038,29.069235
9,51.97893,36.9866
1,66.110954,29.077284
7,49.62174,36.170692
0,63.470818,30.198631
2,66.01466,29.039627
7,64.87352,29.449018
4,53.789024,37.30612
6,66.14053,29.1885
6,66.08332,29.117294
3,65.62404,29.146378
3,66.07318,29.117945
0,66.11423,29.088297
8,52.96092,37.27845
2,66.17751,29.063005
9,49.68384,36.125046
3,66.06806,29.074574
9,66.14915,29.090113
9,52.245476,37.04113
6,63.822227,30.017248
3,52.786602,37.215134
0,66.088295,29.114805
1,53.169468,37.31092
2,65.75364,27.744106
5,65.69978,27.73648
7,65.772865,27.632019
7,51.855392,37.152004
4,65.793015,27.580542
2,65.761444,27.626936
9,49.63368,36.38337
8,50.306107,36.89108
0,64.44169,29.283401
6,65.79283,27.6219
1,63.961643,29.680742
3,63.59714,30.010195
5,64.078,29.543158
9,52.08369,37.195927
5,63.96864,29.677628
3,65.77467,27.615206
1,65.38291,28.158812
9,52.479305,37.286304
8,52.21137,37.224533
2,65.821945,27.513853
8,65.36379,28.260622
8,65.81169,27.501158
2,65.81541,27.539892
7,65.66675,27.884947
5,65.858284,27.346357
8,65.73856,27.69129
0,65.821846,27.515835
4,65.76371,27.649267
8,65.29354,28.258636
8,51.65754,37.122597
0,64.03457,29.641685
5,52.419888,37.276623
4,66.16936,25.701569
3,55.783134,37.22682
8,65.464455,27.864067
6,66.19746,25.56737
8,66.08767,26.09549
0,49.55758,36.71248
8,66.19733,25.559576
2,50.409725,37.235302
4,66.16623,25.716272
1,52.866165,37.52111
6,66.20578,25.514688
6,66.20283,25.528965
7,49.989563,37.065952
2,66.09147,26.071348
8,66.010376,26.434069
4,63.938667,29.634693
7,66.17847,25.656662
7,66.18848,25.60537
5,66.13163,25.883167
1,54.839733,37.542744
5,55.889225,37.162014
3,66.17702,25.66447
7,65.85454,27.115952
2,55.53511,37.326748
2,53.206104,37.549488
5,55.86741,37.17155
5,51.624886,37.277523
9,65.74542,27.5069
4,66.15889,25.751842
8,65.72064,27.558937
6,66.132576,25.878366
5,66.18442,25.626097
5,55.37636,37.43781
9,66.04453,26.223824
3,66.35314,24.654247
0,66.36693,24.576992
3,66.35368,24.657595
2,50.247086,37.385754
3,66.35491,24.64521
0,55.736855,37.263813
5,66.36622,24.577564
0,51.999657,37.56614
0,66.36067,24.60927
7,66.3659,24.577759
9,49.365196,36.89346
8,65.7614,27.175947
9,54.8578,37.613018
4,53.330418,37.634415
5,66.34091,24.724089
0,66.07356,26.084785
1,66.35519,24.651049
3,66.36642,24.577398
2,55.820446,37.245968
4,66.274605,25.104187
6,66.3676,24.568975
4,66.36812,24.565979
3,54.23008,37.689163
7,66.32479,24.830196
5,66.33631,24.775537
3,54.959713,37.57688
2,66.104515,25.929537
8,66.358955,24.636
2,66.36061,24.607283
1,54.443947,37.62167
1,63.966053,29.352068
0,53.21823,37.699036
4,54.585,37.716602
6,66.51285,23.146498
4,49.762707,37.254177
2,66.51193,23.162035
2,66.51304,23.145855
2,66.50869,23.150747
6,66.512375,23.150753
6,66.46221,23.43321
7,66.51092,23.147877
1,55.457973,37.46485
0,66.51234,23.160982
0,66.51239,23.15813
1,66.51162,23.159847
3,66.512405,23.158329
1,64.03293,29.336456
8,51.942047,37.71017
0,52.898552,37.744694
0,66.512314,23.148077
9,66.50644,23.210981
5,66.5036,23.199707
3,66.50493,23.228027
4,66.51242,23.154404
6,66.5074,23.195065
2,66.512566,23.158083
4,66.51269,23.152649
0,49.350105,36.927723
6,66.5117,23.16118
4,66.50847,23.175592
1,55.679996,37.350555
9,66.50943,23.145346
1,49.429157,37.056202
0,52.132763,37.969475
1,49.425915,37.060593
2,66.58868,21.415285
8,66.58873,21.417439
7,66.5441,21.596962
2,66.58871,21.416021
7,63.95157,29.28035
3,66.58871,21.4165
2,66.58866,21.426054
9,66.5826,21.455923
5,66.58485,21.438677
0,66.588745,21.416155
2,66.58754,21.416756
2,66.58871,21.415634
8,66.58561,21.43115
3,54.355003,37.87568
4,54.73001,37.75814
0,55.282745,37.635998
6,66.588715,21.415728
9,54.45267,37.79218
6,66.58874,21.421518
8,54.295975,37.835075
7,66.58866,21.416988
8,66.588165,21.42845
6,66.5878,21.420782
7,66.50765,21.734959
6,66.58865,21.418825
5,66.57696,21.45007
7,66.587975,21.418615
3,66.58699,21.42159
1,66.58872,21.422346
6,61.921932,36.415833
0,49.35649,37.037266
0,61.822598,36.42942
0,55.1414,37.82474
3,61.92269,36.407116
4,61.9219,36.41565
5,61.91107,36.40816
8,60.802868,37.042137
8,55.32077,37.79863
9,61.76537,36.489334
7,61.90151,36.414402
3,61.239983,36.705242
9,61.921455,36.401165
0,60.126118,37.53117
0,54.49864,37.93498
3,60.19062,37.538628
3,61.913116,36.408714
4,61.923046,36.411804
7,61.92079,36.412907
9,61.826687,36.403748
7,61.91057,36.39259
8,61.922016,36.408947
3,61.61594,36.449623
1,61.9201,36.412125
8,52.045788,38.141205
9,61.91947,36.42292
8,61.92139,36.414436
2,49.853844,37.64708
8,61.911995,36.40167
3,61.912617,36.38769
2,61.92265,36.414066
9,50.126335,37.820057
1,51.973385,38.347275
5,61.914654,37.440258
9,49.445835,37.33323
5,61.987843,37.6614
7,60.380505,37.514473
2,59.77915,37.575535
5,61.21221,37.4763
6,61.977356,37.66442
9,61.989483,37.68171
2,61.99011,37.683617
9,50.146408,38.016193
6,61.995136,37.64959
7,54.315872,38.05736
2,61.988132,37.677757
6,61.990566,37.680595
1,61.663532,37.368958
6,60.06828,37.615753
7,61.98824,37.687252
8,52.03016,38.35146
5,61.987274,37.692688
4,61.9911,37.68309
9,55.378784,37.8838
6,61.98952,37.686924
1,60.57551,37.650932
0,61.989365,37.67258
1,55.513035,37.820766
0,51.812153,38.278675
0,61.9908,37.67581
7,61.98882,37.689247
6,61.984524,37.65373
1,61.986332,37.67098
2,61.95611,37.70515
9,49.72202,37.94973
4,61.774075,38.58447
8,60.170994,37.676514
1,55.005775,38.07358
9,54.94986,38.091087
3,61.77458,38.583153
9,61.41805,37.66915
8,61.761566,38.58699
6,61.152233,38.073017
0,60.7806,37.81754
6,61.777714,38.5662
5,61.774067,38.584534
0,60.81122,37.80289
9,60.822277,37.877518
8,50.328957,38.27286
3,61.774014,38.57702
3,61.776806,38.574104
7,61.761772,38.578255
8,53.990585,38.1657
0,49.687737,37.936787
4,61.77318,38.58431
4,61.77039,38.57769
7,61.774513,38.584023
3,61.77482,38.583504
2,61.76127,38.57861
0,54.5182,38.17518
1,60.301304,37.689014
6,61.779385,38.575115
1,61.17987,38.17093
5,61.522507,38.448475
0,61.240093,38.25204
4,61.77837,38.574245
0,57.99283,41.47795
8,57.383442,40.90824
0,51.513878,38.738823
0,54.62171,38.31617
9,57.995388,41.4815
2,58.005264,41.45385
1,49.299587,37.626713
9,51.774357,38.78822
4,57.995342,41.489235
6,57.995094,41.49007
6,57.99521,41.48954
9,57.89016,41.40476
2,57.995255,41.489624
9,57.995384,41.487255
7,57.88749,41.29252
3,57.995842,41.48607
2,57.99549,41.488945
4,57.994884,41.489155
4,57.99105,41.48395
5,54.273872,38.436264
0,57.263798,40.585037
4,51.554554,38.724953
9,57.873478,41.233948
9,57.392323,40.859676
4,57.99404,41.488853
9,57.978764,41.477158
8,49.849957,38.32147
2,57.995514,41.48909
6,57.995106,41.488785
7,57.989487,41.483276
5,57.96253,41.40834
2,57.99658,41.47996
1,57.718582,42.745735
1,49.83269,38.613926
5,51.63497,38.981167
7,49.509304,38.359184
1,57.651173,42.042904
5,57.721035,42.71412
8,57.71992,42.736996
2,57.71677,42.747513
1,57.718876,42.74536
3,57.720325,42.74418
9,57.582706,41.763386
3,57.715965,42.735043
4,57.716812,42.74738
7,57.71592,42.74653
0,57.720257,42.74337
5,57.718704,42.718952
3,51.675415,39.025467
9,57.717896,42.746273
1,57.719093,42.743378
1,57.70784,42.685623
7,57.60206,41.845997
1,57.719418,42.71867
6,57.716934,42.747116
3,57.62753,41.749733
7,57.721264,42.74275
8,50.627995,38.85982
5,57.38254,41.561123
6,57.719555,42.74447
2,57.716736,42.747433
8,49.35652,38.245316
3,57.718555,42.742176
1,57.70789,42.62945
4,54.85599,44.336075
0,49.168465,38.128506
4,54.85327,44.337902
5,54.885925,44.248375
9,51.27997,39.17094
4,54.852894,44.338203
6,54.853634,44.33784
9,53.61271,39.151733
0,51.156937,39.114353
2,54.85413,44.337387
5,54.857273,44.33496
2,53.947098,38.972332
6,54.853394,44.338245
4,54.85296,44.338192
6,55.35768,43.548504
3,54.937378,42.826004
1,54.855038,44.337017
3,54.855118,44.336914
0,49.436146,38.614
2,54.852795,44.338276
9,54.857704,44.327282
5,54.853725,44.336357
5,55.1269,42.88697
9,55.31953,43.29497
6,54.85765,44.334637
8,56.47049,40.703346
8,55.033413,44.052753
4,54.853626,44.33787
7,55.52147,43.129295
8,54.854664,44.3208
9,54.85804,44.326645
5,54.876263,44.30517
7,50.804607,39.38429
8,53.03023,39.52171
6,51.769943,44.950493
9,51.771347,44.948914
2,51.775124,44.947132
3,51.76944,44.949024
5,51.769707,44.95079
6,51.770065,44.95037
3,51.344364,39.224754
9,49.64565,39.187206
3,51.769596,44.950863
0,51.769024,44.950836
3,51.782745,44.939217
2,51.8033,44.925777
0,51.53389,39.189068
6,51.769012,44.950325
4,51.76891,44.950897
7,51.77747,44.948593
6,51.76954,44.95091
5,51.769817,44.950794
4,54.657234,43.319324
2,49.077072,38.34227
1,51.77003,44.949455
8,54.652515,43.189816
7,51.768925,44.9508
7,51.76889,44.95091
2,51.77036,44.950645
8,49.216614,38.858566
3,51.76897,44.945328
8,51.773693,44.948635
9,51.76909,44.950863
2,51.76779,44.94829
7,47.856293,44.883827
8,50.60496,39.5426
7,47.671257,44.92123
2,47.964584,44.85568
3,47.672295,44.92114
1,47.73494,44.91531
1,47.674973,44.92079
1,47.674633,44.92034
2,53.270992,39.93909
1,49.08248,38.924553
1,47.67859,44.920708
2,47.66996,44.921326
5,47.67308,44.921085
4,47.6721,44.921177
3,48.89746,44.29747
0,48.92465,44.325443
4,47.677174,44.92078
2,47.676933,44.920837
6,49.30568,38.94945
7,50.788345,39.32337
1,49.341106,44.559483
8,49.252335,44.55763
