,0,1
7,-22.909594,-36.278336
3,4.1547456,3.1191053
0,-17.052763,-28.610619
4,7.3817344,-20.111546
9,20.919588,26.266638
0,17.977472,-5.898544
9,34.69797,38.412064
4,9.0278635,-34.335777
6,-16.22706,21.37861
1,37.40773,7.4007635
2,-0.02550594,18.534317
2,-0.26547033,-1.8494917
5,-11.306454,0.66937345
8,11.301528,18.78659
1,49.946075,-0.7266531
9,24.510044,32.740185
7,-18.27343,-25.059626
0,5.3444314,7.188384
7,2.6237345,-50.26026
0,36.419033,-14.9019165
6,-20.227953,33.761467
6,-13.09752,26.268536
2,-8.860072,-11.559785
5,-44.567513,-21.909967
5,-32.41407,-11.430102
0,32.563015,-25.781435
2,5.115029,-4.5644007
5,-21.377316,-15.167797
8,7.967978,17.92339
3,-42.67576,21.644981
3,-38.82202,22.079494
3,-33.36358,14.532981
8,3.6591089,6.4564805
7,-22.317959,-32.50134
9,22.120209,33.641876
9,26.533398,40.638115
3,-35.698734,8.282914
3,-32.597,4.3092937
4,-18.806496,-5.9473934
0,10.390693,-2.6894953
8,15.748927,21.659458
1,39.562424,15.912694
7,-8.117455,-34.98879
0,37.021175,-22.046005
7,-22.039843,-48.622543
0,25.121601,-31.116398
4,6.046575,-39.17772
4,2.4815052,-46.02345
7,-21.539827,-34.456123
8,-0.7344827,19.520279
9,27.038406,44.315624
5,-47.303864,-11.830625
5,-45.218094,-13.929568
3,20.917849,-10.996467
1,42.463665,10.417788
5,-43.13013,-10.740577
2,-8.263974,-7.27948
7,-11.035464,-42.39033
0,20.36838,-2.3810604
9,14.5894,29.73892
5,-36.724922,2.9566576
9,26.945705,45.178055
7,-25.43647,-33.03088
3,-45.493355,17.664267
0,29.118984,-15.611268
1,-21.35847,-29.193886
5,-39.547554,-3.1878824
5,-27.584463,-14.444986
3,-27.498966,-17.9232
9,22.515741,25.24648
6,-5.2407837,19.265484
9,23.807865,24.309843
1,45.071087,6.3258452
2,-10.851914,-14.652078
7,-17.094616,-49.454563
9,28.925404,44.7236
6,-10.834418,22.007072
1,34.759933,1.4242227
0,31.447918,-18.032375
6,-22.472254,35.88125
2,14.542959,-2.4814446
6,-17.280474,24.348545
5,-37.68048,-13.897201
6,-12.450466,19.735012
9,20.220186,5.080015
8,17.813066,14.668003
6,-6.546955,17.781923
5,-41.905506,-13.685512
5,-33.785873,-2.1237133
6,-15.858572,41.593643
6,-18.512007,38.023647
6,-8.810489,13.565917
1,33.51625,24.059252
3,-24.396067,-8.646316
7,-26.129503,-33.97447
0,37.02086,-24.173096
7,-28.592768,-24.379803
6,-21.491371,26.350725
0,29.08813,-17.54703
6,-13.762732,24.725426
5,-33.00481,-6.991324
0,30.765715,-21.465668
