,0,1
0,56.83311,-29.63754
8,56.83194,-29.637157
0,56.832767,-29.637447
3,56.833107,-29.63754
2,56.831776,-29.637075
5,56.832703,-29.637394
7,56.83288,-29.63746
3,56.83192,-29.63709
3,56.833073,-29.637527
6,56.83201,-29.637182
7,56.832504,-29.637316
2,56.833527,-29.637678
2,56.83254,-29.637331
0,56.833282,-29.637583
8,56.833252,-29.637573
8,56.833378,-29.637619
8,56.832745,-29.637438
4,56.832417,-29.637287
6,56.832367,-29.637312
1,56.832832,-29.637445
0,56.83357,-29.637697
2,56.833576,-29.637756
7,56.832714,-29.637415
9,56.83337,-29.637625
9,56.83353,-29.637672
4,56.833046,-29.637514
8,56.833252,-29.637589
1,56.832848,-29.63746
9,56.833447,-29.637651
1,56.832863,-29.637468
3,56.832447,-29.637321
5,56.83313,-29.63755
2,-58.132088,31.954603
6,-58.12466,31.969902
0,-58.09493,32.040165
9,-58.1169,31.989897
2,-58.151363,31.942436
3,-58.138294,31.96165
8,-58.099136,32.031273
2,-58.131496,31.957153
2,-58.13263,31.965755
5,-58.11539,31.991444
9,-58.127937,31.963676
9,-58.114838,31.994333
4,-58.12194,31.976633
9,-58.12015,31.984081
9,-58.12012,31.983221
6,-58.125748,31.969011
4,-58.128117,31.963428
0,-58.12275,31.975182
1,-58.11934,31.984003
9,-58.095066,32.043686
6,-58.123505,31.974472
1,-58.094902,32.03918
2,-58.130356,31.959755
8,-58.115757,31.990406
3,-58.122387,31.97804
9,-58.123222,31.978327
5,-58.094,32.04131
2,-58.11927,31.981636
1,-58.124386,31.970854
7,-58.105743,32.013874
4,-58.133556,31.951635
7,-58.122776,31.976917
7,-63.685078,23.292866
1,-63.600986,23.739481
1,-63.957703,21.778778
3,-63.581524,23.831991
1,-63.912197,21.955664
9,-63.76008,23.21106
0,-63.950638,21.733654
3,-64.86972,19.096258
4,-63.635303,23.73138
6,-63.63729,23.74129
4,-63.961338,21.817116
8,-63.959854,21.76482
1,-63.96153,21.746958
8,-64.86727,19.099571
6,-63.58066,23.789766
3,-63.60554,23.820593
7,-63.60184,23.811417
1,-63.763977,23.093729
9,-63.910233,21.903057
0,-63.908737,21.966297
5,-64.866516,19.07328
2,-63.75208,23.195974
9,-63.68335,23.406525
0,-63.933075,21.823336
5,-63.72613,23.269272
6,-63.620438,23.759325
8,-64.8696,19.069698
8,-63.747402,23.141079
8,-63.608753,23.616425
7,-63.775166,22.827486
2,-63.679306,23.552315
3,-63.982754,21.725084
9,-64.668816,19.16736
7,-65.24154,19.537683
4,-66.645294,20.191355
1,-66.57719,20.139502
5,-64.932014,19.32763
9,-65.4958,19.702436
5,-65.209076,19.549166
8,-66.41172,20.057816
5,-66.62246,20.165937
3,-66.545906,20.10311
5,-66.23085,19.985167
4,-66.005,19.905035
8,-64.835686,19.251371
4,-66.6616,20.205364
5,-65.6396,19.751316
3,-66.57429,20.135038
6,-66.50327,20.094618
2,-66.647835,20.19893
7,-66.590546,20.16458
1,-64.661545,19.15178
6,-66.27637,20.001602
0,-66.48251,20.093794
7,-64.72169,19.179512
6,-64.35116,19.054235
0,-64.91508,19.278456
5,-64.86782,19.272964
7,-64.815125,19.229593
7,-65.548454,19.715631
4,-66.65937,20.192863
3,-66.2876,20.029562
8,-66.57864,20.164215
7,-66.32617,20.03059
6,-65.279015,20.48245
9,-65.72773,20.652437
7,-65.16303,20.431551
0,-66.26255,20.918571
3,-65.26847,20.5171
4,-65.07873,20.281725
5,-66.73243,21.188389
3,-65.20801,20.468935
2,-66.760635,21.233212
3,-64.198975,19.369576
9,-64.39009,19.64231
6,-66.71028,21.173878
4,-66.699455,21.16361
1,-66.61528,21.136265
2,-66.76077,21.20977
3,-65.9522,20.803421
1,-63.810776,19.094488
7,-64.16135,19.345264
0,-63.966415,19.15937
8,-66.75061,21.208364
2,-66.03891,20.809563
6,-66.749725,21.21512
0,-66.70689,21.172606
5,-66.288795,20.956526
8,-64.398636,19.661737
5,-66.05112,20.751076
6,-65.2468,20.494137
7,-66.71646,21.162226
2,-66.572205,21.100199
9,-64.48239,19.779894
6,-66.59831,21.093931
8,-64.30433,19.46446
9,-65.84804,23.296652
2,-64.70287,20.467514
9,-65.854706,23.215858
9,-64.375305,20.210407
9,-63.72372,19.161327
1,-65.71997,22.638075
0,-65.9285,23.247269
7,-65.86336,23.220318
7,-65.852745,23.312004
8,-65.86892,23.247698
3,-65.85236,22.85597
1,-65.77785,23.123178
2,-64.88716,20.688288
4,-65.24898,20.703821
9,-65.767845,23.04704
0,-63.69761,19.09723
2,-65.96028,23.192404
1,-65.87694,22.829834
3,-65.82428,22.997183
4,-65.9086,23.267956
1,-64.83901,20.518774
2,-65.92992,23.043255
9,-63.718594,19.173237
1,-65.818825,23.274166
4,-65.85424,23.219112
6,-65.9443,23.142656
7,-65.87914,22.848652
6,-65.8673,22.969778
0,-65.90824,23.16291
6,-64.169136,19.713085
1,-65.704384,22.864445
5,-64.1154,19.585224
6,-65.11111,23.971897
9,-65.199905,23.042469
9,-64.01021,20.323551
8,-65.03226,23.231232
8,-64.98149,24.084394
4,-64.80964,24.25887
7,-65.01749,23.17287
1,-64.99335,24.067368
7,-65.23428,23.769318
2,-64.737885,24.309435
2,-65.22564,23.79876
8,-64.69921,21.540113
1,-64.462654,20.691637
6,-63.596516,19.213991
0,-63.619347,19.306004
3,-64.58015,24.478708
3,-64.111786,20.435312
3,-63.975502,19.92629
0,-65.39917,23.551704
3,-64.202286,20.479233
8,-64.87711,24.181074
1,-65.08705,23.991573
8,-64.93425,23.11673
8,-63.98015,20.31038
0,-64.93529,24.119122
2,-64.59158,24.473953
6,-64.4071,20.751852
3,-65.13966,23.58474
0,-65.03813,22.837769
4,-65.1288,23.932014
2,-65.49316,23.40377
6,-65.07226,24.007114
9,-63.53656,25.50475
2,-63.53254,25.508183
0,-63.909492,24.75351
8,-63.354908,20.937344
4,-63.634693,25.376
2,-63.82771,25.116701
1,-63.5542,25.477959
0,-63.583603,25.441494
5,-63.838314,25.08035
3,-63.72684,25.229855
9,-63.747467,25.203966
8,-63.664604,25.30861
5,-63.677917,25.29656
4,-63.436867,25.62135
4,-63.355656,19.524738
9,-63.472126,20.569572
9,-64.0553,22.671349
1,-63.878178,24.934082
0,-63.881668,25.045652
5,-63.6911,25.268883
2,-63.835594,25.100061
1,-63.374233,19.89665
3,-63.673294,25.324217
7,-64.03992,22.638168
1,-64.15193,22.263586
9,-63.563873,25.464817
1,-63.600746,25.41426
2,-63.722164,25.260674
7,-63.655678,25.310873
0,-63.329777,19.708422
7,-63.32513,19.774782
6,-63.556553,25.478336
0,-62.430622,20.56397
8,-61.111187,27.918901
3,-60.392117,27.953491
0,-60.991875,27.899113
8,-62.703,20.177385
0,-62.448036,20.600798
2,-60.188606,27.91383
2,-60.229904,27.9307
1,-62.29659,20.67883
1,-60.863422,27.962929
8,-60.351013,27.949352
5,-60.76033,27.979668
8,-60.565628,27.865515
0,-61.145836,27.91349
4,-60.782906,27.968195
6,-60.31693,27.940174
6,-60.7755,27.975235
1,-62.907,19.736853
3,-59.859352,27.656452
3,-60.9932,27.956287
6,-60.76861,27.975483
8,-60.991985,27.953535
8,-60.96881,27.93336
0,-61.191647,27.87048
3,-63.598495,25.333841
8,-61.28673,27.849638
1,-62.17468,20.83877
5,-60.816616,27.974749
4,-60.543045,27.972103
4,-60.39722,27.96015
2,-62.328823,20.67291
3,-60.76455,27.976603
8,-61.95039,20.855186
9,-60.353592,27.925169
8,-60.60912,27.973087
8,-61.129635,27.900522
7,-60.55951,27.964073
6,-59.905148,27.693478
3,-62.154003,20.646639
4,-60.715374,27.971788
6,-60.278004,27.923397
7,-60.878544,27.976826
1,-60.042503,27.804792
2,-60.144936,27.880482
4,-60.253372,27.910002
8,-60.592506,27.867752
9,-62.01784,20.779696
2,-60.577667,27.971512
1,-60.338024,27.937744
9,-62.26686,20.646826
4,-59.936493,27.78375
4,-60.249687,27.917706
6,-60.244373,27.913656
7,-60.332767,27.936903
7,-61.83147,20.948637
1,-62.44369,19.942965
3,-60.36039,27.918907
4,-61.778496,21.089832
9,-60.226906,27.7549
8,-61.76872,21.097406
6,-60.798958,27.97572
9,-60.21151,27.899654
5,-61.047436,27.936956
8,-62.262604,20.553316
4,-58.465023,26.912498
9,-58.45915,26.912102
5,-58.402905,26.861649
9,-58.44689,26.897356
3,-58.505398,25.134312
7,-58.42787,26.888048
4,-59.46471,27.523046
