,0,1
8,46.530933,-14.592109
0,48.076424,9.472396
5,-35.89977,-7.942902
1,7.63766,-42.92252
2,-9.269057,13.44755
6,-32.37756,22.021992
2,15.758772,14.478509
0,33.85512,13.811764
5,-38.054295,5.7925067
0,13.207478,-2.795931
2,-3.4975674,1.4212645
3,-17.160992,-2.1152804
8,38.21573,-14.750048
5,-49.40755,0.39139983
4,10.343075,47.54011
2,-2.6047626,15.092263
4,4.80478,51.027687
1,16.540932,-45.59984
7,25.662897,33.23058
1,-8.286558,-44.95405
9,-23.825306,-46.323742
2,6.862732,10.309688
6,-2.7130837,31.845402
9,-13.6713505,-42.152256
6,-39.779026,25.378553
2,-5.7285576,21.376219
4,3.1261153,43.271618
5,-35.026047,-8.631602
8,10.857216,-24.11872
1,7.2619553,-39.985016
2,0.4407052,13.083541
6,-44.673042,31.274822
3,-35.00934,-17.87817
1,19.991121,-46.847137
3,28.71891,22.295397
3,-24.497728,-21.913263
6,-32.417168,10.421626
5,-34.811474,0.7165539
3,10.796254,-9.854171
5,-41.413853,-4.953229
8,35.29536,-16.825249
6,-47.996883,25.288452
1,17.162323,-55.411457
4,-1.6615618,41.947754
0,27.690893,12.375923
8,43.037846,-22.20255
8,41.28094,-30.238308
3,-31.83924,-16.996052
2,5.3759,-4.121522
9,2.4243093,-28.96917
8,19.207586,-28.974762
8,18.075407,-25.535692
8,13.087411,-2.8526862
3,-35.944885,-14.62514
4,3.319327,32.908295
4,-8.509527,33.87765
5,-31.521124,-2.2534335
3,-3.9037108,-20.933128
2,10.362279,2.68079
4,4.0295553,52.842136
5,-33.021526,-4.179309
8,16.159054,-15.559339
3,-19.09918,12.086904
0,43.559456,18.26487
0,41.526276,-0.38662556
2,-14.998806,3.3090904
6,-22.38438,32.61093
0,22.374245,13.962723
8,37.88062,-12.564611
0,-10.9743395,-4.9098325
6,-34.75682,14.194096
9,-13.670467,-28.161362
2,-7.242268,17.524855
1,21.307495,-44.93698
8,23.832397,-12.923312
4,-5.3064055,31.503874
7,16.311419,37.590317
2,6.463531,15.034043
2,-17.132305,10.315995
9,-10.71224,-31.89334
7,30.576897,44.460827
9,-15.213252,-44.42016
3,-28.42141,-25.00213
4,-3.5403562,50.147495
5,-34.458313,-27.391987
1,13.983618,-31.303722
9,-1.5470217,-27.185326
0,0.5164066,33.133038
1,9.277513,-37.440548
1,12.152803,-24.34394
7,14.610673,37.878082
2,-4.094046,5.3807335
5,-33.869556,-10.598818
6,-34.866917,27.440115
1,15.363159,-45.98449
1,14.40705,-47.67172
3,-10.6501665,-18.522427
0,44.23193,14.907819
0,10.383436,-21.28148
8,45.697647,-14.648666
7,17.539454,39.354763
1,27.05644,-44.39456
7,37.318886,39.539963
0,30.582594,16.508438
4,-3.9745548,36.290493
5,-29.784262,-0.20106311
0,42.557644,-1.2420018
9,-17.702368,-37.570484
6,-48.26154,25.76786
0,16.434074,-28.834385
3,-17.033716,-13.604569
5,-18.467825,3.7402914
1,15.80758,-50.59183
1,-35.601868,30.483364
4,1.6508281,51.26053
9,-5.109549,-26.11313
5,-43.46846,-5.323562
1,19.678598,-46.47348
2,-0.11683944,0.92623633
8,22.977448,-15.911279
6,-41.014606,20.622921
2,2.875376,11.186357
4,-2.360433,45.54625
6,17.666193,-5.204311
0,21.961163,-6.574464
6,-29.456945,35.92684
4,-17.170038,41.152565
7,22.81071,30.505053
3,-15.076932,-5.5040917
2,2.4958289,5.9979997
1,11.163938,-56.31562
4,-4.6204786,37.64408
4,-4.1238766,52.415703
9,-0.96574605,-31.635029
6,-43.27953,31.526752
3,-14.69047,-4.9076247
4,6.628094,51.114822
3,17.664707,13.290992
8,40.14607,-24.621037
9,5.190674,-18.555788
7,22.982897,29.645546
7,20.642738,21.523855
8,27.904467,-26.231081
3,12.44384,-11.308425
7,10.6190605,26.531807
3,-27.756323,-20.519545
4,-5.8858438,35.43824
0,30.125498,2.1565666
1,29.210709,-42.782253
9,-1.5512336,-30.417433
2,0.21189809,11.7818985
7,32.30975,35.153393
0,22.246239,-0.16352446
4,-14.954603,38.249157
1,20.699797,-37.343723
7,4.693824,-8.604005
6,-32.281963,11.523157
7,30.427052,34.70906
8,40.160275,-8.156215
5,-43.748302,-4.84062
0,44.398335,1.4153634
0,24.635712,9.944355
5,-28.90962,5.4130154
6,-30.853971,28.85875
4,-3.4612138,27.261724
5,-40.064766,-7.035679
9,-22.882582,-43.8702
6,-24.499405,27.175299
7,-41.935337,0.14573723
7,-21.299149,40.237064
3,-18.550198,-3.3208804
0,37.382824,6.203175
8,49.289062,-24.655663
0,43.56998,10.182423
8,17.51121,-15.518674
8,28.327154,-13.154348
2,-15.16701,9.733423
8,-9.027325,-32.29563
4,-11.10628,27.130512
3,14.464412,-18.214485
5,-25.22534,7.3706584
1,15.788836,-52.858673
2,3.9594295,17.659933
2,15.964103,0.67958397
3,-32.11102,-29.649887
3,-16.895443,39.539795
2,1.9447963,6.077212
7,-32.305695,2.6143658
7,37.41137,36.053234
9,-23.152128,-47.61297
1,2.4503765,-52.226254
0,24.26738,11.440852
7,23.734108,25.503294
3,-25.532913,-16.94458
3,-19.766066,-26.213875
1,11.891426,-45.146034
7,24.949566,34.59401
2,0.226572,1.0267838
2,-3.683686,20.468422
7,31.855925,43.27624
0,31.758698,0.18117532
8,38.2331,-9.927485
5,-22.007887,17.85179
8,47.243153,-24.25209
1,25.254303,-44.73261
6,-38.28326,18.965744
8,38.299347,-11.189699
2,-7.126719,3.6515594
2,11.365295,0.52317417
6,-30.173937,35.738823
