,0,1
1,-19.410803,-58.45574
5,-19.431408,-58.33551
8,-19.423765,-58.38556
1,-19.425571,-58.37471
0,-19.434603,-58.313168
3,-19.399157,-58.519833
0,-19.43214,-58.331486
4,-19.4316,-58.335762
4,-19.404434,-58.51339
3,-19.421453,-58.401493
7,-19.432798,-58.326283
9,-19.407211,-58.477287
0,-19.42889,-58.35293
1,-19.435764,-58.306057
0,-19.405972,-58.491844
0,-19.416681,-58.419964
9,-19.403036,-58.501926
3,-19.408398,-58.469147
9,-19.419052,-58.411148
4,-19.400486,-58.50857
0,-19.40666,-58.469166
3,-19.405416,-58.482655
8,-19.401201,-58.489624
6,-19.40667,-58.48117
5,-19.402039,-58.49635
0,-19.404007,-58.485367
7,-19.411695,-58.453682
3,-19.421648,-58.39575
1,-19.421442,-58.399075
4,-19.402142,-58.517715
5,-19.401924,-58.502056
0,-19.411364,-58.454624
2,-19.289408,-53.37996
7,-19.289518,-53.38925
9,-19.288553,-53.29892
1,-19.289284,-53.36533
8,-19.284678,-52.988735
0,-19.28963,-53.401447
9,-19.289387,-53.38027
3,-19.289192,-53.357025
1,-19.289505,-53.43152
9,-19.289608,-53.409153
7,-19.28961,-53.43081
2,-19.289547,-53.416344
4,-19.288664,-53.474632
5,-19.289541,-53.397007
2,-19.289448,-53.4485
6,-19.289541,-53.41262
9,-19.283678,-53.019276
7,-19.289555,-53.41927
0,-19.289562,-53.405132
2,-19.283728,-53.021183
5,-19.28484,-53.025665
1,-19.288862,-53.326984
1,-19.289206,-53.36309
4,-19.289383,-53.45293
7,-19.289558,-53.420452
5,-19.28945,-53.385696
9,-19.28888,-53.32392
1,-19.289522,-53.405327
3,-19.289404,-53.44968
1,-19.289427,-53.38338
7,-19.289532,-53.395348
0,-19.289026,-53.333847
9,58.23306,9.681975
2,57.49412,8.685519
3,58.032753,9.420928
6,58.19653,9.6324215
1,58.152397,9.579468
7,57.76561,9.057869
0,57.597664,8.834351
5,58.23873,9.696632
0,57.501686,8.692864
1,57.61552,8.855807
5,58.084797,9.4915495
3,58.079525,9.479726
0,57.45943,8.641195
2,57.8967,9.246005
1,57.75044,9.045532
3,57.585087,8.815481
6,58.252575,9.712825
4,57.633568,8.874241
6,58.318714,9.791848
3,58.38588,9.876133
0,58.06442,9.457767
3,57.60456,8.841814
0,57.62626,8.872706
0,57.67655,8.93938
6,57.66866,8.924341
9,57.803986,9.110153
8,57.608574,8.854062
1,57.634224,8.877524
4,57.49662,8.69297
1,57.788704,9.089998
2,58.14328,9.568952
9,58.14451,9.569149
0,59.990086,11.544532
0,59.645805,11.407913
0,59.717533,11.42888
3,60.044407,11.5716
5,60.040504,11.568714
5,59.703297,11.421683
9,60.005188,11.55303
3,59.94153,11.5254965
2,59.901936,11.508766
2,59.868374,11.49086
3,59.879772,11.49858
1,60.03501,11.566682
3,59.940376,11.522739
3,59.827652,11.476883
5,59.845036,11.482257
4,60.068493,11.578977
7,59.790012,11.456735
6,59.794384,11.453997
8,59.79241,11.455659
2,59.816154,11.4691305
7,59.790966,11.452942
0,60.033344,11.566124
1,60.019077,11.5608015
4,59.984707,11.545751
2,60.06074,11.575882
2,60.032005,11.565659
6,60.00298,11.554827
5,60.023056,11.560562
3,60.01079,11.555256
6,59.822132,11.469536
8,59.79099,11.4570055
1,60.024136,11.560789
9,67.3049,4.4142385
3,67.69932,3.9187899
5,66.75462,5.1741834
9,67.30542,4.4080167
1,67.39004,4.3137016
7,67.697395,3.9223874
7,67.669044,3.9633183
1,67.63007,4.0030303
5,67.65945,3.9721143
6,66.849556,5.0407095
7,67.625725,4.017051
2,67.811935,3.804099
3,67.46977,4.210781
2,67.75515,3.8597865
0,67.42006,4.2844977
7,67.690834,3.9322233
8,67.32615,4.3813524
9,67.613716,4.037902
9,67.254616,4.487647
5,67.639984,4.0003357
5,67.40787,4.296302
9,67.553276,4.113583
1,66.89824,4.9492774
7,67.42211,4.273053
7,67.66128,3.9724226
4,67.6783,3.9514008
8,66.76637,5.1594763
7,67.64382,3.989534
9,67.20732,4.5503917
7,67.69109,3.9303164
0,67.20316,4.5268583
3,67.504364,4.1823487
7,64.75299,4.5445337
8,64.91664,4.655375
7,65.82684,5.609342
8,65.846985,5.6018043
6,65.30984,5.100053
8,65.00843,4.781125
6,65.29549,5.1342616
5,64.88611,4.6764746
7,65.144226,4.8819003
6,64.60206,4.49571
2,64.84648,4.6161027
8,64.67817,4.519858
9,64.83176,4.61807
5,64.68781,4.5791483
0,65.40266,5.3064613
8,64.74365,4.5477405
3,65.3953,5.16063
4,64.86641,4.638254
5,65.23807,4.964375
1,65.2707,4.9977984
5,65.96557,6.42787
5,65.075226,4.8030496
4,65.06368,4.811793
6,65.903656,5.626765
7,64.98608,4.7467756
3,65.973816,6.430284
9,64.996254,4.752729
7,64.916695,4.663874
5,64.5523,4.506872
1,65.20372,4.9279833
4,64.690125,4.5267534
7,65.60801,5.4707537
6,63.299137,4.6500063
9,63.21434,4.586545
9,63.78843,4.7298493
3,65.75846,7.0423675
4,65.71855,6.908948
4,63.20481,4.575854
0,63.089676,4.534728
9,65.79976,7.138105
6,63.286694,4.5972743
6,65.46878,5.561561
9,63.21723,4.6006546
0,63.262638,4.5988984
6,65.53506,5.7005005
9,65.57166,5.750735
3,63.22137,4.600643
1,63.24441,4.6129727
2,63.273952,4.6075134
0,63.292225,4.6008177
2,63.35179,4.6400404
7,65.73679,6.7864814
1,63.168983,4.591266
4,65.74452,6.809075
4,63.504555,4.7189255
4,65.49548,5.6233582
7,64.80276,5.0290456
7,63.20888,4.5633993
2,63.185833,4.572747
5,63.192463,4.5710697
0,63.184967,4.586175
9,65.051865,5.1445036
4,63.142303,4.5736012
0,63.162365,4.56127
4,60.479443,3.665725
4,65.60778,7.1188145
1,65.61361,7.302022
8,60.38266,3.620555
1,60.311016,3.5841558
2,60.32645,3.5923085
2,60.31449,3.5862784
0,62.885128,4.8237576
3,60.377678,3.6182475
0,60.322517,3.5903437
2,60.735817,3.7826731
9,60.40743,3.6320014
0,65.362076,5.7296066
4,60.341297,3.5998223
6,63.074245,4.8977222
1,60.35586,3.6069279
9,60.351128,3.6051362
