,0,1
2,17.05384,-55.467957
0,17.053942,-55.468002
4,17.05384,-55.467957
3,17.05384,-55.467957
4,17.05384,-55.467957
6,17.05384,-55.467957
3,17.05384,-55.467957
5,17.05384,-55.467957
4,17.05384,-55.467957
5,17.05384,-55.467957
8,17.05384,-55.467957
5,17.05384,-55.467957
1,17.05384,-55.467957
2,17.05384,-55.467957
8,17.05384,-55.467957
9,17.05384,-55.467957
2,17.05384,-55.467957
5,17.05384,-55.467957
4,17.05384,-55.467957
9,17.053818,-55.467953
7,17.05384,-55.467957
1,17.05384,-55.467957
7,17.05384,-55.467957
4,17.05384,-55.467957
0,17.05384,-55.467957
2,17.05384,-55.467957
5,17.05384,-55.467957
8,17.05384,-55.467957
9,17.053818,-55.467953
5,17.05384,-55.467957
1,17.053818,-55.467953
8,17.05384,-55.467957
6,17.341309,-55.215225
5,17.341309,-55.215225
9,17.341309,-55.215225
8,17.341309,-55.215225
6,17.341309,-55.215225
0,17.341309,-55.215225
6,17.341309,-55.215225
8,17.341309,-55.215225
6,17.341309,-55.215225
3,17.341309,-55.215225
9,17.341309,-55.215225
8,17.341309,-55.215225
0,17.341309,-55.215225
8,17.341309,-55.215225
1,17.341309,-55.215225
2,17.341309,-55.215225
9,17.341309,-55.215225
8,17.341309,-55.215225
6,17.341309,-55.215225
1,17.341309,-55.215225
9,17.341309,-55.215225
4,17.341309,-55.215225
1,17.341309,-55.215225
4,17.341309,-55.215225
0,17.341309,-55.215225
6,17.341309,-55.215225
8,17.341309,-55.215225
3,17.341309,-55.215225
5,17.341309,-55.215225
1,17.341309,-55.215225
6,17.341309,-55.215225
6,17.341309,-55.215225
7,18.28189,-54.3848
7,17.897331,-54.731384
8,17.897331,-54.731384
0,17.897331,-54.731384
7,17.897331,-54.731384
2,17.897331,-54.731384
6,17.897331,-54.731384
9,17.897331,-54.731384
7,17.897331,-54.731384
9,17.897331,-54.731384
1,17.897331,-54.731384
9,17.897331,-54.731384
8,17.897331,-54.731384
1,17.897331,-54.731384
1,17.897331,-54.731384
5,17.897331,-54.731384
1,17.897331,-54.731384
6,17.897331,-54.731384
0,17.897331,-54.731384
2,17.897331,-54.731384
4,17.897331,-54.731384
5,17.897331,-54.731384
4,17.897331,-54.731384
5,17.897331,-54.731384
4,17.897331,-54.731384
4,17.897331,-54.731384
4,17.897331,-54.731384
3,17.897331,-54.731384
9,18.28189,-54.3848
5,18.28189,-54.3848
3,18.28189,-54.3848
9,17.897331,-54.731384
4,18.877474,-53.890083
1,19.116772,-53.6613
6,18.877474,-53.890083
4,18.877474,-53.890083
5,18.877474,-53.890083
8,18.877474,-53.890083
8,18.877474,-53.890083
4,18.877474,-53.890083
0,18.877474,-53.890083
4,18.877474,-53.890083
6,18.877474,-53.890083
4,18.877474,-53.890083
8,18.877474,-53.890083
6,18.877474,-53.890083
6,18.877474,-53.890083
8,18.877474,-53.890083
0,18.877474,-53.890083
4,18.877474,-53.890083
6,18.877474,-53.890083
8,18.877474,-53.890083
3,18.877474,-53.890083
8,18.877474,-53.890083
5,18.877474,-53.890083
1,18.877474,-53.890083
8,18.877474,-53.890083
1,18.877474,-53.890083
2,18.877474,-53.890083
4,18.877474,-53.890083
5,19.116772,-53.6613
0,19.116772,-53.6613
7,19.116772,-53.6613
4,18.620745,-54.097637
2,19.75335,-53.172832
4,19.75335,-53.172832
3,19.75335,-53.172832
7,19.75335,-53.172832
1,19.75335,-53.172832
3,19.75335,-53.172832
8,19.75335,-53.172832
8,19.75335,-53.172832
6,19.75335,-53.172832
3,19.75335,-53.172832
0,19.75335,-53.172832
2,19.75335,-53.172832
1,19.75335,-53.172832
8,19.75335,-53.172832
5,19.75335,-53.172832
3,19.75335,-53.172832
8,19.75335,-53.172832
5,19.75335,-53.172832
0,20.007284,-52.95364
8,19.75335,-53.172832
9,19.75335,-53.172832
5,19.75335,-53.172832
3,19.75335,-53.172832
5,19.75335,-53.172832
3,19.75335,-53.172832
8,19.75335,-53.172832
4,19.75335,-53.172832
0,19.75335,-53.172832
0,20.007284,-52.95364
4,20.007284,-52.95364
5,20.007284,-52.95364
9,19.75335,-53.172832
7,20.632893,-52.5063
0,20.632893,-52.5063
4,20.632893,-52.5063
3,20.632893,-52.5063
7,20.632893,-52.5063
6,20.632893,-52.5063
4,20.632893,-52.5063
3,20.632893,-52.5063
1,20.632893,-52.5063
9,20.632893,-52.5063
6,20.632893,-52.5063
7,20.632893,-52.5063
8,20.632893,-52.5063
3,20.632893,-52.5063
5,20.632893,-52.5063
4,20.632893,-52.5063
9,20.632893,-52.5063
1,20.632893,-52.5063
6,20.632893,-52.5063
3,20.632893,-52.5063
6,20.632893,-52.5063
9,20.632893,-52.5063
9,20.632893,-52.5063
3,20.632893,-52.5063
2,20.632893,-52.5063
9,20.632893,-52.5063
4,20.632893,-52.5063
7,20.632893,-52.5063
7,20.632893,-52.5063
2,20.887358,-52.29689
2,20.887358,-52.29689
9,20.887358,-52.29689
0,21.276531,-52.036636
0,21.276531,-52.036636
6,21.557722,-51.873856
4,21.827507,-51.68397
0,21.557722,-51.873856
1,21.557722,-51.873856
5,21.557722,-51.873856
2,21.557722,-51.873856
4,21.557722,-51.873856
6,21.557722,-51.873856
7,21.557722,-51.873856
8,21.557722,-51.873856
4,21.557722,-51.873856
6,21.557722,-51.873856
8,21.557722,-51.873856
7,21.557722,-51.873856
9,21.557722,-51.873856
4,21.557722,-51.873856
0,21.557722,-51.873856
3,21.557722,-51.873856
7,21.557722,-51.873856
7,21.557722,-51.873856
2,21.557722,-51.873856
0,21.557722,-51.873856
1,21.557722,-51.873856
9,21.557722,-51.873856
2,21.557722,-51.873856
4,21.557722,-51.873856
1,21.827507,-51.68397
0,21.827507,-51.68397
2,21.827507,-51.68397
5,21.276531,-52.036636
8,22.553381,-51.25485
2,22.553381,-51.25485
0,22.553381,-51.25485
2,22.553381,-51.25485
1,22.553381,-51.25485
9,22.553381,-51.25485
0,22.553381,-51.25485
1,22.553381,-51.25485
0,22.553381,-51.25485
6,22.553381,-51.25485
4,22.553381,-51.25485
7,22.553381,-51.25485
1,22.553381,-51.25485
8,22.553381,-51.25485
8,22.553381,-51.25485
4,22.553381,-51.25485
3,22.553381,-51.25485
0,22.553381,-51.25485
1,22.553381,-51.25485
8,22.82251,-51.078075
1,22.553381,-51.25485
6,22.553381,-51.25485
8,22.553381,-51.25485
6,22.553381,-51.25485
8,22.553381,-51.25485
4,22.553381,-51.25485
2,22.553381,-51.25485
4,22.553381,-51.25485
1,22.82251,-51.078075
2,22.82251,-51.078075
5,22.82251,-51.078075
3,22.553381,-51.25485
8,23.471567,-50.728043
7,23.471567,-50.728043
9,23.471567,-50.728043
0,23.471567,-50.728043
6,23.471567,-50.728043
4,23.471567,-50.728043
8,23.471567,-50.728043
5,23.471567,-50.728043
3,23.471567,-50.728043
1,23.471567,-50.728043
5,23.471567,-50.728043
5,23.471567,-50.728043
3,23.471567,-50.728043
9,23.471567,-50.728043
6,23.471567,-50.728043
8,23.471567,-50.728043
0,23.471567,-50.728043
1,23.471567,-50.728043
