,0,1
9,73.25269,10.916935
5,73.25269,10.916944
8,73.25268,10.9169445
1,73.25265,10.916985
9,73.25269,10.91694
6,73.252655,10.916979
8,73.25265,10.917002
4,73.25271,10.916934
6,73.25228,10.917393
2,73.25261,10.917028
3,73.25261,10.917026
6,73.25265,10.9169855
8,73.25266,10.9169655
5,73.25255,10.917096
9,73.2527,10.916931
7,73.25269,10.916937
1,73.25269,10.916937
0,73.25267,10.91697
2,73.252686,10.91694
5,73.25257,10.917075
5,73.25264,10.916991
6,73.25268,10.916948
6,73.25243,10.917228
9,73.25266,10.916974
7,73.25262,10.917019
5,73.25249,10.917168
9,73.25269,10.916932
9,73.25268,10.9169445
4,73.25229,10.91738
1,73.25268,10.916966
8,73.25269,10.916944
7,73.25271,10.916933
1,22.719522,65.13857
6,17.898499,65.57535
0,22.507647,65.03175
5,23.162254,65.31158
4,17.914114,65.56537
6,22.546797,65.05725
0,22.582773,65.06881
5,22.535652,65.050896
0,17.593966,65.65665
2,22.300886,64.98527
6,22.866282,65.19734
7,21.682041,64.99756
2,23.25094,65.331696
2,23.356182,65.26351
2,22.055033,64.93079
4,17.574831,65.650635
2,23.070408,65.275215
0,17.779406,65.588905
2,22.520744,65.05114
1,16.369976,66.10657
1,22.511227,65.04752
1,22.35352,64.98473
4,22.640966,65.07922
2,22.94176,65.2506
7,23.05423,65.27387
2,21.882391,64.97118
3,23.060213,65.254074
4,22.514889,65.040634
0,22.457045,65.02406
0,23.251753,65.29954
8,22.029348,64.920555
8,22.581238,65.07778
4,18.144201,68.822525
2,15.971175,67.30996
2,12.018959,66.920166
4,18.436813,69.120384
4,17.8978,68.5728
3,18.513308,69.16319
6,18.543015,69.1243
7,16.722416,67.84368
0,17.17474,67.98459
0,13.560146,67.046875
2,21.729065,67.80721
1,17.938177,68.650116
9,16.617935,67.64245
0,18.51365,69.147514
4,16.00829,67.413376
5,14.439,66.952034
5,17.731295,68.4869
9,16.911469,67.84898
4,14.549312,66.929474
5,18.459127,69.0791
4,17.690483,68.22022
8,14.257709,66.93296
7,16.68821,67.74575
7,17.610899,68.3112
9,12.703435,66.978065
1,16.867462,67.76534
2,17.766468,68.47657
4,18.5255,69.135216
1,18.040176,68.77482
1,12.6405735,66.97552
4,18.539299,69.167114
4,18.661703,69.19953
6,17.719616,67.67135
7,17.743233,67.65506
1,19.007467,68.20954
8,18.57995,67.97948
5,15.597312,67.059166
9,15.171054,67.018166
6,14.144961,67.010414
5,17.71327,67.605515
3,17.169098,67.400505
0,11.090821,66.792114
1,13.60999,67.076515
8,12.046756,66.95582
8,18.346413,67.969986
2,13.600481,67.04346
9,18.872349,68.13752
9,13.877317,67.045
7,18.899088,68.1203
4,12.07749,66.96546
9,12.0817995,66.964165
8,13.767399,67.027084
3,13.632306,67.048515
8,15.3967085,67.037056
2,19.302616,68.274254
3,18.78167,68.12579
6,19.255621,68.29731
4,17.7332,67.630295
8,13.148602,67.0345
6,18.876759,68.13353
8,17.547949,67.49717
3,17.357386,67.4826
5,17.304007,67.52537
7,15.879347,67.10155
5,17.952301,67.60447
9,19.663715,68.50925
4,19.98457,68.61966
0,9.669356,66.47682
8,19.791252,68.54246
9,19.964148,68.61596
7,19.442095,68.35977
0,18.48198,67.65925
2,19.937122,68.60772
5,11.504949,66.83716
4,19.917229,68.60987
5,19.83328,68.57494
7,19.880898,68.5851
4,17.257153,67.25657
4,19.22871,68.06808
7,9.663223,66.47905
1,13.403066,66.98371
7,19.78938,68.56088
5,13.846721,66.94048
3,19.074242,68.10128
0,11.554386,66.84842
7,19.980585,68.611885
5,13.434932,66.98213
7,13.318932,66.98944
6,19.528097,68.44901
8,13.682034,66.96482
3,19.807394,68.52148
4,11.165382,66.776794
6,20.003845,68.61617
2,19.319967,68.34518
1,17.98231,67.599075
0,17.887796,67.24982
4,22.07784,67.43709
4,22.13707,67.43763
9,18.915136,66.76694
6,18.835964,66.773705
3,21.73614,67.37285
8,13.251835,66.97893
4,22.108105,67.42529
9,18.256632,66.80949
6,22.032438,67.42066
3,13.456394,66.971725
1,12.8966,66.9893
9,19.34714,66.80498
4,22.060867,67.41217
5,15.883579,66.808556
8,11.569496,66.85352
5,22.028194,67.40171
0,10.047971,66.52738
7,22.023712,67.3838
1,21.996538,67.39924
1,13.564128,66.948395
9,16.13146,66.6978
4,22.110626,67.43678
3,21.98891,67.39923
6,17.748613,66.87472
3,22.11392,67.43828
7,21.987062,67.373375
4,22.099604,67.41768
9,17.782593,66.83014
8,19.11177,66.78378
3,22.085228,67.41944
1,19.48129,66.804855
6,19.389294,66.76702
0,17.784101,66.74635
0,15.202706,66.75806
5,22.063862,67.30752
0,14.721017,66.7543
0,14.971975,66.75745
0,22.05265,67.29859
8,14.746251,66.77905
3,22.068104,67.310974
3,19.694378,66.52849
4,22.072744,67.32085
6,22.037312,67.28733
