,0,1
3,-17.239092,5.59627
1,18.966604,40.97984
5,-18.085981,24.462854
7,18.417212,-7.335039
4,24.881163,-27.50143
5,-2.6326149,-4.544262
7,33.0339,-9.460788
1,22.977318,42.187473
8,41.69297,18.593294
6,3.4933877,-42.421608
2,-7.0437346,-22.3595
7,31.887308,-12.4468155
4,26.215929,-45.570614
8,44.440823,12.693894
1,16.798166,38.434982
6,0.1821157,-59.09457
3,-30.432777,5.8559985
6,6.196363,-57.841244
4,9.609524,-13.296683
3,-36.24906,3.4029067
9,21.735037,27.487604
1,25.560953,47.874146
4,19.427572,-38.429905
7,57.73162,-10.200098
1,29.504333,46.364067
5,-15.397791,40.82517
3,-3.9964616,-3.3260963
9,12.283557,17.515707
5,-11.565732,10.8070965
4,26.331575,-43.231842
8,42.17901,12.100601
7,32.28216,-21.522982
5,-9.682308,28.569357
2,-2.1912487,-18.298237
5,-20.939234,52.96748
9,14.229086,18.775919
6,8.2046,-52.383415
9,9.425857,18.811625
3,-15.343428,5.6722045
7,32.14896,-12.312105
3,-18.179188,0.50009274
3,-36.54104,-3.9266007
1,3.4343371,40.22753
5,2.139592,-5.6815367
1,20.940104,41.346695
8,50.371716,21.90302
5,-6.889828,-15.437439
6,10.572639,-62.75258
6,3.2425518,-58.05799
9,17.094255,19.848616
6,8.752643,-45.412575
1,32.051094,37.595364
1,26.055637,48.516647
0,-36.021774,-22.046116
5,15.92061,-18.860565
5,-14.682179,41.991344
8,45.774734,23.155506
1,-10.631606,49.398884
1,-0.8555294,36.93719
6,11.596986,-43.85625
5,2.306732,-5.935186
1,-1.7274104,42.27109
6,3.4541094,-52.168053
0,-59.250374,-15.564907
8,39.134056,10.864162
9,21.582994,21.784822
6,7.8889914,-62.3553
5,-20.728031,53.257393
0,3.0323834,-0.8561221
2,-7.5180235,-17.059841
8,43.56132,12.840063
8,41.29672,15.13868
5,-11.26102,27.90442
5,-19.511816,19.506376
6,4.233902,-61.9311
0,-38.84208,-8.870785
0,-28.397718,-3.5562074
9,17.701939,27.351748
5,-30.81256,22.668165
0,-38.7716,-21.357582
4,9.17412,-51.67567
1,29.984118,43.82475
7,37.388554,-16.375298
8,38.81098,10.763504
7,19.510866,-5.8107667
0,-46.77925,-13.72166
2,-4.180852,-24.95453
7,34.559452,-8.959178
2,-21.693697,-41.311146
7,34.85331,-18.867882
4,17.017515,-30.458588
7,41.267376,-18.201117
0,-31.919737,-13.591928
1,4.3110666,47.302807
3,-19.85065,-2.15004
3,-18.272697,-2.9376185
2,-16.493755,-30.161469
0,-34.46411,-15.336796
9,0.24967122,21.419102
6,5.3909273,-37.11347
2,-24.155766,-40.102512
8,42.279556,14.718819
7,39.610016,-10.855861
0,-48.76054,-9.511796
8,39.447933,9.531461
3,-3.7960377,0.14055996
4,17.610943,-28.951975
1,31.297216,43.650448
0,-57.686184,-4.0246286
3,-15.148828,-2.1921685
5,-12.052954,13.803784
0,2.3014114,1.2117726
3,-12.86727,6.987441
1,21.17841,46.60674
1,21.132107,37.95129
2,-8.156756,-24.499685
0,-46.463596,-25.30338
7,36.122948,-8.178806
1,1.8747048,40.664658
5,-20.350737,50.93348
6,8.765447,-62.13802
9,17.39081,30.261341
2,-14.0038395,-11.399689
4,31.403255,-39.500286
0,-50.204628,-27.981792
5,-11.590075,19.59813
2,-19.883402,-39.53002
6,6.914538,-64.89043
2,-15.605956,-34.49949
1,18.114836,36.31439
8,42.424026,14.586461
3,-13.756965,1.1066173
7,42.21349,-23.405155
9,-2.4336596,27.82272
7,42.395844,-19.555777
2,-14.485824,-28.462864
1,33.881237,38.665276
2,-12.652321,-31.607773
5,-14.76043,33.196686
3,-18.464174,2.5175197
1,16.148794,37.053925
9,16.99967,21.442026
4,26.095095,-35.569706
9,20.406626,30.085756
6,6.059733,-41.122623
2,-12.024491,-30.440483
1,31.513762,44.200226
3,-38.138977,7.719745
4,19.012907,-40.33393
8,44.737278,13.270629
3,-10.6207075,-4.2772613
7,33.994144,-18.674973
3,-33.824654,7.5427027
2,-17.551977,-25.246462
7,37.057106,-5.619053
6,5.8198104,-58.931892
4,14.010912,-27.473774
1,20.266788,40.352283
2,-20.735628,-33.793213
7,31.812653,-17.798834
0,-51.189323,-20.936602
3,-17.95607,-1.132607
6,0.41248602,-55.79182
6,12.368275,-45.31911
4,19.673166,-29.18552
4,33.3403,-44.466305
2,-3.88792,-16.521534
1,21.178581,51.571842
3,-34.836857,7.787993
5,2.1711767,-5.887131
5,-11.047883,11.096032
8,24.599455,2.0943685
9,-1.866958,17.526525
0,-32.766277,-6.648342
8,40.91371,16.212337
1,19.177221,46.853054
7,40.369827,-23.894474
9,14.991325,29.715797
1,20.683832,40.789337
8,50.95706,23.50963
2,-2.9702916,-17.701033
7,35.457966,-2.227408
6,4.246494,-55.414032
6,-1.0058414,-39.385338
9,10.719215,21.745586
7,29.969255,-11.439174
4,28.132399,-40.38623
2,-13.000293,-30.730377
6,3.8355625,-55.699833
0,-37.047565,-7.4563603
1,24.164978,51.57017
7,36.97674,-2.7653928
6,8.826059,-61.936737
8,39.276215,18.097742
7,31.090115,-12.650018
5,-25.975597,46.070427
9,12.148005,19.68697
8,37.37492,8.006691
6,3.383048,-55.582302
8,41.970646,11.786231
0,-43.902164,-21.20196
9,5.776954,24.016186
2,-7.7870574,-15.952821
1,18.65691,49.726635
2,-14.199873,-33.790447
3,-14.521627,13.695487
3,-36.761284,3.8823197
3,-19.30636,2.1648579
8,42.02725,11.48601
9,2.0446966,14.705649
2,-2.6933556,-24.809692
1,4.2242293,46.565903
9,21.618996,27.129772
3,-19.941769,3.073085
7,36.267967,-18.956413
9,17.790215,22.934422
8,20.723862,6.1879535
7,-11.599,18.808176
0,-57.69137,-4.2314973
3,-16.386381,-2.6405358
4,32.60314,-35.030056
8,46.16932,23.88056
2,-11.870366,-17.337732
2,-21.358158,-40.77266
1,22.361004,44.023643
4,27.000135,-43.390663
0,-57.73611,-20.049946
3,-36.75583,3.8540084
0,-42.977413,-15.500866
7,32.91725,-12.601821
4,16.030584,-30.946005
5,-10.557251,34.20584
8,56.493305,26.901934
2,-21.152752,-40.57927
3,-1.6632141,-2.700849
0,-34.43475,-19.044155
1,20.831593,41.484917
3,-4.274055,-2.6148553
4,5.888717,-11.093573
6,6.969145,-56.554684
2,-9.011831,-24.721565
3,-12.89032,3.494851
6,6.339824,-44.27136
1,19.170855,45.97307
6,12.58592,-55.01149
4,20.367016,-27.479925
8,42.77569,12.771417
2,-6.7700725,-18.137484
5,-19.946997,20.132418
5,-43.28081,30.780634
7,32.95931,-13.104228
2,-17.696962,-32.106003
9,-2.897926,17.88185
3,-15.707029,8.142065
8,50.71981,24.101433
3,-38.324306,6.439053
9,10.24525,22.930603
1,14.596766,50.547985
5,-39.603493,30.35169
7,34.789173,-12.079068
4,16.251717,-27.976519
5,-11.3935375,24.303782
9,3.8323467,18.848654
5,-10.879455,31.526096
6,6.9032965,-63.51159
2,-25.81946,-38.911648
6,2.8022673,-46.665257
7,38.32153,-16.511309
7,26.749586,-20.673403
8,21.04687,6.164146
6,3.462464,-52.585617
7,32.671448,-8.350686
1,19.809175,48.065483
1,21.442818,40.809982
