,0,1
6,42.02851,50.73906
3,42.48665,50.388332
1,42.006496,50.754074
6,42.00471,50.756836
7,42.004055,50.75797
8,41.985634,50.766087
5,42.950874,50.035126
0,41.9824,50.770863
3,42.029446,50.73948
9,42.029587,50.737286
0,41.870438,50.845
1,42.02591,50.740017
3,41.95239,50.794476
8,42.0226,50.745136
2,42.046326,50.726067
0,42.01163,50.752926
4,42.197124,50.607353
6,42.0125,50.750114
5,42.01258,50.750874
9,42.00814,50.75045
6,42.331036,50.5085
6,42.017376,50.748768
7,42.046585,50.726852
1,41.991005,50.76642
1,42.43225,50.427723
3,41.985023,50.77046
0,41.943768,50.79739
2,42.20421,50.606266
6,42.018753,50.74744
0,42.34369,50.499134
9,42.062088,50.713604
1,42.03705,50.731735
3,43.733738,49.44618
1,43.911507,49.136425
0,43.739796,49.592266
9,43.739544,49.625946
1,43.792454,49.349884
9,43.79742,49.35596
5,44.052197,48.91401
1,43.952755,49.059593
8,43.89314,49.167458
1,43.76474,49.385986
9,43.89865,49.14749
5,44.02054,48.967976
8,43.938286,49.09453
6,44.00322,48.995697
1,43.87171,49.19292
8,43.799366,49.33604
5,43.855152,49.234997
4,43.88821,49.181404
3,43.993217,49.00531
3,43.807465,49.312325
9,43.747467,49.466263
2,43.961628,49.056183
7,44.002266,48.996082
8,43.941788,49.089306
4,43.990353,49.014797
7,43.762154,49.39873
7,43.75339,49.470062
3,43.740654,49.49534
8,43.961437,49.028072
4,44.08846,48.864292
9,43.899773,49.14684
6,43.908646,49.143623
2,50.213287,45.412804
0,50.18571,45.363556
7,50.046814,45.07893
6,50.223957,45.43051
5,50.07458,45.09546
0,49.692726,44.45474
9,50.082787,45.150013
9,50.078014,45.14152
3,49.734894,44.461304
7,49.990612,44.958996
7,50.189255,45.378002
7,50.074055,45.15385
7,50.14109,45.260414
3,50.22843,45.382717
2,50.20358,45.406143
4,50.196148,45.393234
9,49.731075,44.483723
7,49.94663,44.89561
0,50.199677,45.31755
8,50.168697,45.31914
0,50.226566,45.418438
1,50.133,45.23511
2,50.155792,45.285072
5,50.227768,45.475918
6,50.228024,45.419537
1,50.19509,45.38733
